Dear	dear	Dear
office	offic	office
as	as	a
Acting	act	Acting
President	presid	President
.	.	.
Thereafter	thereaft	Thereafter
,	,	,
when	when	when
the	the	the
President	presid	President
transmits	transmit	transmits
to	to	to
the	the	the
President	presid	President
pro	pro	pro
tempore	tempor	tempore
of	of	of
the	the	the
Senate	senat	Senate
and	and	and
the	the	the
Speaker	speaker	Speaker
of	of	of
the	the	the
House	hous	House
of	of	of
Representatives	repres	Representatives
his	his	his
written	written	written
declaration	declar	declaration
that	that	that
no	no	no
inability	inabl	inability
exists	exist	exists
,	,	,
he	he	he
shall	shall	shall
resume	resum	resume
the	the	the
powers	power	power
and	and	and
duties	duti	duty
of	of	of
his	his	his
office	offic	office
unless	unless	unless
the	the	the
Vice	vice	Vice
President	presid	President
and	and	and
a	a	a
majority	major	majority
of	of	of
either	either	either
the	the	the
principal	princip	principal
officers	offic	officer
of	of	of
the	the	the
executive	execut	executive
department	depart	department
or	or	or
of	of	of
such	such	such
other	other	other
body	bodi	body
as	as	a
Congress	congress	Congress
may	may	may
by	by	by
law	law	law
provide	provid	provide
,	,	,
transmit	transmit	transmit
within	within	within
four	four	four
days	day	day
to	to	to
the	the	the
President	presid	President
pro	pro	pro
tempore	tempor	tempore
of	of	of
the	the	the
Senate	senat	Senate
and	and	and
the	the	the
Speaker	speaker	Speaker
of	of	of
the	the	the
House	hous	House
of	of	of
Representatives	repres	Representatives
their	their	their
written	written	written
declaration	declar	declaration
that	that	that
the	the	the
President	presid	President
is	is	is
unable	unabl	unable
to	to	to
discharge	discharg	discharge
the	the	the
powers	power	power
and	and	and
duties	duti	duty
of	of	of
his	his	his
office	offic	office
.	.	.
Thereupon	thereupon	Thereupon
Congress	congress	Congress
shall	shall	shall
decide	decid	decide
the	the	the
issue	issu	issue
,	,	,
assembling	assembl	assembling
within	within	within
forty	forti	forty
-eight	-eight	-eight
hours	hour	hour
for	for	for
that	that	that
purpose	purpos	purpose
if	if	if
not	not	not
in	in	in
session	session	session
.	.	.
If	if	If
the	the	the
Congress	congress	Congress
,	,	,
within	within	within
twenty	twenti	twenty
-one	-one	-one
days	day	day
after	after	after
receipt	receipt	receipt
of	of	of
the	the	the
latter	latter	latter
written	written	written
declaration	declar	declaration
,	,	,
or	or	or
,	,	,
if	if	if
Congress	congress	Congress
is	is	is
not	not	not
in	in	in
session	session	session
,	,	,
within	within	within
twenty	twenti	twenty
-one	-one	-one
days	day	day
after	after	after
Congress	congress	Congress
is	is	is
required	requir	required
to	to	to
assemble	assembl	assemble
,	,	,
determines	determin	determines
by	by	by
two	two	two
-thirds	-third	-thirds
vote	vote	vote
of	of	of
both	both	both
Houses	hous	Houses
that	that	that
the	the	the
President	presid	President
is	is	is
unable	unabl	unable
to	to	to
discharge	discharg	discharge
the	the	the
powers	power	power
and	and	and
duties	duti	duty
of	of	of
his	his	his
office	offic	office
,	,	,
the	the	the
Vice	vice	Vice
President	presid	President
shall	shall	shall
continue	continu	continue
to	to	to
discharge	discharg	discharge
the	the	the
same	same	same
as	as	a
Acting	act	Acting
President	presid	President
;	;	;
otherwise	otherwis	otherwise
,	,	,
the	the	the
President	presid	President
shall	shall	shall
resume	resum	resume
the	the	the
powers	power	power
and	and	and
duties	duti	duty
of	of	of
his	his	his
office	offic	office
.	.	.
An	an	An
excerpt	excerpt	excerpt
of	of	of
Schindler	schindler	Schindler
s	s	s
bio	bio	bio
describes	describ	describes
his	his	his
intel	intel	intel
foreign	foreign	foreign
affairs	affair	affair
background	background	background
he	he	he
spent	spent	spent
nearly	near	nearly
a	a	a
decade	decad	decade
with	with	with
the	the	the
super	super	super
-secret	-secret	-secret
National	nation	National
Security	secur	Security
Agency	agenc	Agency
as	as	a
an	an	an
intelligence	intellig	intelligence
analyst	analyst	analyst
and	and	and
counterintelligence	counterintellig	counterintelligence
officer	offic	officer
.	.	.
There	there	There
s	s	s
not	not	not
much	much	much
he	he	he
can	can	can
say	say	say
about	about	about
that	that	that
,	,	,
except	except	except
that	that	that
he	he	he
worked	work	worked
problems	problem	problem
in	in	in
Eastern	eastern	Eastern
Europe	europ	Europe
and	and	and
the	the	the
Middle	middl	Middle
East	east	East
with	with	with
a	a	a
counterespionage	counterespionag	counterespionage
flavor	flavor	flavor
,	,	,
and	and	and
he	he	he
collaborated	collabor	collaborated
closely	close	closely
with	with	with
other	other	other
government	govern	government
agencies	agenc	agency
who	who	who
would	would	would
probably	probabl	probably
prefer	prefer	prefer
he	he	he
didn	didn	didn
t	t	t
mention	mention	mention
them	them	them
.	.	.
He	he	He
s	s	s
also	also	also
served	serv	served
as	as	a
an	an	an
officer	offic	officer
specializing	special	specializing
in	in	in
cryptology	cryptolog	cryptology
now	now	now
called	call	called
information	inform	information
warfare	warfar	warfare
for	for	for
no	no	no
particular	particular	particular
reason	reason	reason
in	in	in
the	the	the
U	u	U
.	.	.
S	s	S
.	.	.
Navy	navi	Navy
Reserve	reserv	Reserve
.	.	.
Via	via	Via
Gateway	gateway	Gateway
Pundit	pundit	Pundit
