Donald	donald	Donald
in	in	in
the	the	the
private	privat	private
sector	sector	sector
,	,	,
you	you	you
get	get	get
asked	ask	asked
things	thing	thing
,	,	,
and	and	and
you	you	you
re	re	re
not	not	not
a	a	a
politician	politician	politician
,	,	,
and	and	and
probably	probabl	probably
the	the	the
first	first	first
time	time	time
I	i	I
was	was	wa
asked	ask	asked
.	.	.

By	by	By
the	the	the
time	time	time
the	the	the
war	war	war
started	start	started
,	,	,
I	i	I
was	was	wa
against	against	against
it	it	it
,	,	,
and	and	and
shortly	short	shortly
thereafter	thereaft	thereafter
,	,	,
I	i	I
was	was	wa
really	realli	really
against	against	against
.	.	.

Note	note	Note
to	to	to
Donald	donald	Donald
It	it	It
doesn	doesn	doesn
t	t	t
matter	matter	matter
if	if	if
you	you	you
were	were	were
a	a	a
politician	politician	politician
or	or	or
not	not	not
.	.	.

A	a	A
lie	lie	lie
is	is	is
a	a	a
lie	lie	lie
and	and	and
your	your	your
time	time	time
in	in	in
the	the	the
private	privat	private
sector	sector	sector
does	doe	doe
not	not	not
exempt	exempt	exempt
you	you	you
from	from	from
being	be	being
called	call	called
out	out	out
for	for	for
it	it	it
,	,	,
nor	nor	nor
does	doe	doe
it	it	it
excuse	excus	excuse
it	it	it
.	.	.

Featured	featur	Featured
image	imag	image
Flickr	flickr	Flickr

