Now	now	Now
guy	guy	guy
he	he	he
wasn	wasn	wasn
t	t	t
even	even	even
so	so	so
sure	sure	sure
about	about	about
.	.	.
The	the	The
news	news	news
that	that	that
Pence	penc	Pence
was	was	wa
the	the	the
choice	choic	choice
shouldn	shouldn	shouldn
t	t	t
have	have	have
been	been	been
a	a	a
surprise	surpris	surprise
.	.	.
For	for	For
months	month	month
the	the	the
Trump	trump	Trump
campaign	campaign	campaign
told	told	told
reporters	report	reporter
it	it	it
was	was	wa
seeking	seek	seeking
an	an	an
experienced	experienc	experienced
Republican	republican	Republican
who	who	who
had	had	had
personal	person	personal
relationships	relationship	relationship
on	on	on
Capitol	capitol	Capitol
Hill	hill	Hill
.	.	.
That	that	That
left	left	left
Pence	penc	Pence
and	and	and
former	former	former
House	hous	House
Speaker	speaker	Speaker
New	new	New
Gingrich	gingrich	Gingrich
as	as	a
the	the	the
formidable	formid	formidable
options	option	option
.	.	.
But	but	But
in	in	in
the	the	the
last	last	last
several	sever	several
weeks	week	week
the	the	the
Trump	trump	Trump
campaign	campaign	campaign
noted	note	noted
that	that	that
it	it	it
did	did	did
not	not	not
want	want	want
an	an	an
attack	attack	attack
dog	dog	dog
,	,	,
which	which	which
eliminated	elimin	eliminated
Gingrich	gingrich	Gingrich
Christie	christi	Christie
was	was	wa
never	never	never
a	a	a
true	true	true
option	option	option
,	,	,
he	he	he
was	was	wa
just	just	just
the	the	the
McDonald	mcdonald	McDonald
s	s	s
boy	boy	boy
.	.	.
Of	of	Of
course	cours	course
the	the	the
Trump	trump	Trump
campaign	campaign	campaign
denied	deni	denied
that	that	that
he	he	he
had	had	had
regrets	regret	regret
,	,	,
but	but	but
considering	consid	considering
their	their	their
main	main	main
attraction	attract	attraction
lies	lie	lie
77	77	77
percent	percent	percent
of	of	of
the	the	the
time	time	time
,	,	,
who	who	who
can	can	can
be	be	be
so	so	so
sure	sure	sure
?	?	?
With	with	With
the	the	the
RNC	rnc	RNC
just	just	just
around	around	around
the	the	the
corner	corner	corner
,	,	,
Trump	trump	Trump
enters	enter	enters
the	the	the
general	general	general
race	race	race
universally	univers	universally
hated	hate	hated
,	,	,
with	with	with
no	no	no
money	money	money
,	,	,
no	no	no
field	field	field
organization	organ	organization
,	,	,
and	and	and
a	a	a
running	run	running
mate	mate	mate
he	he	he
doesn	doesn	doesn
t	t	t
really	realli	really
like	like	like
.	.	.
Yet	yet	Yet
his	his	his
supporters	support	supporter
will	will	will
still	still	still
view	view	view
him	him	him
as	as	a
a	a	a
god	god	god
.	.	.
Featured	featur	Featured
image	imag	image
via	via	via
Bryan	bryan	Bryan
Thomas	thoma	Thomas
Getty	getti	Getty
Images	imag	Images
