Did	did	Did
,	,	,
he	he	he
said	said	said
,	,	,
but	but	but
instead	instead	instead
took	took	took
on	on	on
the	the	the
role	role	role
of	of	of
a	a	a
prosecutor	prosecutor	prosecutor
,	,	,
stealing	steal	stealing
the	the	the
job	job	job
of	of	of
the	the	the
Justice	justic	Justice
Department	depart	Department
.	.	.

But	but	But
the	the	the
Justice	justic	Justice
Department	depart	Department
,	,	,
headed	head	headed
then	then	then
by	by	by
Attorney	attorney	Attorney
General	general	General
Loretta	loretta	Loretta
Lynch	lynch	Lynch
,	,	,
was	was	wa
left	left	left
unable	unabl	unable
to	to	to
respond	respond	respond
because	becaus	because
of	of	of
Lynch	lynch	Lynch
s	s	s
private	privat	private
meeting	meet	meeting
with	with	with
Clinton	clinton	Clinton
s	s	s
husband	husband	husband
,	,	,
former	former	former
President	presid	President
Bill	bill	Bill
Clinton	clinton	Clinton
,	,	,
in	in	in
Clinton	clinton	Clinton
s	s	s
plane	plane	plane
at	at	at
the	the	the
Phoenix	phoenix	Phoenix
airport	airport	airport
.	.	.

The	the	The
entire	entir	entire
Department	depart	Department
of	of	of
Justice	justic	Justice
was	was	wa
so	so	so
frightened	frighten	frightened
of	of	of
Jim	jim	Jim
Comey	comey	Comey
because	becaus	because
of	of	of
the	the	the
way	way	way
they	they	they
had	had	had
politically	polit	politically
mishandled	mishandl	mishandled
the	the	the
Hillary	hillari	Hillary
Clinton	clinton	Clinton
email	email	email
server	server	server
investigation	investig	investigation
,	,	,
that	that	that
they	they	they
were	were	were
afraid	afraid	afraid
to	to	to
contradict	contradict	contradict
him	him	him
,	,	,
he	he	he
said	said	said
.	.	.

That	that	That
is	is	is
what	what	what
you	you	you
call	call	call
a	a	a
disaster	disast	disaster
in	in	in
a	a	a
government	govern	government
of	of	of
accountability	account	accountability
.	.	.

He	he	He
stole	stole	stole
the	the	the
work	work	work
of	of	of
the	the	the
Department	depart	Department
of	of	of
Justice	justic	Justice
in	in	in
a	a	a
single	singl	single
day	day	day
,	,	,
and	and	and
they	they	they
sat	sat	sat
there	there	there
and	and	and
watched	watch	watched
it	it	it
.	.	.

A	a	A
pox	pox	pox
on	on	on
all	all	all
of	of	of
their	their	their
houses	hous	house
.	.	.

Both	both	Both
sides	side	side
of	of	of
the	the	the
aisle	aisl	aisle
are	are	are
angry	angri	angry
with	with	with
Comey	comey	Comey
He	he	He
s	s	s
got	got	got
7	7	7
more	more	more
years	year	year
with	with	with
the	the	the
FBI	fbi	FBI
.	.	.
Should	should	Should
Trump	trump	Trump
fire	fire	fire
him	him	him
now	now	now
or	or	or
keep	keep	keep
him	him	him
for	for	for
another	anoth	another
7	7	7
years	year	year
?	?	?
Via	via	Via
NewsMax	newsmax	NewsMax

