When	when	When
Better	better	Better
Business	busi	Business
Bureau	bureau	Bureau
,	,	,
they	they	they
did	did	did
not	not	not
send	send	send
a	a	a
document	document	document
of	of	of
any	ani	any
kind	kind	kind
to	to	to
the	the	the
Republican	republican	Republican
debate	debat	debate
site	site	site
last	last	last
Thursday	thursday	Thursday
evening	even	evening
.	.	.
The	the	The
document	document	document
presented	present	presented
to	to	to
debate	debat	debate
moderators	moder	moderator
did	did	did
not	not	not
come	come	come
from	from	from
BBB	bbb	BBB
that	that	that
night	night	night
.	.	.
In	in	In
fact	fact	fact
,	,	,
according	accord	according
to	to	to
an	an	an
official	offici	official
statement	statement	statement
released	releas	released
by	by	by
the	the	the
BBB	bbb	BBB
For	for	For
purposes	purpos	purpose
of	of	of
this	this	this
statement	statement	statement
,	,	,
we	we	we
will	will	will
refer	refer	refer
to	to	to
Trump	trump	Trump
University	univers	University
,	,	,
which	which	which
is	is	is
how	how	how
it	it	it
is	is	is
most	most	most
often	often	often
referred	refer	referred
to	to	to
in	in	in
news	news	news
stories	stori	story
.	.	.
There	there	There
is	is	is
only	onli	only
one	one	one
BBB	bbb	BBB
Business	busi	Business
Review	review	Review
for	for	for
Trump	trump	Trump
University	univers	University
,	,	,
and	and	and
we	we	we
noted	note	noted
the	the	the
name	name	name
change	chang	change
to	to	to
Trump	trump	Trump
Entrepreneur	entrepreneur	Entrepreneur
Initiative	initi	Initiative
when	when	when
it	it	it
was	was	wa
brought	brought	brought
to	to	to
our	our	our
attention	attent	attention
by	by	by
the	the	the
company	compani	company
.	.	.
1	1	1
.	.	.
BBB	bbb	BBB
did	did	did
not	not	not
send	send	send
a	a	a
document	document	document
of	of	of
any	ani	any
kind	kind	kind
to	to	to
the	the	the
Republican	republican	Republican
debate	debat	debate
site	site	site
last	last	last
Thursday	thursday	Thursday
evening	even	evening
.	.	.
The	the	The
document	document	document
presented	present	presented
to	to	to
debate	debat	debate
moderators	moder	moderator
did	did	did
not	not	not
come	come	come
from	from	from
BBB	bbb	BBB
that	that	that
night	night	night
.	.	.
2	2	2
.	.	.
Trump	trump	Trump
University	univers	University
does	doe	doe
not	not	not
currently	current	currently
have	have	have
an	an	an
A	a	A
rating	rate	rating
with	with	with
BBB	bbb	BBB
.	.	.
The	the	The
BBB	bbb	BBB
Business	busi	Business
Review	review	Review
for	for	for
this	this	this
company	compani	company
has	has	ha
continually	continu	continually
been	been	been
No	no	No
Rating	rate	Rating
since	sinc	since
September	septemb	September
2015	2015	2015
.	.	.
Prior	prior	Prior
to	to	to
that	that	that
,	,	,
it	it	it
fluctuated	fluctuat	fluctuated
between	between	between
D	d	D
-	-	-
and	and	and
A	a	A
.	.	.
3	3	3
.	.	.
The	the	The
document	document	document
posted	post	posted
on	on	on
social	social	social
media	media	medium
on	on	on
Thursday	thursday	Thursday
night	night	night
was	was	wa
not	not	not
a	a	a
current	current	current
BBB	bbb	BBB
Business	busi	Business
Review	review	Review
of	of	of
Trump	trump	Trump
University	univers	University
.	.	.
It	it	It
appeared	appear	appeared
to	to	to
be	be	be
part	part	part
of	of	of
a	a	a
Business	busi	Business
Review	review	Review
from	from	from
2014	2014	2014
.	.	.
4	4	4
.	.	.
BBB	bbb	BBB
ratings	rate	rating
are	are	are
based	base	based
on	on	on
information	inform	information
we	we	we
obtain	obtain	obtain
about	about	about
a	a	a
business	busi	business
,	,	,
including	includ	including
complaints	complaint	complaint
received	receiv	received
from	from	from
the	the	the
public	public	public
.	.	.
The	the	The
reporting	report	reporting
period	period	period
is	is	is
three	three	three
years	year	year
.	.	.
Detailed	detail	Detailed
information	inform	information
about	about	about
BBB	bbb	BBB
ratings	rate	rating
is	is	is
available	avail	available
on	on	on
all	all	all
5	5	5
.	.	.
3	3	3
million	million	million
Business	busi	Business
Reviews	review	Reviews
on	on	on
our	our	our
website	websit	website
,	,	,
bbb	bbb	bbb
.	.	.
org	org	org
.	.	.
5	5	5
.	.	.
At	at	At
no	no	no
point	point	point
did	did	did
BBB	bbb	BBB
change	chang	change
the	the	the
rating	rate	rating
of	of	of
Trump	trump	Trump
University	univers	University
based	base	based
upon	upon	upon
a	a	a
demand	demand	demand
from	from	from
anyone	anyon	anyone
.	.	.
BBB	bbb	BBB
followed	follow	followed
its	it	it
standard	standard	standard
evaluation	evalu	evaluation
process	process	process
applicable	applic	applicable
to	to	to
all	all	all
businesses	busi	business
.	.	.
6	6	6
.	.	.
During	dure	During
the	the	the
period	period	period
when	when	when
Trump	trump	Trump
University	univers	University
appeared	appear	appeared
to	to	to
be	be	be
active	activ	active
in	in	in
the	the	the
marketplace	marketplac	marketplace
,	,	,
BBB	bbb	BBB
received	receiv	received
multiple	multipl	multiple
customer	custom	customer
complaints	complaint	complaint
about	about	about
this	this	this
business	busi	business
.	.	.
These	these	These
complaints	complaint	complaint
affected	affect	affected
the	the	the
Trump	trump	Trump
University	univers	University
BBB	bbb	BBB
rating	rate	rating
,	,	,
which	which	which
was	was	wa
as	as	a
low	low	low
as	as	a
D	d	D
-	-	-
in	in	in
2010	2010	2010
.	.	.
As	as	As
the	the	the
company	compani	company
appeared	appear	appeared
to	to	to
be	be	be
winding	wind	winding
down	down	down
,	,	,
after	after	after
2013	2013	2013
,	,	,
no	no	no
new	new	new
complaints	complaint	complaint
were	were	were
reported	report	reported
.	.	.
Complaints	complaint	Complaints
over	over	over
three	three	three
years	year	year
old	old	old
automatically	automat	automatically
rolled	roll	rolled
off	off	off
of	of	of
the	the	the
Business	busi	Business
Review	review	Review
,	,	,
according	accord	according
to	to	to
BBB	bbb	BBB
policy	polici	policy
.	.	.
As	as	As
a	a	a
result	result	result
,	,	,
over	over	over
time	time	time
,	,	,
Trump	trump	Trump
University	univers	University
s	s	s
BBB	bbb	BBB
rating	rate	rating
went	went	went
to	to	to
an	an	an
A	a	A
in	in	in
July	juli	July
2014	2014	2014
and	and	and
then	then	then
to	to	to
an	an	an
A	a	A
in	in	in
January	januari	January
2015	2015	2015
.	.	.
7	7	7
.	.	.
Trump	trump	Trump
University	univers	University
has	has	ha
never	never	never
been	been	been
a	a	a
BBB	bbb	BBB
Accredited	accredit	Accredited
Business	busi	Business
.	.	.
The	the	The
document	document	document
handed	hand	handed
to	to	to
the	the	the
debate	debat	debate
moderators	moder	moderator
on	on	on
Thursday	thursday	Thursday
night	night	night
could	could	could
not	not	not
have	have	have
been	been	been
an	an	an
actual	actual	actual
Better	better	Better
Business	busi	Business
Bureau	bureau	Bureau
accreditation	accredit	accreditation
notice	notic	notice
for	for	for
this	this	this
business	busi	business
.	.	.
Trump	trump	Trump
flat	flat	flat
-out	-out	-out
LIED	lie	LIED
.	.	.
Here	here	Here
s	s	s
what	what	what
the	the	the
BBB	bbb	BBB
actually	actual	actually
has	has	ha
listed	list	listed
for	for	for
Trump	trump	Trump
University	univers	University
via	via	via
Better	better	Better
Business	busi	Business
BureauDoes	bureaudo	BureauDoes
Trump	trump	Trump
think	think	think
that	that	that
these	these	these
facts	fact	fact
won	won	won
t	t	t
make	make	make
themselves	themselv	themselves
known	known	known
?	?	?
It	it	It
certainly	certain	certainly
seems	seem	seems
that	that	that
way	way	way
.	.	.
This	this	This
sort	sort	sort
of	of	of
purposeful	purpos	purposeful
lying	lie	lying
and	and	and
deceit	deceit	deceit
is	is	is
the	the	the
last	last	last
thing	thing	thing
we	we	we
need	need	need
as	as	a
a	a	a
Commander	command	Commander
-in-Chief	-in-chief	-in-Chief
.	.	.
We	we	We
need	need	need
to	to	to
make	make	make
sure	sure	sure
Trump	trump	Trump
stays	stay	stay
as	as	a
far	far	far
away	away	away
from	from	from
the	the	the
Oval	oval	Oval
Office	offic	Office
as	as	a
possible	possibl	possible
.	.	.
Featured	featur	Featured
image	imag	image
via	via	via
Flickr	flickr	Flickr
BBB	bbb	BBB
