Guess	guess	Guess
vote	vote	vote
for	for	for
Hillary	hillari	Hillary
nor	nor	nor
Trump	trump	Trump
.	.	.
A	a	A
former	former	former
Republican	republican	Republican
president	presid	president
refusing	refus	refusing
to	to	to
stand	stand	stand
for	for	for
the	the	the
current	current	current
Republican	republican	Republican
nominee	nomine	nominee
is	is	is
a	a	a
stinging	sting	stinging
blow	blow	blow
indeed	inde	indeed
.	.	.
Featured	featur	Featured
image	imag	image
by	by	by
Scott	scott	Scott
Halleran	halleran	Halleran
Getty	getti	Getty
Images	imag	Images
