About	about	About
from	from	from
the	the	the
House	hous	House
Russia	russia	Russia
investigation	investig	investigation
.	.	.
He	he	He
recused	recus	recused
himself	himself	himself
,	,	,
so	so	so
he	he	he
can	can	can
set	set	set
those	those	those
limits	limit	limit
,	,	,
Quigley	quigley	Quigley
said	said	said
.	.	.
A	a	A
senior	senior	senior
House	hous	House
Republican	republican	Republican
aide	aid	aide
noted	note	noted
that	that	that
Nunes	nune	Nunes
is	is	is
still	still	still
the	the	the
chairman	chairman	chairman
of	of	of
the	the	the
House	hous	House
intelligence	intellig	intelligence
committee	committe	committee
and	and	and
has	has	ha
duties	duti	duty
,	,	,
which	which	which
still	still	still
require	requir	require
him	him	him
to	to	to
review	review	review
classified	classifi	classified
intelligence	intellig	intelligence
.	.	.
The	the	The
aide	aid	aide
added	ad	added
that	that	that
House	hous	House
Speaker	speaker	Speaker
Paul	paul	Paul
Ryan	ryan	Ryan
is	is	is
not	not	not
setting	set	setting
the	the	the
terms	term	term
of	of	of
Nunes	nune	Nunes
recusal	recus	recusal
from	from	from
the	the	the
leadership	leadership	leadership
of	of	of
the	the	the
investigation	investig	investigation
.	.	.
Source	sourc	Source
CNNRecusal	cnnrecus	CNNRecusal
,	,	,
it	it	it
appears	appear	appears
,	,	,
is	is	is
all	all	all
relative	relat	relative
,	,	,
at	at	at
least	least	least
if	if	if
you	you	you
re	re	re
a	a	a
Trump	trump	Trump
loving	love	loving
Republican	republican	Republican
.	.	.
Attorney	attorney	Attorney
General	general	General
Jeff	jeff	Jeff
Sessions	session	Sessions
recused	recus	recused
himself	himself	himself
from	from	from
the	the	the
Russia	russia	Russia
investigation	investig	investigation
,	,	,
but	but	but
still	still	still
played	play	played
a	a	a
role	role	role
in	in	in
the	the	the
firing	fire	firing
of	of	of
FBI	fbi	FBI
Director	director	Director
James	jame	James
Comey	comey	Comey
.	.	.
Democrats	democrat	Democrats
in	in	in
both	both	both
the	the	the
House	hous	House
and	and	and
the	the	the
Senate	senat	Senate
are	are	are
taking	take	taking
the	the	the
investigation	investig	investigation
of	of	of
Trump	trump	Trump
and	and	and
his	his	his
Russian	russian	Russian
ties	tie	tie
very	veri	very
seriously	serious	seriously
,	,	,
but	but	but
Republicans	republican	Republicans
,	,	,
as	as	a
Nunes	nune	Nunes
and	and	and
Sessions	session	Sessions
are	are	are
proving	prove	proving
,	,	,
are	are	are
doing	do	doing
everything	everyth	everything
in	in	in
their	their	their
power	power	power
to	to	to
obstruct	obstruct	obstruct
the	the	the
investigation	investig	investigation
.	.	.
While	while	While
it	it	it
might	might	might
be	be	be
legal	legal	legal
for	for	for
Nunes	nune	Nunes
to	to	to
have	have	have
the	the	the
intel	intel	intel
,	,	,
it	it	it
s	s	s
certainly	certain	certainly
against	against	against
the	the	the
spirit	spirit	spirit
of	of	of
his	his	his
recusal	recus	recusal
.	.	.
If	if	If
House	hous	House
leadership	leadership	leadership
had	had	had
a	a	a
spine	spine	spine
,	,	,
they	they	they
d	d	d
be	be	be
taking	take	taking
him	him	him
off	off	off
the	the	the
committee	committe	committee
altogether	altogeth	altogether
.	.	.
Featured	featur	Featured
image	imag	image
via	via	via
Drew	drew	Drew
Angerer	anger	Angerer
Getty	getti	Getty
Images	imag	Images
