Today	today	Today
suggested	suggest	suggested
If	if	If
they	they	they
Republicans	republican	Republicans
bring	bring	bring
a	a	a
knife	knife	knife
to	to	to
the	the	the
fight	fight	fight
,	,	,
we	we	we
Democrats	democrat	Democrats
bring	bring	bring
a	a	a
gun	gun	gun
.	.	.
Obama	obama	Obama
also	also	also
joked	joke	joked
about	about	about
rubbing	rub	rubbing
out	out	out
his	his	his
opponents	oppon	opponent
"#TheChicagoWay:""If"	"#thechicagoway:""if"	"#TheChicagoWay:""If"
they	they	they
bring	bring	bring
a	a	a
knife	knife	knife
to	to	to
the	the	the
fight	fight	fight
,	,	,
we	we	we
bring	bring	bring
a	a	a
gun	gun	gun
,	,	,
#Obama,	#obama,	#Obama,
Philly	philli	Philly
,	,	,
2008	2008	2008
John	john	John
Kass	kass	Kass
@John_Kass	@john_kass	@John_Kass
August	august	August
10	10	10
,	,	,
2016Here	2016here	2016Here
s	s	s
a	a	a
video	video	video
highlighting	highlight	highlighting
some	some	some
of	of	of
our	our	our
former	former	former
community	communiti	community
organizer	organ	organizer
in	in	in
chief	chief	chief
s	s	s
violent	violent	violent
comments	comment	comment
Scrapping	scrap	Scrapping
any	ani	any
intention	intent	intention
to	to	to
work	work	work
with	with	with
the	the	the
new	new	new
administration	administr	administration
,	,	,
the	the	the
message	messag	message
from	from	from
OFA	ofa	OFA
s	s	s
BarackObama	barackobama	BarackObama
.	.	.
com	com	com
said	said	said
,	,	,
we	we	we
re	re	re
not	not	not
backing	back	backing
down	down	down
.	.	.
The	the	The
email	email	email
to	to	to
supporters	support	supporter
was	was	wa
a	a	a
clear	clear	clear
rallying	ralli	rallying
cry	cri	cry
to	to	to
fight	fight	fight
the	the	the
incoming	incom	incoming
Trump	trump	Trump
administration	administr	administration
,	,	,
despite	despit	despite
Obama	obama	Obama
s	s	s
pledge	pledg	pledge
to	to	to
help	help	help
the	the	the
new	new	new
team	team	team
.	.	.
OFA	ofa	OFA
s	s	s
Jeremy	jeremi	Jeremy
Bird	bird	Bird
said	said	said
,	,	,
If	if	If
you	you	you
re	re	re
anything	anyth	anything
like	like	like
me	me	me
,	,	,
you	you	you
re	re	re
still	still	still
sorting	sort	sorting
through	through	through
the	the	the
events	event	event
of	of	of
the	the	the
past	past	past
week	week	week
and	and	and
a	a	a
half	half	half
.	.	.
It	it	It
s	s	s
hard	hard	hard
there	there	there
s	s	s
no	no	no
way	way	way
to	to	to
sugarcoat	sugarcoat	sugarcoat
that	that	that
.	.	.
Vulnerable	vulner	Vulnerable
communities	communiti	community
are	are	are
feeling	feel	feeling
like	like	like
this	this	this
country	countri	country
has	has	ha
turned	turn	turned
its	it	it
back	back	back
on	on	on
them	them	them
.	.	.
And	and	And
years	year	year
of	of	of
hard	hard	hard
work	work	work
are	are	are
on	on	on
the	the	the
chopping	chop	chopping
block	block	block
,	,	,
seemingly	seem	seemingly
overnight	overnight	overnight
.	.	.
Maybe	mayb	Maybe
you	you	you
re	re	re
feeling	feel	feeling
disillusioned	disillus	disillusioned
,	,	,
cynical	cynic	cynical
,	,	,
or	or	or
frustrated	frustrat	frustrated
.	.	.
But	but	But
now	now	now
is	is	is
not	not	not
the	the	the
time	time	time
to	to	to
walk	walk	walk
away	away	away
now	now	now
is	is	is
the	the	the
time	time	time
to	to	to
get	get	get
in	in	in
the	the	the
ring	ring	ring
and	and	and
fight	fight	fight
harder	harder	harder
than	than	than
we	we	we
ever	ever	ever
have	have	have
before	befor	before
.	.	.
Washington	washington	Washington
Examiner	examin	Examiner
#2.	#2.	#2.
Hillary	hillari	Hillary
Clinton	clinton	Clinton
s	s	s
former	former	former
running	run	running
mate	mate	mate
Tim	tim	Tim
Kaine	kain	Kaine
called	call	called
for	for	for
Democrats	democrat	Democrats
to	to	to
fight	fight	fight
in	in	in
the	the	the
streets	street	street
against	against	against
Trump	trump	Trump
.	.	.
Kaine	kain	Kaine
,	,	,
whose	whose	whose
son	son	son
was	was	wa
recently	recent	recently
charged	charg	charged
for	for	for
his	his	his
involvement	involv	involvement
in	in	in
a	a	a
riot	riot	riot
during	dure	during
a	a	a
pro	pro	pro
-Trump	-trump	-Trump
event	event	event
,	,	,
had	had	had
appeared	appear	appeared
on	on	on
MSNBC	msnbc	MSNBC
in	in	in
January	januari	January
,	,	,
calling	call	calling
for	for	for
members	member	member
of	of	of
his	his	his
party	parti	party
to	to	to
fight	fight	fight
in	in	in
Congress	congress	Congress
,	,	,
fight	fight	fight
in	in	in
the	the	the
courts	court	court
,	,	,
fight	fight	fight
in	in	in
the	the	the
streets	street	street
,	,	,
fight	fight	fight
online	onlin	online
,	,	,
fight	fight	fight
at	at	at
the	the	the
ballot	ballot	ballot
box	box	box
.	.	.
Kaine	kain	Kaine
s	s	s
24	24	24
-year-old	-year-old	-year-old
son	son	son
Linwood	linwood	Linwood
Kaine	kain	Kaine
was	was	wa
charged	charg	charged
in	in	in
May	may	May
with	with	with
fleeing	flee	fleeing
police	polic	police
on	on	on
foot	foot	foot
,	,	,
concealing	conceal	concealing
his	his	his
identity	ident	identity
in	in	in
a	a	a
public	public	public
place	place	place
,	,	,
and	and	and
obstructing	obstruct	obstructing
legal	legal	legal
process	process	process
,	,	,
after	after	after
a	a	a
masked	mask	masked
group	group	group
he	he	he
was	was	wa
with	with	with
threw	threw	threw
smoke	smoke	smoke
bombs	bomb	bomb
into	into	into
a	a	a
pro	pro	pro
-Trump	-trump	-Trump
rally	ralli	rally
in	in	in
Minneapolis	minneapoli	Minneapolis
,	,	,
Minnesota	minnesota	Minnesota
in	in	in
March	march	March
.	.	.
#2.	#2.	#2.
Former	former	Former
U	u	U
.	.	.
S	s	S
.	.	.
Attorney	attorney	Attorney
General	general	General
Loretta	loretta	Loretta
Lynch	lynch	Lynch
posted	post	posted
a	a	a
video	video	video
urging	urg	urging
people	peopl	people
to	to	to
march	march	march
,	,	,
bleed	bleed	bleed
,	,	,
and	and	and
die	die	die
in	in	in
the	the	the
streets	street	street
.	.	.
In	in	In
February	februari	February
,	,	,
Obama	obama	Obama
s	s	s
attorney	attorney	attorney
general	general	general
posted	post	posted
a	a	a
video	video	video
in	in	in
which	which	which
she	she	she
urged	urg	urged
people	peopl	people
to	to	to
march	march	march
and	and	and
bleed	bleed	bleed
in	in	in
the	the	the
streets	street	street
to	to	to
resist	resist	resist
the	the	the
president	presid	president
and	and	and
his	his	his
administration	administr	administration
.	.	.
It	it	It
has	has	ha
been	been	been
people	peopl	people
,	,	,
individuals	individu	individual
who	who	who
have	have	have
banded	band	banded
together	togeth	together
,	,	,
ordinary	ordinari	ordinary
people	peopl	people
who	who	who
simply	simpli	simply
saw	saw	saw
what	what	what
needed	need	needed
to	to	to
be	be	be
done	done	done
and	and	and
came	came	came
together	togeth	together
and	and	and
supported	support	supported
those	those	those
ideals	ideal	ideal
who	who	who
have	have	have
made	made	made
the	the	the
difference	differ	difference
.	.	.
They	they	They
ve	ve	ve
marched	march	marched
,	,	,
they	they	they
ve	ve	ve
bled	bled	bled
and	and	and
yes	yes	yes
,	,	,
some	some	some
of	of	of
them	them	them
died	die	died
.	.	.
This	this	This
is	is	is
hard	hard	hard
.	.	.
Every	everi	Every
good	good	good
thing	thing	thing
is	is	is
.	.	.
We	we	We
have	have	have
done	done	done
this	this	this
before	befor	before
.	.	.
We	we	We
can	can	can
do	do	do
this	this	this
again	again	again
,	,	,
Lynch	lynch	Lynch
stated	state	stated
.	.	.
#3.	#3.	#3.
Hillary	hillari	Hillary
Clinton	clinton	Clinton
made	made	made
a	a	a
video	video	video
where	where	where
she	she	she
told	told	told
Democrats	democrat	Democrats
to	to	to
RESIST	resist	RESIST
and	and	and
to	to	to
stay	stay	stay
engaged	engag	engaged
through	through	through
activism	activ	activism
.	.	.
She	she	She
praised	prais	praised
the	the	the
people	peopl	people
who	who	who
were	were	were
marching	march	marching
and	and	and
protesting	protest	protesting
against	against	against
anyone	anyon	anyone
who	who	who
doesn	doesn	doesn
t	t	t
agree	agre	agree
with	with	with
their	their	their
progressive	progress	progressive
agenda	agenda	agenda
.	.	.
Let	let	Let
resistance	resist	resistance
plus	plus	plus
persistence	persist	persistence
equal	equal	equal
progress	progress	progress
for	for	for
our	our	our
party	parti	party
and	and	and
for	for	for
our	our	our
country	countri	country
.	.	.
Clinton	clinton	Clinton
wrapped	wrap	wrapped
up	up	up
her	her	her
video	video	video
by	by	by
telling	tell	telling
Democrats	democrat	Democrats
to	to	to
,	,	,
Keep	keep	Keep
fighting	fight	fighting
!	!	!
Watch	watch	Watch
#4.	#4.	#4.
Madonna	madonna	Madonna
tells	tell	tell
women	women	woman
s	s	s
march	march	march
that	that	that
she	she	she
fantasizes	fantas	fantasizes
about	about	about
blowing	blow	blowing
up	up	up
the	the	the
White	white	White
House	hous	House
.	.	.
During	dure	During
the	the	the
unhinged	unhing	unhinged
aging	age	aging
pop	pop	pop
star	star	star
s	s	s
vulgar	vulgar	vulgar
speech	speech	speech
at	at	at
the	the	the
rally	ralli	rally
,	,	,
she	she	she
demanded	demand	demanded
that	that	that
this	this	this
was	was	wa
the	the	the
beginning	begin	beginning
of	of	of
a	a	a
revolution	revolut	revolution
,	,	,
and	and	and
called	call	called
Trump	trump	Trump
s	s	s
win	win	win
a	a	a
horrific	horrif	horrific
moment	moment	moment
of	of	of
darkness	dark	darkness
.	.	.
Yes	yes	Yes
,	,	,
I	i	I
m	m	m
angry	angri	angry
.	.	.
Yes	yes	Yes
,	,	,
I	i	I
am	am	am
outraged	outrag	outraged
.	.	.
Yes	yes	Yes
,	,	,
I	i	I
have	have	have
thought	thought	thought
an	an	an
awful	aw	awful
lot	lot	lot
about	about	about
blowing	blow	blowing
up	up	up
the	the	the
White	white	White
House	hous	House
,	,	,
Madonna	madonna	Madonna
said	said	said
.	.	.
But	but	But
I	i	I
know	know	know
that	that	that
this	this	this
won	won	won
t	t	t
change	chang	change
anything	anyth	anything
.	.	.
We	we	We
cannot	cannot	cannot
fall	fall	fall
into	into	into
despair	despair	despair
.	.	.
-Big	-big	-Big
League	leagu	League
Politics	polit	Politics
#5.	#5.	#5.
Comedian	comedian	Comedian
Kathy	kathi	Kathy
Griffin	griffin	Griffin
made	made	made
a	a	a
career	career	career
-ending	-end	-ending
decision	decis	decision
to	to	to
hold	hold	hold
an	an	an
ISIS	isi	ISIS
inspired	inspir	inspired
bloodied	bloodi	bloodied
,	,	,
decapitated	decapit	decapitated
head	head	head
of	of	of
President	presid	President
Trump	trump	Trump
up	up	up
for	for	for
a	a	a
video	video	video
,	,	,
as	as	a
part	part	part
of	of	of
a	a	a
comedy	comedi	comedy
act	act	act
.	.	.
No	no	No
one	one	one
but	but	but
Kathy	kathi	Kathy
and	and	and
some	some	some
hate	hate	hate
-filled	-fill	-filled
Democrats	democrat	Democrats
thought	thought	thought
it	it	it
was	was	wa
funny	funni	funny
#6.	#6.	#6.
Three	three	Three
weeks	week	week
before	befor	before
President	presid	President
Trump	trump	Trump
s	s	s
inauguration	inaugur	inauguration
,	,	,
another	anoth	another
unhinged	unhing	unhinged
comedian	comedian	comedian
Rosie	rosi	Rosie
O	o	O
Donnell	donnel	Donnell
tweeted	tweet	tweeted
DONALD	donald	DONALD
TRUMP	trump	TRUMP
IS	is	IS
MENTALLY	mental	MENTALLY
UNSTABLE	unstabl	UNSTABLE
.	.	.
She	she	She
added	ad	added
,	,	,
LESS	less	LESS
THAN	than	THAN
3	3	3
WEEKS	week	WEEKS
TO	to	TO
STOP	stop	STOP
HIM	him	HIM
AMERICA	america	AMERICA
.	.	.
Stop	stop	Stop
him	him	him
?	?	?
Was	was	Was
Rosie	rosi	Rosie
calling	call	calling
for	for	for
someone	someon	someone
to	to	to
harm	harm	harm
or	or	or
to	to	to
take	take	take
out	out	out
Donald	donald	Donald
Trump	trump	Trump
before	befor	before
his	his	his
inauguration	inaugur	inauguration
?	?	?
It	it	It
sure	sure	sure
sounds	sound	sound
like	like	like
it	it	it
to	to	to
us	us	u
!	!	!
