I	i	I
named	name	named
Alfred	alfr	Alfred
Stern	stern	Stern
,	,	,
who	who	who
fled	fled	fled
to	to	to
Prague	pragu	Prague
after	after	after
getting	get	getting
charged	charg	charged
with	with	with
espionage	espionag	espionage
.	.	.
Bowman	bowman	Bowman
was	was	wa
also	also	also
a	a	a
member	member	member
of	of	of
a	a	a
Communist	communist	Communist
-sympathizing	-sympath	-sympathizing
group	group	group
called	call	called
the	the	the
Association	associ	Association
of	of	of
Internes	intern	Internes
and	and	and
Medical	medic	Medical
Students	student	Students
.	.	.
After	after	After
his	his	his
discharge	discharg	discharge
from	from	from
the	the	the
Army	armi	Army
Medical	medic	Medical
Corps	corp	Corps
in	in	in
1955	1955	1955
,	,	,
Bowman	bowman	Bowman
moved	move	moved
to	to	to
Iran	iran	Iran
to	to	to
work	work	work
,	,	,
the	the	the
FBI	fbi	FBI
records	record	record
show	show	show
.	.	.
According	accord	According
to	to	to
Bowman	bowman	Bowman
s	s	s
government	govern	government
file	file	file
the	the	the
Association	associ	Association
of	of	of
Internes	intern	Internes
and	and	and
Medical	medic	Medical
Students	student	Students
is	is	is
an	an	an
organization	organ	organization
that	that	that
has	has	ha
long	long	long
been	been	been
a	a	a
faithful	faith	faithful
follower	follow	follower
of	of	of
the	the	the
Communist	communist	Communist
Party	parti	Party
line	line	line
and	and	and
engages	engag	engages
in	in	in
un	un	un
-American	-american	-American
activities	activ	activity
.	.	.
Bowman	bowman	Bowman
was	was	wa
born	born	born
in	in	in
Washington	washington	Washington
D	d	D
.	.	.
C	c	C
.	.	.
and	and	and
had	had	had
deep	deep	deep
ties	tie	tie
to	to	to
Chicago	chicago	Chicago
,	,	,
where	where	where
he	he	he
often	often	often
collaborated	collabor	collaborated
with	with	with
fellow	fellow	fellow
Communists	communist	Communists
.	.	.
JW	jw	JW
also	also	also
obtained	obtain	obtained
documents	document	document
on	on	on
Bowman	bowman	Bowman
from	from	from
the	the	the
U	u	U
.	.	.
S	s	S
.	.	.
Office	offic	Office
of	of	of
Personnel	personnel	Personnel
Management	manag	Management
OPM	opm	OPM
showing	show	showing
that	that	that
the	the	the
FBI	fbi	FBI
was	was	wa
brought	brought	brought
into	into	into
investigate	investig	investigate
him	him	him
for	for	for
his	his	his
membership	membership	membership
in	in	in
a	a	a
group	group	group
that	that	that
follows	follow	follows
the	the	the
communist	communist	communist
party	parti	party
line	line	line
.	.	.
The	the	The
Jarrett	jarrett	Jarrett
family	famili	family
Communist	communist	Communist
ties	tie	tie
also	also	also
include	includ	include
a	a	a
business	busi	business
partnership	partnership	partnership
between	between	between
Jarrett	jarrett	Jarrett
s	s	s
maternal	matern	maternal
grandpa	grandpa	grandpa
,	,	,
Robert	robert	Robert
Rochon	rochon	Rochon
Taylor	taylor	Taylor
,	,	,
and	and	and
Stern	stern	Stern
,	,	,
the	the	the
Soviet	soviet	Soviet
agent	agent	agent
associated	associ	associated
with	with	with
her	her	her
dad	dad	dad
.	.	.
Jarrett	jarrett	Jarrett
s	s	s
father	father	father
-in-law	-in-law	-in-law
,	,	,
Vernon	vernon	Vernon
Jarrett	jarrett	Jarrett
,	,	,
was	was	wa
also	also	also
another	anoth	another
big	big	big
-time	-time	-time
Chicago	chicago	Chicago
Communist	communist	Communist
,	,	,
according	accord	according
to	to	to
separate	separ	separate
FBI	fbi	FBI
files	file	file
obtained	obtain	obtained
by	by	by
JW	jw	JW
as	as	a
part	part	part
of	of	of
a	a	a
probe	probe	probe
into	into	into
the	the	the
Jarrett	jarrett	Jarrett
family	famili	family
s	s	s
Communist	communist	Communist
ties	tie	tie
.	.	.
For	for	For
a	a	a
period	period	period
of	of	of
time	time	time
Vernon	vernon	Vernon
Jarrett	jarrett	Jarrett
appeared	appear	appeared
on	on	on
the	the	the
FBI	fbi	FBI
s	s	s
Security	secur	Security
Index	index	Index
and	and	and
was	was	wa
considered	consid	considered
a	a	a
potential	potenti	potential
Communist	communist	Communist
saboteur	saboteur	saboteur
who	who	who
was	was	wa
to	to	to
be	be	be
arrested	arrest	arrested
in	in	in
the	the	the
event	event	event
of	of	of
a	a	a
conflict	conflict	conflict
with	with	with
the	the	the
Union	union	Union
of	of	of
Soviet	soviet	Soviet
Socialist	socialist	Socialist
Republics	republ	Republics
USSR	ussr	USSR
.	.	.
His	his	His
FBI	fbi	FBI
file	file	file
reveals	reveal	reveals
that	that	that
he	he	he
was	was	wa
assigned	assign	assigned
to	to	to
write	write	write
propaganda	propaganda	propaganda
for	for	for
a	a	a
Communist	communist	Communist
Party	parti	Party
front	front	front
group	group	group
in	in	in
Chicago	chicago	Chicago
that	that	that
would	would	would
disseminate	dissemin	disseminate
the	the	the
Communist	communist	Communist
Party	parti	Party
line	line	line
among	among	among
the	the	the
middle	middl	middle
class	class	class
.	.	.
It	it	It
s	s	s
been	been	been
well	well	well
documented	document	documented
that	that	that
Valerie	valeri	Valerie
Jarrett	jarrett	Jarrett
,	,	,
a	a	a
Chicago	chicago	Chicago
lawyer	lawyer	lawyer
and	and	and
longtime	longtim	longtime
Obama	obama	Obama
confidant	confid	confidant
,	,	,
is	is	is
a	a	a
liberal	liber	liberal
extremist	extremist	extremist
who	who	who
wields	wield	wields
tremendous	tremend	tremendous
power	power	power
in	in	in
the	the	the
White	white	White
House	hous	House
.	.	.
Faithful	faith	Faithful
to	to	to
her	her	her
roots	root	root
,	,	,
she	she	she
still	still	still
has	has	ha
connections	connect	connection
to	to	to
many	mani	many
Communist	communist	Communist
and	and	and
extremist	extremist	extremist
groups	group	group
,	,	,
including	includ	including
the	the	the
Muslim	muslim	Muslim
Brotherhood	brotherhood	Brotherhood
.	.	.
Jarrett	jarrett	Jarrett
and	and	and
her	her	her
family	famili	family
also	also	also
had	had	had
strong	strong	strong
ties	tie	tie
to	to	to
Frank	frank	Frank
Marshal	marshal	Marshal
Davis	davi	Davis
,	,	,
a	a	a
big	big	big
Obama	obama	Obama
mentor	mentor	mentor
and	and	and
Communist	communist	Communist
Party	parti	Party
member	member	member
with	with	with
an	an	an
extensive	extens	extensive
FBI	fbi	FBI
file	file	file
.	.	.
JW	jw	JW
has	has	ha
exposed	expos	exposed
Valerie	valeri	Valerie
Jarrett	jarrett	Jarrett
s	s	s
many	mani	many
transgressions	transgress	transgression
over	over	over
the	the	the
years	year	year
,	,	,
including	includ	including
her	her	her
role	role	role
in	in	in
covering	cover	covering
up	up	up
a	a	a
scandalous	scandal	scandalous
gun	gun	gun
-running	-run	-running
operation	oper	operation
carried	carri	carried
out	out	out
by	by	by
the	the	the
Department	depart	Department
of	of	of
Justice	justic	Justice
DOJ	doj	DOJ
.	.	.
Last	last	Last
fall	fall	fall
JW	jw	JW
obtained	obtain	obtained
public	public	public
records	record	record
that	that	that
show	show	show
Jarrett	jarrett	Jarrett
was	was	wa
a	a	a
key	key	key
player	player	player
in	in	in
the	the	the
effort	effort	effort
to	to	to
cover	cover	cover
up	up	up
that	that	that
Attorney	attorney	Attorney
General	general	General
Eric	eric	Eric
Holder	holder	Holder
lied	lie	lied
to	to	to
Congress	congress	Congress
about	about	about
the	the	the
Fast	fast	Fast
and	and	and
Furious	furious	Furious
,	,	,
a	a	a
disastrous	disastr	disastrous
experiment	experi	experiment
in	in	in
which	which	which
the	the	the
Bureau	bureau	Bureau
of	of	of
Alcohol	alcohol	Alcohol
,	,	,
Tobacco	tobacco	Tobacco
Firearms	firearm	Firearms
and	and	and
Explosives	explos	Explosives
ATF	atf	ATF
allowed	allow	allowed
guns	gun	gun
from	from	from
the	the	the
U	u	U
.	.	.
S	s	S
.	.	.
to	to	to
be	be	be
smuggled	smuggl	smuggled
into	into	into
Mexico	mexico	Mexico
so	so	so
they	they	they
could	could	could
eventually	eventu	eventually
be	be	be
traced	trace	traced
to	to	to
drug	drug	drug
cartels	cartel	cartel
.	.	.
Instead	instead	Instead
,	,	,
federal	feder	federal
law	law	law
enforcement	enforc	enforcement
officers	offic	officer
lost	lost	lost
track	track	track
of	of	of
hundreds	hundr	hundred
of	of	of
weapons	weapon	weapon
which	which	which
have	have	have
been	been	been
used	use	used
in	in	in
an	an	an
unknown	unknown	unknown
number	number	number
of	of	of
crimes	crime	crime
,	,	,
including	includ	including
the	the	the
murder	murder	murder
of	of	of
a	a	a
U	u	U
.	.	.
S	s	S
.	.	.
Border	border	Border
Patrol	patrol	Patrol
agent	agent	agent
in	in	in
Arizona	arizona	Arizona
.	.	.
In	in	In
2008	2008	2008
JW	jw	JW
got	got	got
documents	document	document
linking	link	linking
Valerie	valeri	Valerie
Jarrett	jarrett	Jarrett
,	,	,
who	who	who
also	also	also
served	serv	served
as	as	a
co	co	co
-chairman	-chairman	-chairman
of	of	of
Obama	obama	Obama
s	s	s
presidential	presidenti	presidential
transition	transit	transition
team	team	team
,	,	,
to	to	to
a	a	a
series	seri	series
of	of	of
real	real	real
estate	estat	estate
scandals	scandal	scandal
,	,	,
including	includ	including
several	sever	several
housing	hous	housing
projects	project	project
operated	oper	operated
by	by	by
convicted	convict	convicted
felon	felon	felon
and	and	and
Obama	obama	Obama
fundraiser	fundrais	fundraiser
friend	friend	friend
Antoin	antoin	Antoin
Tony	toni	Tony
Rezko	rezko	Rezko
.	.	.
According	accord	According
to	to	to
the	the	the
documents	document	document
obtained	obtain	obtained
from	from	from
the	the	the
Illinois	illinoi	Illinois
Secretary	secretari	Secretary
of	of	of
State	state	State
,	,	,
Valerie	valeri	Valerie
Jarrett	jarrett	Jarrett
served	serv	served
as	as	a
a	a	a
board	board	board
member	member	member
for	for	for
several	sever	several
organizations	organ	organization
that	that	that
provided	provid	provided
funding	fund	funding
and	and	and
support	support	support
for	for	for
Chicago	chicago	Chicago
slum	slum	slum
projects	project	project
operated	oper	operated
by	by	by
Tony	toni	Tony
Rezco	rezco	Rezco
.	.	.
Via	via	Via
Judicial	judici	Judicial
Watch	watch	Watch
