Here	here	Here
Herbert	herbert	Herbert
,	,	,
Governor	governor	Governor
of	of	of
Utah	utah	Utah
Jon	jon	Jon
M	m	M
.	.	.
Huntsman	huntsman	Huntsman
Jr	jr	Jr
.	.	.
,	,	,
Former	former	Former
governor	governor	governor
of	of	of
Utah	utah	Utah
Will	will	Will
Hurd	hurd	Hurd
,	,	,
Representative	repres	Representative
of	of	of
Texas	texa	Texas
David	david	David
Jolly	jolli	Jolly
,	,	,
Representative	repres	Representative
of	of	of
FloridaJohn	floridajohn	FloridaJohn
Kasich	kasich	Kasich
,	,	,
Governor	governor	Governor
of	of	of
Ohio	ohio	Ohio
John	john	John
Katko	katko	Katko
,	,	,
Representative	repres	Representative
of	of	of
New	new	New
York	york	York
Steve	steve	Steve
Knight	knight	Knight
,	,	,
Representative	repres	Representative
of	of	of
California	california	California
Mike	mike	Mike
Lee	lee	Lee
,	,	,
Senator	senat	Senator
of	of	of
Utah	utah	Utah
Frank	frank	Frank
A	a	A
.	.	.
LoBiondo	lobiondo	LoBiondo
,	,	,
Representative	repres	Representative
of	of	of
New	new	New
Jersey	jersey	Jersey
Mia	mia	Mia
Love	love	Love
,	,	,
Representative	repres	Representative
of	of	of
Utah	utah	Utah
Susana	susana	Susana
Martinez	martinez	Martinez
,	,	,
Governor	governor	Governor
of	of	of
New	new	New
Mexico	mexico	Mexico
John	john	John
McCain	mccain	McCain
,	,	,
Senator	senat	Senator
of	of	of
Arizona	arizona	Arizona
Patrick	patrick	Patrick
Meehan	meehan	Meehan
,	,	,
Representative	repres	Representative
of	of	of
Pennsylvania	pennsylvania	Pennsylvania
Lisa	lisa	Lisa
Murkowski	murkowski	Murkowski
,	,	,
Senator	senat	Senator
of	of	of
Alaska	alaska	Alaska
George	georg	George
E	e	E
.	.	.
Pataki	pataki	Pataki
,	,	,
Former	former	Former
governor	governor	governor
of	of	of
New	new	New
York	york	York
Erik	erik	Erik
Paulsen	paulsen	Paulsen
,	,	,
Representative	repres	Representative
of	of	of
Minnesota	minnesota	Minnesota
Tim	tim	Tim
Pawlenty	pawlenti	Pawlenty
,	,	,
Former	former	Former
governor	governor	governor
of	of	of
Minnesota	minnesota	Minnesota
Rob	rob	Rob
Portman	portman	Portman
,	,	,
Senator	senat	Senator
of	of	of
Ohio	ohio	Ohio
Martha	martha	Martha
Roby	robi	Roby
,	,	,
Represenative	represen	Represenative
of	of	of
Alabama	alabama	Alabama
Tom	tom	Tom
Rooney	rooney	Rooney
,	,	,
Representative	repres	Representative
of	of	of
Florida	florida	Florida
Brian	brian	Brian
Sandoval	sandov	Sandoval
,	,	,
Governor	governor	Governor
of	of	of
Nevada	nevada	Nevada
Mike	mike	Mike
Simpson	simpson	Simpson
,	,	,
Representative	repres	Representative
of	of	of
Idaho	idaho	Idaho
Chris	chris	Chris
Stewart	stewart	Stewart
,	,	,
Representative	repres	Representative
of	of	of
Utah	utah	Utah
Dan	dan	Dan
Sullivan	sullivan	Sullivan
,	,	,
Senator	senat	Senator
of	of	of
Alaska	alaska	Alaska
John	john	John
Thune	thune	Thune
,	,	,
Senator	senat	Senator
of	of	of
South	south	South
Dakota	dakota	Dakota
and	and	and
chairman	chairman	chairman
of	of	of
the	the	the
Republican	republican	Republican
Conference	confer	Conference
Fred	fred	Fred
Upton	upton	Upton
,	,	,
Representative	repres	Representative
of	of	of
Michigan	michigan	Michigan
Ann	ann	Ann
Wagner	wagner	Wagner
,	,	,
Representative	repres	Representative
of	of	of
Missouri	missouri	Missouri
