If	if	If
for	for	for
the	the	the
warmth	warmth	warmth
of	of	of
the	the	the
fire	fire	fire
.	.	.
People	peopl	People
notice	notic	notice
a	a	a
fire	fire	fire
.	.	.
They	they	They
don	don	don
t	t	t
notice	notic	notice
Jeb	jeb	Jeb
Bush	bush	Bush
.	.	.
The	the	The
money	money	money
could	could	could
have	have	have
been	been	been
put	put	put
to	to	to
better	better	better
use	use	use
by	by	by
building	build	building
a	a	a
new	new	new
water	water	water
system	system	system
for	for	for
Flint	flint	Flint
,	,	,
Michigan	michigan	Michigan
,	,	,
Noah	noah	Noah
added	ad	added
.	.	.
Instead	instead	Instead
,	,	,
Bush	bush	Bush
spent	spent	spent
a	a	a
lot	lot	lot
of	of	of
the	the	the
money	money	money
on	on	on
video	video	video
mailers	mailer	mailer
featuring	featur	featuring
a	a	a
Bush	bush	Bush
documentary	documentari	documentary
that	that	that
were	were	were
actually	actual	actually
mailed	mail	mailed
to	to	to
his	his	his
supporters	support	supporter
and	and	and
potential	potenti	potential
voters	voter	voter
,	,	,
something	someth	something
that	that	that
Noah	noah	Noah
found	found	found
to	to	to
be	be	be
such	such	such
a	a	a
huge	huge	huge
waste	wast	waste
of	of	of
money	money	money
that	that	that
he	he	he
was	was	wa
rendered	render	rendered
speechless	speechless	speechless
for	for	for
a	a	a
few	few	few
seconds	second	second
before	befor	before
regaining	regain	regaining
his	his	his
composure	composur	composure
to	to	to
nail	nail	nail
Jeb	jeb	Jeb
with	with	with
another	anoth	another
zinger	zinger	zinger
.	.	.
Poor	poor	Poor
Jeb	jeb	Jeb
,	,	,
he	he	he
s	s	s
so	so	so
desperate	desper	desperate
for	for	for
his	his	his
videos	video	video
to	to	to
go	go	go
viral	viral	viral
he	he	he
s	s	s
willing	will	willing
to	to	to
physically	physic	physically
mail	mail	mail
them	them	them
to	to	to
your	your	your
house	hous	house
.	.	.
Still	still	Still
,	,	,
Jeb	jeb	Jeb
Bush	bush	Bush
hadn	hadn	hadn
t	t	t
reached	reach	reached
the	the	the
bottom	bottom	bottom
of	of	of
the	the	the
desperation	desper	desperation
pot	pot	pot
.	.	.
Noah	noah	Noah
then	then	then
revealed	reveal	revealed
that	that	that
Bush	bush	Bush
had	had	had
enlisted	enlist	enlisted
his	his	his
mother	mother	mother
to	to	to
appear	appear	appear
in	in	in
an	an	an
ad	ad	ad
touting	tout	touting
him	him	him
as	as	a
the	the	the
one	one	one
candidate	candid	candidate
who	who	who
seems	seem	seems
to	to	to
be	be	be
able	abl	able
to	to	to
solve	solv	solve
the	the	the
country	countri	country
s	s	s
problems	problem	problem
.	.	.
The	the	The
Daily	daili	Daily
Show	show	Show
host	host	host
noted	note	noted
that	that	that
Jeb	jeb	Jeb
s	s	s
own	own	own
mom	mom	mom
didn	didn	didn
t	t	t
sound	sound	sound
sold	sold	sold
on	on	on
her	her	her
son	son	son
s	s	s
qualifications	qualif	qualification
as	as	a
presidential	presidenti	presidential
material	materi	material
.	.	.
It	it	It
s	s	s
like	like	like
a	a	a
guy	guy	guy
getting	get	getting
his	his	his
mom	mom	mom
to	to	to
hit	hit	hit
people	peopl	people
up	up	up
on	on	on
Tinder	tinder	Tinder
for	for	for
him	him	him
,	,	,
he	he	he
said	said	said
,	,	,
which	which	which
led	led	led
to	to	to
a	a	a
video	video	video
clip	clip	clip
showing	show	showing
an	an	an
exchange	exchang	exchange
between	between	between
Bush	bush	Bush
and	and	and
a	a	a
voter	voter	voter
.	.	.
Bush	bush	Bush
asked	ask	asked
the	the	the
voter	voter	voter
who	who	who
she	she	she
is	is	is
voting	vote	voting
for	for	for
.	.	.
After	after	After
she	she	she
replied	repli	replied
that	that	that
she	she	she
didn	didn	didn
t	t	t
know	know	know
yet	yet	yet
,	,	,
Bush	bush	Bush
responded	respond	responded
,	,	,
Oh	oh	Oh
,	,	,
come	come	come
on	on	on
.	.	.
And	and	And
thus	thus	thus
a	a	a
new	new	new
campaign	campaign	campaign
slogan	slogan	slogan
was	was	wa
born	born	born
.	.	.
Here	here	Here
s	s	s
the	the	the
video	video	video
via	via	via
Comedy	comedi	Comedy
Central	central	Central
.	.	.
Seriously	serious	Seriously
,	,	,
Jeb	jeb	Jeb
.	.	.
Do	do	Do
America	america	America
a	a	a
favor	favor	favor
and	and	and
put	put	put
yourself	yourself	yourself
out	out	out
of	of	of
our	our	our
misery	miseri	misery
.	.	.
It	it	It
s	s	s
probably	probabl	probably
the	the	the
only	onli	only
thing	thing	thing
you	you	you
can	can	can
do	do	do
that	that	that
people	peopl	people
will	will	will
support	support	support
.	.	.
Featured	featur	Featured
Image	imag	Image
Screenshot	screenshot	Screenshot
