Admitting	admit	Admitting
know	know	know
he	he	he
would	would	would
have	have	have
won	won	won
but	but	but
now	now	now
Trump	trump	Trump
can	can	can
focus	focus	focus
on	on	on
the	the	the
nation	nation	nation
.	.	.
Oh	oh	Oh
,	,	,
what	what	what
a	a	a
stand	stand	stand
-up	-up	-up
guy	guy	guy
.	.	.
Just	just	Just
throwing	throw	throwing
away	away	away
25	25	25
million	million	million
for	for	for
the	the	the
good	good	good
of	of	of
the	the	the
nation	nation	nation
.	.	.
Yeah	yeah	Yeah
.	.	.
That	that	That
s	s	s
it	it	it
.	.	.
Sure	sure	Sure
.	.	.
Needless	needless	Needless
to	to	to
say	say	say
,	,	,
a	a	a
fraud	fraud	fraud
case	case	case
going	go	going
into	into	into
the	the	the
presidency	presid	presidency
would	would	would
not	not	not
have	have	have
looked	look	looked
good	good	good
and	and	and
now	now	now
the	the	the
president	presid	president
-elect	-elect	-elect
can	can	can
put	put	put
it	it	it
behind	behind	behind
him	him	him
,	,	,
albeit	albeit	albeit
now	now	now
with	with	with
no	no	no
principles	principl	principle
.	.	.
At	at	At
least	least	least
that	that	that
s	s	s
what	what	what
Trump	trump	Trump
said	said	said
of	of	of
himself	himself	himself
if	if	if
he	he	he
settled	settl	settled
,	,	,
which	which	which
he	he	he
did	did	did
,	,	,
so	so	so
there	there	there
you	you	you
have	have	have
it	it	it
.	.	.
Featured	featur	Featured
Photo	photo	Photo
by	by	by
Zach	zach	Zach
Gibson	gibson	Gibson
Getty	getti	Getty
Images	imag	Images
