At	at	At
is	is	is
nothing	noth	nothing
more	more	more
than	than	than
a	a	a
complete	complet	complete
hypocrite	hypocrit	hypocrite
who	who	who
is	is	is
bitching	bitch	bitching
about	about	about
a	a	a
phrase	phrase	phrase
she	she	she
has	has	ha
never	never	never
lived	live	lived
up	up	up
to	to	to
.	.	.
Even	even	Even
Twitter	twitter	Twitter
users	user	user
slammed	slam	slammed
Palin	palin	Palin
for	for	for
attacking	attack	attacking
Warren	warren	Warren
.	.	.
@SarahPalinUSA	@sarahpalinusa	@SarahPalinUSA
Sorry	sorri	Sorry
Sara	sara	Sara
but	but	but
you	you	you
didn	didn	didn
t	t	t
create	creat	create
the	the	the
quote	quot	quote
,	,	,
you	you	you
stole	stole	stole
it	it	it
and	and	and
claimed	claim	claimed
it	it	it
as	as	a
yours	your	yours
#GovernorQuitter	#governorquitt	#GovernorQuitter
Joey	joey	Joey
Mitchell	mitchel	Mitchell
@JoeyM728	@joeym728	@JoeyM728
April	april	April
19	19	19
,	,	,
2017	2017	2017
@SarahPalinUSA	@sarahpalinusa	@SarahPalinUSA
Before	befor	Before
you	you	you
know	know	know
it	it	it
,	,	,
she	she	she
ll	ll	ll
be	be	be
hanging	hang	hanging
out	out	out
in	in	in
Alaska	alaska	Alaska
claiming	claim	claiming
that	that	that
she	she	she
can	can	can
see	see	see
Russia	russia	Russia
from	from	from
her	her	her
backyard	backyard	backyard
.	.	.
Michelle	michell	Michelle
Mantell	mantel	Mantell
@mich101564	@mich101564	@mich101564
April	april	April
19	19	19
,	,	,
2017	2017	2017
@SarahPalinUSA	@sarahpalinusa	@SarahPalinUSA
Are	are	Are
you	you	you
truly	truli	truly
this	this	this
stupid	stupid	stupid
?	?	?
This	this	This
comment	comment	comment
was	was	wa
not	not	not
created	creat	created
by	by	by
you	you	you
!	!	!
It	it	It
s	s	s
been	been	been
around	around	around
for	for	for
decades	decad	decade
and	and	and
you	you	you
stole	stole	stole
it	it	it
from	from	from
someone	someon	someone
else	els	else
.	.	.
SAD	sad	SAD
!	!	!
Michael	michael	Michael
Fishel	fishel	Fishel
@SparkyWhoRuns	@sparkywhorun	@SparkyWhoRuns
April	april	April
19	19	19
,	,	,
2017	2017	2017
@SarahPalinUSA	@sarahpalinusa	@SarahPalinUSA
I	i	I
think	think	think
you	you	you
should	should	should
engage	engag	engage
Warren	warren	Warren
in	in	in
a	a	a
public	public	public
debate	debat	debate
then	then	then
.	.	.
You	you	You
won	won	won
t	t	t
.	.	.
She	she	She
would	would	would
eat	eat	eat
you	you	you
alive	aliv	alive
and	and	and
you	you	you
know	know	know
it	it	it
,	,	,
Mrs	mrs	Mrs
Word	word	Word
Salad	salad	Salad
.	.	.
E	e	E
-Man	-man	-Man
@ebruce2	@ebruce2	@ebruce2
April	april	April
19	19	19
,	,	,
2017	2017	2017
@SarahPalinUSA	@sarahpalinusa	@SarahPalinUSA
Rather	rather	Rather
have	have	have
a	a	a
senator	senat	senator
that	that	that
works	work	work
than	than	than
have	have	have
a	a	a
quitter	quitter	quitter
anyday	anyday	anyday
.	.	.
.	.	.
LMFAO	lmfao	LMFAO
TheStuPadaso	thestupadaso	TheStuPadaso
@The_Stu_Padaso	@the_stu_padaso	@The_Stu_Padaso
April	april	April
19	19	19
,	,	,
2017Featured	2017featur	2017Featured
Image	imag	Image
Flickr	flickr	Flickr
