Before	befor	Before
than	than	than
a	a	a
guy	guy	guy
taking	take	taking
some	some	some
glasses	glass	glass
.	.	.

LaVar	lavar	LaVar
Ball	ball	Ball
,	,	,
father	father	father
of	of	of
UCLA	ucla	UCLA
player	player	player
with	with	with
sticky	sticki	sticky
fingers	finger	finger
Law	law	Law
Newz	newz	Newz
Our	our	Our
Tweeter	tweeter	Tweeter
-in-Chief	-in-chief	-in-Chief
lashed	lash	lashed
out	out	out
on	on	on
Twitter	twitter	Twitter
Sunday	sunday	Sunday
after	after	after
Ball	ball	Ball
,	,	,
a	a	a
businessman	businessman	businessman
,	,	,
and	and	and
ex	ex	ex
-basketball	-basketbal	-basketball
player	player	player
,	,	,
downplayed	downplay	downplayed
POTUS	potus	POTUS
role	role	role
in	in	in
helping	help	helping
release	releas	release
son	son	son
LiAngelo	liangelo	LiAngelo
Ball	ball	Ball
from	from	from
Chinese	chines	Chinese
custody	custodi	custody
.	.	.
Now	now	Now
that	that	that
the	the	the
three	three	three
basketball	basketbal	basketball
players	player	player
are	are	are
out	out	out
of	of	of
China	china	China
and	and	and
saved	save	saved
from	from	from
years	year	year
in	in	in
jail	jail	jail
,	,	,
LaVar	lavar	LaVar
Ball	ball	Ball
,	,	,
the	the	the
father	father	father
of	of	of
LiAngelo	liangelo	LiAngelo
,	,	,
is	is	is
unaccepting	unaccept	unaccepting
of	of	of
what	what	what
I	i	I
did	did	did
for	for	for
his	his	his
son	son	son
and	and	and
that	that	that
shoplifting	shoplift	shoplifting
is	is	is
no	no	no
big	big	big
deal	deal	deal
.	.	.

I	i	I
should	should	should
have	have	have
left	left	left
them	them	them
in	in	in
jail	jail	jail
!	!	!

Donald	donald	Donald
J	j	J
.	.	.

Trump	trump	Trump
@realDonaldTrump	@realdonaldtrump	@realDonaldTrump
November	novemb	November
19	19	19
,	,	,
2017	2017	2017
I	i	I
should	should	should
have	have	have
left	left	left
them	them	them
in	in	in
jail	jail	jail
,	,	,
Trump	trump	Trump
wrote	wrote	wrote
.	.	.

That	that	That
s	s	s
a	a	a
hell	hell	hell
of	of	of
thing	thing	thing
to	to	to
tweet	tweet	tweet
,	,	,
and	and	and
it	it	it
grabbed	grab	grabbed
a	a	a
lot	lot	lot
of	of	of
attention	attent	attention
.	.	.

Outlets	outlet	Outlets
like	like	like
Mediaite	mediait	Mediaite
,	,	,
The	the	The
NY	ny	NY
Times	time	Times
,	,	,
Fox	fox	Fox
News	news	News
,	,	,
and	and	and
ESPN	espn	ESPN
were	were	were
all	all	all
over	over	over
it	it	it
.	.	.

But	but	But
as	as	a
with	with	with
many	mani	many
things	thing	thing
in	in	in
this	this	this
administration	administr	administration
,	,	,
it	it	it
s	s	s
always	alway	always
helpful	help	helpful
to	to	to
review	review	review
a	a	a
president	presid	president
s	s	s
role	role	role
in	in	in
situations	situat	situation
like	like	like
this	this	this
.	.	.
To	to	To
recap	recap	recap
,	,	,
we	we	we
have	have	have
three	three	three
Americans	american	Americans
UCLA	ucla	UCLA
basketball	basketbal	basketball
players	player	player
LiAngelo	liangelo	LiAngelo
Ball	ball	Ball
,	,	,
Jalen	jalen	Jalen
Hill	hill	Hill
and	and	and
Cody	codi	Cody
Riley	riley	Riley
arrested	arrest	arrested
by	by	by
Chinese	chines	Chinese
authorities	author	authority
for	for	for
alleged	alleg	alleged
shoplifting	shoplift	shoplifting
.	.	.

Trump	trump	Trump
took	took	took
credit	credit	credit
for	for	for
their	their	their
return	return	return
to	to	to
the	the	the
states	state	state
,	,	,
saying	say	saying
he	he	he
asked	ask	asked
the	the	the
country	countri	country
s	s	s
president	presid	president
Xi	xi	Xi
Jinping	jinp	Jinping
for	for	for
help	help	help
.	.	.

Now	now	Now
we	we	we
have	have	have
that	that	that
same	same	same
president	presid	president
saying	say	saying
he	he	he
should	should	should
ve	ve	ve
done	done	done
nothing	noth	nothing
.	.	.
What	what	What
does	doe	doe
it	it	it
mean	mean	mean
if	if	if
provable	provabl	provable
spite	spite	spite
motivated	motiv	motivated
a	a	a
president	presid	president
s	s	s
decision	decis	decision
to	to	to
refrain	refrain	refrain
from	from	from
helping	help	helping
an	an	an
American	american	American
held	held	held
in	in	in
custody	custodi	custody
on	on	on
foreign	foreign	foreign
soil	soil	soil
?	?	?

Law	law	Law
Crime	crime	Crime
reached	reach	reached
out	out	out
to	to	to
Harvard	harvard	Harvard
Law	law	Law
Professor	professor	Professor
Noah	noah	Noah
Feldman	feldman	Feldman
for	for	for
his	his	his
take	take	take
on	on	on
the	the	the
matter	matter	matter
and	and	and
asked	ask	asked
if	if	if
such	such	such
behavior	behavior	behavior
,	,	,
or	or	or
something	someth	something
like	like	like
it	it	it
,	,	,
could	could	could
be	be	be
impeachable	impeach	impeachable
.	.	.

Not	not	Not
impeachable	impeach	impeachable
,	,	,
Feldman	feldman	Feldman
wrote	wrote	wrote
in	in	in
an	an	an
email	email	email
.	.	.

He	he	He
was	was	wa
under	under	under
no	no	no
duty	duti	duty
to	to	to
help	help	help
and	and	and
no	no	no
duty	duti	duty
to	to	to
be	be	be
nice	nice	nice
about	about	about
it	it	it
after	after	after
the	the	the
fact	fact	fact
.	.	.

