America	america	America
taxpayers	taxpay	taxpayer
,	,	,
will	will	will
be	be	be
footing	foot	footing
the	the	the
bill	bill	bill
,	,	,
not	not	not
Mexico	mexico	Mexico
.	.	.
We	we	We
are	are	are
going	go	going
to	to	to
drain	drain	drain
the	the	the
swamp	swamp	swamp
in	in	in
Washington	washington	Washington
,	,	,
DC	dc	DC
,	,	,
he	he	he
said	said	said
.	.	.
The	the	The
crowd	crowd	crowd
chanted	chant	chanted
Drain	drain	Drain
the	the	the
swamp	swamp	swamp
,	,	,
Drain	drain	Drain
the	the	the
swamp	swamp	swamp
!	!	!
Trump	trump	Trump
s	s	s
gullible	gullibl	gullible
supporters	support	supporter
did	did	did
this	this	this
after	after	after
he	he	he
already	alreadi	already
filled	fill	filled
the	the	the
swamp	swamp	swamp
up	up	up
with	with	with
terrifying	terrifi	terrifying
creatures	creatur	creature
.	.	.
On	on	On
Air	air	Air
Force	forc	Force
One	one	One
,	,	,
Trump	trump	Trump
told	told	told
reporters	report	reporter
,	,	,
Life	life	Life
is	is	is
a	a	a
campaign	campaign	campaign
.	.	.
Making	make	Making
our	our	our
country	countri	country
great	great	great
again	again	again
is	is	is
a	a	a
campaign	campaign	campaign
.	.	.
For	for	For
me	me	me
,	,	,
it	it	it
s	s	s
a	a	a
campaign	campaign	campaign
.	.	.
To	to	To
make	make	make
America	america	America
great	great	great
again	again	again
is	is	is
absolutely	absolut	absolutely
a	a	a
campaign	campaign	campaign
.	.	.
It	it	It
s	s	s
not	not	not
easy	easi	easy
,	,	,
especially	especi	especially
when	when	when
we	we	we
re	re	re
also	also	also
fighting	fight	fighting
the	the	the
press	press	press
.	.	.
According	accord	According
to	to	to
the	the	the
Melbourne	melbourn	Melbourne
Police	polic	Police
,	,	,
9	9	9
,	,	,
000	000	000
people	peopl	people
attended	attend	attended
the	the	the
campaign	campaign	campaign
rally	ralli	rally
for	for	for
the	the	the
man	man	man
who	who	who
has	has	ha
already	alreadi	already
been	been	been
elected	elect	elected
.	.	.
Photo	photo	Photo
by	by	by
Chip	chip	Chip
Somodevilla	somodevilla	Somodevilla
Getty	getti	Getty
Images	imag	Images
.	.	.
