A	a	A
handgun	handgun	handgun
by	by	by
a	a	a
juvenile	juvenil	juvenile
,	,	,
possession	possess	possession
of	of	of
a	a	a
firearm	firearm	firearm
with	with	with
an	an	an
obliterated	obliter	obliterated
serial	serial	serial
number	number	number
,	,	,
illegal	illeg	illegal
use	use	use
of	of	of
weapons	weapon	weapon
and	and	and
disturbing	disturb	disturbing
the	the	the
peace	peac	peace
by	by	by
fighting	fight	fighting
,	,	,
McGregor	mcgregor	McGregor
said	said	said
.	.	.
Officers	offic	Officers
arrested	arrest	arrested
Hall	hall	Hall
and	and	and
booked	book	booked
her	her	her
with	with	with
disturbing	disturb	disturbing
the	the	the
peace	peac	peace
by	by	by
fighting	fight	fighting
and	and	and
six	six	six
counts	count	count
of	of	of
contributing	contribut	contributing
to	to	to
the	the	the
delinquency	delinqu	delinquency
of	of	of
juveniles	juvenil	juvenile
.	.	.
Just	just	Just
because	becaus	because
you	you	you
ve	ve	ve
been	been	been
in	in	in
a	a	a
fight	fight	fight
,	,	,
it	it	it
doesn	doesn	doesn
t	t	t
give	give	give
you	you	you
the	the	the
right	right	right
to	to	to
go	go	go
over	over	over
there	there	there
and	and	and
start	start	start
a	a	a
whole	whole	whole
new	new	new
fight	fight	fight
,	,	,
McGregor	mcgregor	McGregor
said	said	said
.	.	.
She	she	She
s	s	s
instigating	instig	instigating
something	someth	something
by	by	by
taking	take	taking
the	the	the
group	group	group
over	over	over
there	there	there
in	in	in
the	the	the
first	first	first
place	place	place
.	.	.
Police	polic	Police
also	also	also
arrested	arrest	arrested
Hall	hall	Hall
s	s	s
two	two	two
sons	son	son
and	and	and
booked	book	booked
them	them	them
with	with	with
disturbing	disturb	disturbing
the	the	the
peace	peac	peace
by	by	by
fighting	fight	fighting
.	.	.
Investigators	investig	Investigators
expect	expect	expect
more	more	more
arrests	arrest	arrest
to	to	to
come	come	come
as	as	a
they	they	they
identify	identifi	identify
the	the	the
other	other	other
teens	teen	teen
who	who	who
were	were	were
present	present	present
at	at	at
the	the	the
time	time	time
of	of	of
the	the	the
fight	fight	fight
and	and	and
shooting	shoot	shooting
,	,	,
McGregor	mcgregor	McGregor
said	said	said
.	.	.
Authorities	author	Authorities
have	have	have
also	also	also
been	been	been
told	told	told
that	that	that
video	video	video
exists	exist	exists
of	of	of
the	the	the
fight	fight	fight
,	,	,
and	and	and
police	polic	police
are	are	are
working	work	working
to	to	to
find	find	find
it	it	it
.	.	.
We	we	We
re	re	re
not	not	not
going	go	going
to	to	to
have	have	have
all	all	all
these	these	these
juveniles	juvenil	juvenile
engaging	engag	engaging
in	in	in
a	a	a
fight	fight	fight
in	in	in
the	the	the
city	citi	city
of	of	of
Kenner	kenner	Kenner
,	,	,
McGregor	mcgregor	McGregor
said	said	said
.	.	.
