Some	some	Some
not	not	not
support	support	support
the	the	the
politically	polit	politically
correct	correct	correct
version	version	version
.	.	.

And	and	And
even	even	even
that	that	that
politically	polit	politically
correct	correct	correct
version	version	version
was	was	wa
a	a	a
bunch	bunch	bunch
of	of	of
crap	crap	crap
,	,	,
too	too	too
.	.	.
Luckily	luckili	Luckily
,	,	,
the	the	the
courts	court	court
recognize	recogn	recognize
this	this	this
.	.	.

The	the	The
Order	order	Order
seeks	seek	seek
to	to	to
ban	ban	ban
people	peopl	people
from	from	from
specific	specif	specific
countries	countri	country
,	,	,
but	but	but
it	it	it
does	doe	doe
not	not	not
provide	provid	provide
any	ani	any
link	link	link
between	between	between
an	an	an
individual	individu	individual
s	s	s
nationality	nation	nationality
and	and	and
their	their	their
propensity	propens	propensity
to	to	to
commit	commit	commit
terrorism	terror	terrorism
or	or	or
their	their	their
inherent	inher	inherent
dangerousness	danger	dangerousness
,	,	,
the	the	the
judges	judg	judge
said	said	said
.	.	.

In	in	In
short	short	short
,	,	,
the	the	the
Order	order	Order
does	doe	doe
not	not	not
provide	provid	provide
a	a	a
rationale	rational	rationale
explaining	explain	explaining
why	whi	why
permitting	permit	permitting
entry	entri	entry
of	of	of
nationals	nation	national
from	from	from
the	the	the
six	six	six
designated	design	designated
countries	countri	country
would	would	would
be	be	be
detrimental	detriment	detrimental
.	.	.

Source	sourc	Source
FortuneKicking	fortunekick	FortuneKicking
yourself	yourself	yourself
now	now	now
for	for	for
stating	state	stating
that	that	that
Trump	trump	Trump
s	s	s
tweets	tweet	tweet
are	are	are
official	offici	official
White	white	White
House	hous	House
statements	statement	statement
,	,	,
aren	aren	aren
t	t	t
you	you	you
,	,	,
Spicer	spicer	Spicer
?	?	?
Like	like	Like
I	i	I
said	said	said
there	there	there
s	s	s
obvious	obvious	obvious
good	good	good
from	from	from
Trump	trump	Trump
s	s	s
Twittering	twitter	Twittering
.	.	.

Trump	trump	Trump
helped	help	helped
stopped	stop	stopped
his	his	his
travel	travel	travel
ban	ban	ban
executive	execut	executive
order	order	order
once	onc	once
again	again	again
.	.	.
Featured	featur	Featured
Image	imag	Image
by	by	by
Alex	alex	Alex
Wong	wong	Wong
Getty	getti	Getty
Images	imag	Images

