THESE	these	THESE
disciplined	disciplin	disciplined
and	and	and
that	that	that
he	he	he
would	would	would
be	be	be
in	in	in
his	his	his
usual	usual	usual
spot	spot	spot
as	as	a
co	co	co
-host	-host	-host
of	of	of
the	the	the
Today	today	Today
show	show	show
s	s	s
9	9	9
a	a	a
.	.	.
m	m	m
.	.	.
hour	hour	hour
on	on	on
Monday	monday	Monday
morning	morn	morning
.	.	.
As	as	As
late	late	late
as	as	a
Sunday	sunday	Sunday
morning	morn	morning
,	,	,
one	one	one
of	of	of
the	the	the
sources	sourc	source
was	was	wa
saying	say	saying
that	that	that
Bush	bush	Bush
would	would	would
use	use	use
Monday	monday	Monday
s	s	s
broadcast	broadcast	broadcast
to	to	to
reiterate	reiter	reiterate
the	the	the
apology	apolog	apology
he	he	he
made	made	made
Friday	friday	Friday
.	.	.
But	but	But
on	on	on
Sunday	sunday	Sunday
afternoon	afternoon	afternoon
,	,	,
senior	senior	senior
NBC	nbc	NBC
executives	execut	executive
made	made	made
the	the	the
decision	decis	decision
to	to	to
bench	bench	bench
Bush	bush	Bush
on	on	on
Monday	monday	Monday
,	,	,
effectively	effect	effectively
reprimanding	reprimand	reprimanding
him	him	him
.	.	.
A	a	A
couple	coupl	couple
of	of	of
hours	hour	hour
later	later	later
,	,	,
the	the	the
executive	execut	executive
in	in	in
charge	charg	charge
of	of	of
Today	today	Today
,	,	,
Noah	noah	Noah
Oppenheim	oppenheim	Oppenheim
,	,	,
said	said	said
in	in	in
an	an	an
internal	intern	internal
memo	memo	memo
that	that	that
the	the	the
executives	execut	executive
had	had	had
decided	decid	decided
to	to	to
go	go	go
even	even	even
further	further	further
and	and	and
suspend	suspend	suspend
Bush	bush	Bush
.	.	.

I	i	I
know	know	know
we	we	we
ve	ve	ve
all	all	all
been	been	been
deeply	deepli	deeply
troubled	troubl	troubled
by	by	by
the	the	the
revelations	revel	revelation
of	of	of
the	the	the
past	past	past
48	48	48
hours	hour	hour
,	,	,
Oppenheim	oppenheim	Oppenheim
wrote	wrote	wrote
.	.	.

Let	let	Let
me	me	me
be	be	be
clear	clear	clear
there	there	there
is	is	is
simply	simpli	simply
no	no	no
excuse	excus	excuse
for	for	for
Billy	billi	Billy
s	s	s
language	languag	language
and	and	and
behavior	behavior	behavior
on	on	on
that	that	that
tape	tape	tape
,	,	,
he	he	he
wrote	wrote	wrote
.	.	.

NBC	nbc	NBC
has	has	ha
decided	decid	decided
to	to	to
suspend	suspend	suspend
Billy	billi	Billy
,	,	,
pending	pend	pending
further	further	further
review	review	review
of	of	of
this	this	this
matter	matter	matter
.	.	.

Before	befor	Before
the	the	the
memo	memo	memo
was	was	wa
released	releas	released
,	,	,
the	the	the
on	on	on
-air	-air	-air
source	sourc	source
said	said	said
staffers	staffer	staffer
were	were	were
in	in	in
the	the	the
dark	dark	dark
,	,	,
stuck	stuck	stuck
refreshing	refresh	refreshing
Twitter	twitter	Twitter
to	to	to
find	find	find
out	out	out
what	what	what
was	was	wa
going	go	going
on	on	on
with	with	with
Bush	bush	Bush
.	.	.
The	the	The
suspension	suspens	suspension
was	was	wa
a	a	a
stunning	stun	stunning
turn	turn	turn
of	of	of
events	event	event
.	.	.

The	the	The
Today	today	Today
show	show	show
recently	recent	recently
made	made	made
a	a	a
multi	multi	multi
-million-dollar	-million-dollar	-million-dollar
bet	bet	bet
on	on	on
Bush	bush	Bush
,	,	,
relocating	reloc	relocating
him	him	him
from	from	from
Los	los	Los
Angeles	angel	Angeles
to	to	to
New	new	New
York	york	York
and	and	and
making	make	making
him	him	him
a	a	a
co	co	co
-host	-host	-host
.	.	.
But	but	But
the	the	the
taped	tape	taped
2005	2005	2005
conversation	convers	conversation
between	between	between
Bush	bush	Bush
and	and	and
Trump	trump	Trump
has	has	ha
upended	upend	upended
the	the	the
careers	career	career
of	of	of
both	both	both
men	men	men
.	.	.
Read	read	Read
more	more	more
wisn	wisn	wisn

