On	on	On
obtain	obtain	obtain
from	from	from
Asia	asia	Asia
.	.	.
The	the	The
states	state	state
of	of	of
Texas	texa	Texas
and	and	and
Nebraska	nebraska	Nebraska
were	were	were
also	also	also
busted	bust	busted
for	for	for
smuggling	smuggl	smuggling
illegal	illeg	illegal
drugs	drug	drug
into	into	into
the	the	the
country	countri	country
last	last	last
year	year	year
.	.	.
With	with	With
Arizona	arizona	Arizona
s	s	s
recent	recent	recent
decision	decis	decision
to	to	to
discontinue	discontinu	discontinue
the	the	the
use	use	use
of	of	of
midazolam	midazolam	midazolam
,	,	,
the	the	the
state	state	state
s	s	s
lack	lack	lack
of	of	of
access	access	access
to	to	to
other	other	other
death	death	death
penalty	penalti	penalty
drugs	drug	drug
in	in	in
the	the	the
U	u	U
.	.	.
S	s	S
.	.	.
,	,	,
and	and	and
the	the	the
federal	feder	federal
government	govern	government
blocking	block	blocking
attempts	attempt	attempt
to	to	to
obtain	obtain	obtain
the	the	the
drugs	drug	drug
from	from	from
overseas	oversea	overseas
,	,	,
Arizona	arizona	Arizona
is	is	is
officially	offici	officially
out	out	out
of	of	of
options	option	option
for	for	for
killing	kill	killing
people	peopl	people
.	.	.
Image	imag	Image
credit	credit	credit
Wikimedia	wikimedia	Wikimedia
Commons	common	Commons

