Gross	gross	Gross
.	.	.
White	white	White
House	hous	House
officials	offici	official
made	made	made
hundreds	hundr	hundred
of	of	of
requests	request	request
for	for	for
repairs	repair	repair
,	,	,
equipment	equip	equipment
and	and	and
pest	pest	pest
control	control	control
in	in	in
2017	2017	2017
with	with	with
the	the	the
US	us	US
General	general	General
Services	servic	Services
Administration	administr	Administration
many	mani	many
of	of	of
which	which	which
were	were	were
similar	similar	similar
to	to	to
those	those	those
made	made	made
in	in	in
2016	2016	2016
during	dure	during
Barack	barack	Barack
Obama	obama	Obama
s	s	s
final	final	final
year	year	year
in	in	in
office	offic	office
,	,	,
NBC4	nbc4	NBC4
reports	report	report
.	.	.
The	the	The
work	work	work
orders	order	order
were	were	were
similar	similar	similar
in	in	in
number	number	number
and	and	and
included	includ	included
reports	report	report
of	of	of
mice	mice	mouse
,	,	,
cockroaches	cockroach	cockroach
and	and	and
even	even	even
ants	ant	ant
!	!	!
Some	some	Some
orders	order	order
listed	list	listed
simple	simpl	simple
projects	project	project
such	such	such
as	as	a
broken	broken	broken
doors	door	door
and	and	and
chairs	chair	chair
,	,	,
while	while	while
others	other	others
detailed	detail	detailed
requests	request	request
for	for	for
TV	tv	TV
systems	system	system
and	and	and
new	new	new
decor	decor	decor
.	.	.

It	it	It
s	s	s
an	an	an
enormous	enorm	enormous
job	job	job
.	.	.

GSA	gsa	GSA
is	is	is
assigned	assign	assigned
to	to	to
manage	manag	manage
that	that	that
job	job	job
,	,	,
explained	explain	explained
former	former	former
GSA	gsa	GSA
Inspector	inspector	Inspector
General	general	General
Brian	brian	Brian
Miller	miller	Miller
.	.	.
Some	some	Some
of	of	of
the	the	the
work	work	work
that	that	that
needs	need	need
to	to	to
be	be	be
done	done	done
inside	insid	inside
the	the	the
White	white	White
House	hous	House
listed	list	listed
a	a	a
mid	mid	mid
-April	-april	-April
deadline	deadlin	deadline
,	,	,
though	though	though
it	it	it
s	s	s
unclear	unclear	unclear
if	if	if
this	this	this
was	was	wa
actually	actual	actually
met	met	met
.	.	.

It	it	It
s	s	s
also	also	also
not	not	not
known	known	known
if	if	if
any	ani	any
of	of	of
the	the	the
aforementioned	aforement	aforementioned
issues	issu	issue
were	were	were
ever	ever	ever
fixed	fix	fixed
or	or	or
dealt	dealt	dealt
with	with	with
.	.	.

They	they	They
are	are	are
old	old	old
buildings	build	building
,	,	,
Miller	miller	Miller
said	said	said
of	of	of
the	the	the
grounds	ground	ground
at	at	at
1600	1600	1600
Pennsylvania	pennsylvania	Pennsylvania
Avenue	avenu	Avenue
.	.	.

Any	ani	Any
of	of	of
us	us	u
who	who	who
have	have	have
old	old	old
houses	hous	house
know	know	know
old	old	old
houses	hous	house
need	need	need
a	a	a
lot	lot	lot
of	of	of
work	work	work
.	.	.

Via	via	Via
NYP	nyp	NYP

