Regardless	regardless	Regardless
,	,	,
too	too	too
,	,	,
and	and	and
he	he	he
hit	hit	hit
back	back	back
at	at	at
the	the	the
GOP	gop	GOP
with	with	with
a	a	a
brilliant	brilliant	brilliant
tweet	tweet	tweet
that	that	that
summed	sum	summed
up	up	up
everyone	everyon	everyone
s	s	s
frustration	frustrat	frustration
with	with	with
the	the	the
situation	situat	situation
With	with	With
more	more	more
than	than	than
300	300	300
days	day	day
left	left	left
in	in	in
President	presid	President
Obama	obama	Obama
s	s	s
term	term	term
,	,	,
the	the	the
Senate	senat	Senate
has	has	ha
no	no	no
excuse	excus	excuse
to	to	to
delay	delay	delay
.	.	.

#DoYourJob	#doyourjob	#DoYourJob
pic.twitter.com/ultmGstueA	pic.twitter.com/ultmgstuea	pic.twitter.com/ultmGstueA
Barack	barack	Barack
Obama	obama	Obama
@BarackObama	@barackobama	@BarackObama
February	februari	February
23	23	23
,	,	,
2016In	2016in	2016In
his	his	his
tweet	tweet	tweet
,	,	,
Obama	obama	Obama
reminded	remind	reminded
the	the	the
GOP	gop	GOP
of	of	of
just	just	just
how	how	how
ridiculous	ridicul	ridiculous
their	their	their
delay	delay	delay
was	was	wa
by	by	by
showing	show	showing
them	them	them
a	a	a
gif	gif	gif
of	of	of
the	the	the
number	number	number
of	of	of
days	day	day
between	between	between
previous	previous	previous
Justice	justic	Justice
s	s	s
nominations	nomin	nomination
and	and	and
confirmations	confirm	confirmation
.	.	.

Noting	note	Noting
that	that	that
the	the	the
Senate	senat	Senate
Republicans	republican	Republicans
have	have	have
a	a	a
constitutional	constitut	constitutional
duty	duti	duty
to	to	to
vote	vote	vote
on	on	on
a	a	a
nominee	nomine	nominee
,	,	,
Obama	obama	Obama
followed	follow	followed
it	it	it
with	with	with
the	the	the
ever	ever	ever
-so-appropriate	-so-appropri	-so-appropriate
hashtag	hashtag	hashtag
#DoYourJob	#doyourjob	#DoYourJob
and	and	and
urged	urg	urged
his	his	his
70	70	70
million	million	million
followers	follow	follower
to	to	to
put	put	put
pressure	pressur	pressure
on	on	on
the	the	the
GOP	gop	GOP
to	to	to
do	do	do
the	the	the
right	right	right
thing	thing	thing
.	.	.
TwitterAlthough	twitteralthough	TwitterAlthough
Obama	obama	Obama
has	has	ha
yet	yet	yet
to	to	to
select	select	select
a	a	a
nominee	nomine	nominee
,	,	,
the	the	the
president	presid	president
has	has	ha
said	said	said
that	that	that
he	he	he
will	will	will
,	,	,
and	and	and
hopefully	hope	hopefully
by	by	by
then	then	then
this	this	this
awful	aw	awful
back	back	back
-and-forth	-and-forth	-and-forth
with	with	with
the	the	the
GOP	gop	GOP
will	will	will
have	have	have
come	come	come
to	to	to
an	an	an
end	end	end
.	.	.

Featured	featur	Featured
image	imag	image
via	via	via
Twitter	twitter	Twitter
and	and	and
Flickr	flickr	Flickr

