Rabid	rabid	Rabid
believes	believ	belief
the	the	the
NRA	nra	NRA
is	is	is
a	a	a
terrorist	terrorist	terrorist
group	group	group
In	in	In
light	light	light
of	of	of
the	the	the
House	hous	House
passing	pass	passing
today	today	today
s	s	s
gun	gun	gun
bill	bill	bill
,	,	,
a	a	a
friendly	friend	friendly
reminder	remind	reminder
that	that	that
the	the	the
NRA	nra	NRA
is	is	is
a	a	a
terrorist	terrorist	terrorist
organization	organ	organization
.	.	.

Michael	michael	Michael
Ian	ian	Ian
Black	black	Black
@michaelianblack	@michaelianblack	@michaelianblack
December	decemb	December
6	6	6
,	,	,
2017Black	2017black	2017Black
is	is	is
the	the	the
author	author	author
of	of	of
a	a	a
disgusting	disgust	disgusting
anti	anti	anti
-Trump	-trump	-Trump
book	book	book
called	call	called
A	a	A
Child	child	Child
s	s	s
First	first	First
Book	book	Book
Of	of	Of
Trump	trump	Trump
.	.	.

If	if	If
you	you	you
want	want	want
to	to	to
check	check	check
out	out	out
or	or	or
review	review	review
Michael	michael	Michael
Ian	ian	Ian
Black	black	Black
s	s	s
book	book	book
,	,	,
you	you	you
can	can	can
find	find	find
it	it	it
for	for	for
purchase	purchas	purchase
on	on	on
Amazon	amazon	Amazon
and	and	and
the	the	the
Barnes	barn	Barnes
and	and	and
Noble	nobl	Noble
website	websit	website
.	.	.

Here	here	Here
is	is	is
the	the	the
Barnes	barn	Barnes
and	and	and
Noble	nobl	Noble
Overview	overview	Overview
of	of	of
Black	black	Black
s	s	s
book	book	book
from	from	from
their	their	their
website	websit	website
OverviewA	overviewa	OverviewA
Child	child	Child
s	s	s
First	first	First
Book	book	Book
of	of	of
Trump	trump	Trump
by	by	by
Michael	michael	Michael
Ian	ian	Ian
Black	black	Black
,	,	,
Marc	marc	Marc
Rosenthal	rosenth	Rosenthal
A	a	A
New	new	New
York	york	York
Times	time	Times
bestseller	bestsel	bestseller
!	!	!
What	what	What
do	do	do
you	you	you
do	do	do
when	when	when
you	you	you
spot	spot	spot
a	a	a
wild	wild	wild
Trump	trump	Trump
in	in	in
the	the	the
election	elect	election
season	season	season
?	?	?

New	new	New
York	york	York
Times	time	Times
bestselling	bestsel	bestselling
author	author	author
and	and	and
comedian	comedian	comedian
Michael	michael	Michael
Ian	ian	Ian
Black	black	Black
has	has	ha
some	some	some
sage	sage	sage
advice	advic	advice
for	for	for
children	children	child
and	and	and
all	all	all
the	the	the
rest	rest	rest
of	of	of
us	us	u
who	who	who
are	are	are
scratching	scratch	scratching
our	our	our
heads	head	head
in	in	in
disbelief	disbelief	disbelief
in	in	in
this	this	this
perfectly	perfect	perfectly
timely	time	timely
parody	parodi	parody
picture	pictur	picture
book	book	book
intended	intend	intended
for	for	for
adults	adult	adult
that	that	that
would	would	would
be	be	be
hysterical	hyster	hysterical
if	if	if
it	it	it
wasn	wasn	wasn
t	t	t
so	so	so
true	true	true
.	.	.
The	the	The
beasty	beasti	beasty
is	is	is
called	call	called
an	an	an
American	american	American
Trump	trump	Trump
.	.	.

Its	it	Its
skin	skin	skin
is	is	is
bright	bright	bright
orange	orang	orange
,	,	,
its	it	it
figure	figur	figure
is	is	is
plump	plump	plump
.	.	.

Its	it	Its
fur	fur	fur
so	so	so
complex	complex	complex
you	you	you
might	might	might
get	get	get
enveloped	envelop	enveloped
.	.	.

Its	it	Its
hands	hand	hand
though	though	though
are	are	are
,	,	,
sadly	sad	sadly
,	,	,
underdeveloped	underdevelop	underdeveloped
.	.	.
The	the	The
Trump	trump	Trump
is	is	is
a	a	a
curious	curious	curious
creature	creatur	creature
,	,	,
very	veri	very
often	often	often
spotted	spot	spotted
in	in	in
the	the	the
wild	wild	wild
,	,	,
but	but	but
confounding	confound	confounding
to	to	to
our	our	our
youngest	youngest	youngest
citizens	citizen	citizen
.	.	.

A	a	A
business	busi	business
mogul	mogul	mogul
,	,	,
reality	realiti	reality
TV	tv	TV
host	host	host
,	,	,
and	and	and
now	now	now
political	polit	political
candidate	candid	candidate
?	?	?

Kids	kid	Kids
and	and	and
let	let	let
s	s	s
be	be	be
honest	honest	honest
many	mani	many
adults	adult	adult
might	might	might
have	have	have
difficulty	difficulti	difficulty
discerning	discern	discerning
just	just	just
what	what	what
this	this	this
thing	thing	thing
that	that	that
s	s	s
been	been	been
dominating	domin	dominating
news	news	news
coverage	coverag	coverage
this	this	this
election	elect	election
cycle	cycl	cycle
is	is	is
.	.	.

Could	could	Could
he	he	he
actually	actual	actually
be	be	be
real	real	real
?	?	?

Are	are	Are
those	those	those
words	word	word
coming	come	coming
out	out	out
of	of	of
his	his	his
mouth	mouth	mouth
?	?	?

Why	whi	Why
are	are	are
his	his	his
hands	hand	hand
so	so	so
tiny	tini	tiny
?	?	?

And	and	And
perhaps	perhap	perhaps
most	most	most
importantly	import	importantly
,	,	,
what	what	what
on	on	on
earth	earth	earth
do	do	do
you	you	you
do	do	do
when	when	when
you	you	you
encounter	encount	encounter
an	an	an
American	american	American
Trump	trump	Trump
?	?	?
With	with	With
his	his	his
signature	signatur	signature
wit	wit	wit
and	and	and
a	a	a
classic	classic	classic
picture	pictur	picture
book	book	book
style	style	style
,	,	,
comedian	comedian	comedian
Michael	michael	Michael
Ian	ian	Ian
Black	black	Black
introduces	introduc	introduces
those	those	those
unfamiliar	unfamiliar	unfamiliar
with	with	with
the	the	the
Americus	americus	Americus
Trumpus	trumpus	Trumpus
to	to	to
his	his	his
distinguishing	distinguish	distinguishing
features	featur	feature
and	and	and
his	his	his
mystifying	mystifi	mystifying
campaign	campaign	campaign
for	for	for
world	world	world
domination	domin	domination
sorry	sorri	sorry
President	presid	President
of	of	of
the	the	the
United	unit	United
States	state	States
.	.	.
Michael	michael	Michael
Ian	ian	Ian
Black	black	Black
is	is	is
scheduled	schedul	scheduled
to	to	to
appear	appear	appear
in	in	in
Boston	boston	Boston
at	at	at
the	the	the
Laugh	laugh	Laugh
House	hous	House
Nov	nov	Nov
.	.	.

9	9	9
11th	11th	11th
.	.	.

You	you	You
can	can	can
contact	contact	contact
the	the	the
Laugh	laugh	Laugh
House	hous	House
at	at	at
this	this	this
number	number	number
and	and	and
let	let	let
them	them	them
know	know	know
how	how	how
you	you	you
feel	feel	feel
about	about	about
them	them	them
supporting	support	supporting
Black	black	Black
at	at	at
their	their	their
venue	venu	venue
617	617	617
725	725	725
-2844Black	-2844black	-2844Black
can	can	can
also	also	also
be	be	be
found	found	found
acting	act	acting
with	with	with
an	an	an
entire	entir	entire
cast	cast	cast
of	of	of
rabid	rabid	rabid
Trump	trump	Trump
-hating	-hate	-hating
liberal	liber	liberal
actors	actor	actor
on	on	on
Netflix	netflix	Netflix
movie	movi	movie
Wet	wet	Wet
Hot	hot	Hot
American	american	American
Summer	summer	Summer
Ten	ten	Ten
Years	year	Years
Later	later	Later
,	,	,
and	and	and
previously	previous	previously
in	in	in
Wet	wet	Wet
Hot	hot	Hot
American	american	American
Summer	summer	Summer
.	.	.

