Late	late	Late
God	god	God
I	i	I
go	go	go
in	in	in
there	there	there
with	with	with
blinders	blinder	blinder
on	on	on
.	.	.

I	i	I
don	don	don
t	t	t
know	know	know
who	who	who
s	s	s
next	next	next
to	to	to
me	me	me
.	.	.

It	it	It
could	could	could
be	be	be
a	a	a
centaur	centaur	centaur
next	next	next
to	to	to
me	me	me
,	,	,
for	for	for
all	all	all
I	i	I
know	know	know
.	.	.

I	i	I
don	don	don
t	t	t
even	even	even
like	like	like
to	to	to
look	look	look
at	at	at
myself	myself	myself
in	in	in
the	the	the
mirror	mirror	mirror
afterwards	afterward	afterwards
.	.	.

I	i	I
know	know	know
what	what	what
I	i	I
did	did	did
.	.	.

I	i	I
m	m	m
there	there	there
for	for	for
a	a	a
surgical	surgic	surgical
strike	strike	strike
get	get	get
in	in	in
,	,	,
get	get	get
out	out	out
,	,	,
minimal	minim	minimal
casualties	casualti	casualty
.	.	.

Colbert	colbert	Colbert
doesn	doesn	doesn
t	t	t
even	even	even
care	care	care
if	if	if
a	a	a
famous	famous	famous
celebrity	celebr	celebrity
or	or	or
a	a	a
fan	fan	fan
is	is	is
standing	stand	standing
next	next	next
to	to	to
him	him	him
.	.	.

He	he	He
simply	simpli	simply
wants	want	want
to	to	to
do	do	do
his	his	his
business	busi	business
with	with	with
no	no	no
chit	chit	chit
-chat	-chat	-chat
and	and	and
get	get	get
the	the	the
hell	hell	hell
out	out	out
.	.	.

I	i	I
m	m	m
not	not	not
there	there	there
to	to	to
make	make	make
friends	friend	friend
.	.	.

If	if	If
we	we	we
ve	ve	ve
just	just	just
come	come	come
out	out	out
of	of	of
a	a	a
movie	movi	movie
and	and	and
you	you	you
re	re	re
standing	stand	standing
next	next	next
to	to	to
me	me	me
,	,	,
I	i	I
don	don	don
t	t	t
want	want	want
to	to	to
talk	talk	talk
about	about	about
how	how	how
irreplaceable	irreplac	irreplaceable
Robert	robert	Robert
Downey	downey	Downey
Jr	jr	Jr
.	.	.
is	is	is
as	as	a
Iron	iron	Iron
Man	man	Man
.	.	.

I	i	I
don	don	don
t	t	t
care	care	care
if	if	if
you	you	you
re	re	re
Robert	robert	Robert
Downey	downey	Downey
Jr	jr	Jr
.	.	.
yourself	yourself	yourself
.	.	.

Second	second	Second
,	,	,
if	if	if
you	you	you
re	re	re
a	a	a
fan	fan	fan
of	of	of
mine	mine	mine
that	that	that
s	s	s
wonderful	wonder	wonderful
,	,	,
he	he	he
continued	continu	continued
.	.	.

Please	pleas	Please
don	don	don
t	t	t
try	tri	try
to	to	to
shake	shake	shake
my	my	my
hand	hand	hand
in	in	in
there	there	there
.	.	.

Because	becaus	Because
I	i	I
know	know	know
what	what	what
you	you	you
just	just	just
shook	shook	shook
.	.	.

Also	also	Also
,	,	,
if	if	if
there	there	there
are	are	are
a	a	a
bunch	bunch	bunch
of	of	of
open	open	open
stalls	stall	stall
,	,	,
don	don	don
t	t	t
take	take	take
the	the	the
one	one	one
next	next	next
to	to	to
me	me	me
.	.	.

It	it	It
s	s	s
not	not	not
the	the	the
buddy	buddi	buddy
system	system	system
.	.	.

With	with	With
that	that	that
being	be	being
said	said	said
,	,	,
Colbert	colbert	Colbert
concluded	conclud	concluded
that	that	that
Republicans	republican	Republicans
are	are	are
the	the	the
real	real	real
weirdos	weirdo	weirdo
for	for	for
obsessing	obsess	obsessing
so	so	so
much	much	much
over	over	over
who	who	who
is	is	is
using	use	using
the	the	the
bathroom	bathroom	bathroom
and	and	and
what	what	what
their	their	their
genitalia	genitalia	genitalia
is	is	is
.	.	.

To	to	To
all	all	all
those	those	those
lawmakers	lawmak	lawmaker
out	out	out
there	there	there
who	who	who
are	are	are
so	so	so
obsessed	obsess	obsessed
with	with	with
who	who	who
s	s	s
using	use	using
what	what	what
bathroom	bathroom	bathroom
and	and	and
what	what	what
plumbing	plumb	plumbing
they	they	they
ve	ve	ve
got	got	got
downtown	downtown	downtown
newsflash	newsflash	newsflash
You	you	You
re	re	re
the	the	the
weirdos	weirdo	weirdo
.	.	.

Here	here	Here
s	s	s
the	the	the
video	video	video
via	via	via
YouTube	youtub	YouTube
.	.	.
Colbert	colbert	Colbert
is	is	is
absolutely	absolut	absolutely
right	right	right
,	,	,
of	of	of
course	cours	course
.	.	.
Republicans	republican	Republicans
are	are	are
not	not	not
only	onli	only
obsessed	obsess	obsessed
with	with	with
gay	gay	gay
people	peopl	people
having	have	having
sex	sex	sex
,	,	,
they	they	they
are	are	are
obsessed	obsess	obsessed
with	with	with
who	who	who
is	is	is
using	use	using
the	the	the
bathroom	bathroom	bathroom
.	.	.

In	in	In
fact	fact	fact
,	,	,
they	they	they
actually	actual	actually
expect	expect	expect
people	peopl	people
to	to	to
inspect	inspect	inspect
the	the	the
genitalia	genitalia	genitalia
of	of	of
other	other	other
bathroom	bathroom	bathroom
users	user	user
and	and	and
report	report	report
them	them	them
to	to	to
authorities	author	authority
.	.	.
Kansas	kansa	Kansas
Republicans	republican	Republicans
recently	recent	recently
introduced	introduc	introduced
a	a	a
pair	pair	pair
of	of	of
bills	bill	bill
granting	grant	granting
students	student	student
2	2	2
,	,	,
500	500	500
every	everi	every
time	time	time
they	they	they
see	see	see
and	and	and
report	report	report
a	a	a
transgender	transgend	transgender
student	student	student
using	use	using
the	the	the
bathroom	bathroom	bathroom
,	,	,
which	which	which
means	mean	mean
they	they	they
would	would	would
actually	actual	actually
have	have	have
to	to	to
look	look	look
at	at	at
what	what	what
each	each	each
person	person	person
has	has	ha
between	between	between
their	their	their
legs	leg	leg
in	in	in
order	order	order
to	to	to
cash	cash	cash
-in	-in	-in
.	.	.
The	the	The
fact	fact	fact
that	that	that
conservatives	conserv	conservative
even	even	even
thought	thought	thought
of	of	of
such	such	such
bills	bill	bill
is	is	is
sickening	sicken	sickening
.	.	.

And	and	And
considering	consid	considering
that	that	that
Republicans	republican	Republicans
themselves	themselv	themselves
have	have	have
been	been	been
arrested	arrest	arrested
for	for	for
misconduct	misconduct	misconduct
in	in	in
bathrooms	bathroom	bathroom
while	while	while
not	not	not
a	a	a
single	singl	single
transgender	transgend	transgender
person	person	person
has	has	ha
committed	commit	committed
such	such	such
a	a	a
crime	crime	crime
,	,	,
it	it	it
makes	make	make
one	one	one
wonder	wonder	wonder
why	whi	why
we	we	we
don	don	don
t	t	t
have	have	have
laws	law	law
banning	ban	banning
conservatives	conserv	conservative
from	from	from
using	use	using
public	public	public
restrooms	restroom	restroom
.	.	.

After	after	After
all	all	all
,	,	,
they	they	they
seem	seem	seem
to	to	to
be	be	be
the	the	the
only	onli	only
ones	one	one
who	who	who
can	can	can
t	t	t
control	control	control
themselves	themselv	themselves
.	.	.
Featured	featur	Featured
image	imag	image
via	via	via
screenshot	screenshot	screenshot

