Women	women	Women
feel	feel	feel
powerless	powerless	powerless
and	and	and
alone	alon	alone
.	.	.
This	this	This
is	is	is
how	how	how
I	i	I
look	look	look
.	.	.
I	i	I
feel	feel	feel
happy	happi	happy
.	.	.
I	i	I
think	think	think
I	i	I
look	look	look
strong	strong	strong
and	and	and
healthy	healthi	healthy
and	and	and
also	also	also
like	like	like
miss	miss	miss
trunchbull	trunchbul	trunchbull
from	from	from
Matilda	matilda	Matilda
.	.	.
Kisses	kiss	Kisses
!	!	!
Here	here	Here
is	is	is
the	the	the
embed	emb	embed
of	of	of
the	the	the
post	post	post
I	i	I
meant	meant	meant
to	to	to
write	write	write
good	good	good
morning	morn	morning
trolls	troll	troll
!	!	!
I	i	I
hope	hope	hope
you	you	you
find	find	find
some	some	some
joy	joy	joy
in	in	in
your	your	your
lives	live	life
today	today	today
in	in	in
a	a	a
human	human	human
interaction	interact	interaction
and	and	and
not	not	not
just	just	just
in	in	in
writing	write	writing
unkind	unkind	unkind
things	thing	thing
to	to	to
a	a	a
stranger	stranger	stranger
you	you	you
ve	ve	ve
never	never	never
met	met	met
who	who	who
triggers	trigger	trigger
something	someth	something
in	in	in
you	you	you
that	that	that
makes	make	make
you	you	you
feel	feel	feel
powerless	powerless	powerless
and	and	and
alone	alon	alone
.	.	.
This	this	This
is	is	is
how	how	how
I	i	I
look	look	look
.	.	.
I	i	I
feel	feel	feel
happy	happi	happy
.	.	.
I	i	I
think	think	think
I	i	I
look	look	look
strong	strong	strong
and	and	and
healthy	healthi	healthy
and	and	and
also	also	also
like	like	like
miss	miss	miss
trunchbull	trunchbul	trunchbull
from	from	from
Matilda	matilda	Matilda
.	.	.
Kisses	kiss	Kisses
!	!	!
A	a	A
photo	photo	photo
posted	post	posted
by	by	by
@amyschumer	@amyschum	@amyschumer
on	on	on
May	may	May
24	24	24
,	,	,
2016	2016	2016
at	at	at
10	10	10
44am	44am	44am
PDTKudos	pdtkudo	PDTKudos
to	to	to
the	the	the
brilliant	brilliant	brilliant
Ms	ms	Ms
.	.	.
Schumer	schumer	Schumer
for	for	for
her	her	her
response	respons	response
to	to	to
people	peopl	people
who	who	who
would	would	would
dare	dare	dare
to	to	to
shame	shame	shame
her	her	her
for	for	for
being	be	being
proud	proud	proud
of	of	of
her	her	her
body	bodi	body
.	.	.
The	the	The
world	world	world
is	is	is
so	so	so
unkind	unkind	unkind
to	to	to
those	those	those
who	who	who
are	are	are
not	not	not
a	a	a
size	size	size
0	0	0
,	,	,
and	and	and
that	that	that
is	is	is
nothing	noth	nothing
short	short	short
of	of	of
shameful	shame	shameful
.	.	.
Amy	ami	Amy
Schumer	schumer	Schumer
is	is	is
an	an	an
excellent	excel	excellent
role	role	role
model	model	model
for	for	for
women	women	woman
and	and	and
girls	girl	girl
and	and	and
how	how	how
we	we	we
should	should	should
deal	deal	deal
with	with	with
people	peopl	people
who	who	who
think	think	think
they	they	they
have	have	have
the	the	the
right	right	right
to	to	to
constantly	constant	constantly
comment	comment	comment
on	on	on
our	our	our
bodies	bodi	body
.	.	.
Well	well	Well
done	done	done
!	!	!
Featured	featur	Featured
image	imag	image
via	via	via
Brian	brian	Brian
Bedder	bedder	Bedder
Getty	getti	Getty
Images	imag	Images
