Most	most	Most
at	at	at
least	least	least
four	four	four
times	time	time
President	presid	President
Obama	obama	Obama
,	,	,
do	do	do
not	not	not
attack	attack	attack
Syria	syria	Syria
.	.	.
There	there	There
is	is	is
no	no	no
upside	upsid	upside
and	and	and
tremendous	tremend	tremendous
downside	downsid	downside
.	.	.
Save	save	Save
your	your	your
powder	powder	powder
for	for	for
another	anoth	another
and	and	and
more	more	more
important	import	important
day	day	day
!	!	!
Donald	donald	Donald
J	j	J
.	.	.
Trump	trump	Trump
@realDonaldTrump	@realdonaldtrump	@realDonaldTrump
September	septemb	September
7	7	7
,	,	,
2013If	2013if	2013If
Syria	syria	Syria
was	was	wa
forced	forc	forced
to	to	to
use	use	use
Obamacare	obamacar	Obamacare
they	they	they
would	would	would
self	self	self
-destruct	-destruct	-destruct
without	without	without
a	a	a
shot	shot	shot
being	be	being
fired	fire	fired
.	.	.
Obama	obama	Obama
should	should	should
sell	sell	sell
them	them	them
that	that	that
idea	idea	idea
!	!	!
Donald	donald	Donald
J	j	J
.	.	.
Trump	trump	Trump
@realDonaldTrump	@realdonaldtrump	@realDonaldTrump
September	septemb	September
6	6	6
,	,	,
2013Obama	2013obama	2013Obama
must	must	must
now	now	now
start	start	start
focusing	focus	focusing
on	on	on
OUR	our	OUR
COUNTRY	countri	COUNTRY
,	,	,
jobs	job	job
,	,	,
healthcare	healthcar	healthcare
and	and	and
all	all	all
of	of	of
our	our	our
many	mani	many
problems	problem	problem
.	.	.
Forget	forget	Forget
Syria	syria	Syria
and	and	and
make	make	make
America	america	America
great	great	great
again	again	again
!	!	!
Donald	donald	Donald
J	j	J
.	.	.
Trump	trump	Trump
@realDonaldTrump	@realdonaldtrump	@realDonaldTrump
September	septemb	September
11	11	11
,	,	,
2013AGAIN	2013again	2013AGAIN
,	,	,
TO	to	TO
OUR	our	OUR
VERY	veri	VERY
FOOLISH	foolish	FOOLISH
LEADER	leader	LEADER
,	,	,
DO	do	DO
NOT	not	NOT
ATTACK	attack	ATTACK
SYRIA	syria	SYRIA
IF	if	IF
YOU	you	YOU
DO	do	DO
MANY	mani	MANY
VERY	veri	VERY
BAD	bad	BAD
THINGS	thing	THINGS
WILL	will	WILL
HAPPEN	happen	HAPPEN
FROM	from	FROM
THAT	that	THAT
FIGHT	fight	FIGHT
THE	the	THE
U	u	U
.	.	.
S	s	S
.	.	.
GETS	get	GETS
NOTHING	noth	NOTHING
!	!	!
Donald	donald	Donald
J	j	J
.	.	.
Trump	trump	Trump
@realDonaldTrump	@realdonaldtrump	@realDonaldTrump
September	septemb	September
5	5	5
,	,	,
2013So	2013so	2013So
what	what	what
was	was	wa
Obama	obama	Obama
supposed	suppos	supposed
to	to	to
have	have	have
done	done	done
?	?	?
Attack	attack	Attack
and	and	and
cause	caus	cause
a	a	a
problem	problem	problem
,	,	,
or	or	or
not	not	not
attack	attack	attack
and	and	and
cause	caus	cause
a	a	a
problem	problem	problem
?	?	?
Twitter	twitter	Twitter
s	s	s
having	have	having
a	a	a
field	field	field
day	day	day
with	with	with
this	this	this
@BraddJaffy	@braddjaffi	@BraddJaffy
Trump	trump	Trump
mentions	mention	mention
the	the	the
red	red	red
line	line	line
.	.	.
Well	well	Well
guess	guess	guess
what	what	what
@realDonaldTrump	@realdonaldtrump	@realDonaldTrump
,	,	,
you	you	you
re	re	re
in	in	in
charge	charg	charge
now	now	now
.	.	.
You	you	You
get	get	get
to	to	to
do	do	do
something	someth	something
about	about	about
it	it	it
.	.	.
Or	or	Or
not	not	not
.	.	.
Choose	choos	Choose
wisely	wise	wisely
lawhawk	lawhawk	lawhawk
@lawhawk	@lawhawk	@lawhawk
April	april	April
4	4	4
,	,	,
2017	2017	2017
@BraddJaffy	@braddjaffi	@BraddJaffy
Does	doe	Does
Trump	trump	Trump
even	even	even
realize	realiz	realize
that	that	that
HE	he	HE
is	is	is
actually	actual	actually
the	the	the
President	presid	President
now	now	now
?	?	?
TrumpsTaxes	trumpstax	TrumpsTaxes
@TrumpsTaxes	@trumpstax	@TrumpsTaxes
April	april	April
4	4	4
,	,	,
2017	2017	2017
@MikeMayoral	@mikemayor	@MikeMayoral
@BraddJaffy	@braddjaffi	@BraddJaffy
Yeah	yeah	Yeah
I	i	I
just	just	just
don	don	don
t	t	t
know	know	know
how	how	how
bad	bad	bad
this	this	this
exposure	exposur	exposure
is	is	is
and	and	and
he	he	he
just	just	just
pretends	pretend	pretend
he	he	he
didn	didn	didn
t	t	t
say	say	say
this	this	this
lol	lol	lol
.	.	.
Used	use	Used
to	to	to
be	be	be
a	a	a
day	day	day
where	where	where
you	you	you
owned	own	owned
up	up	up
to	to	to
things	thing	thing
Ti	ti	Ti
Dog	dog	Dog
True	true	True
4K	4k	4K
@BeastFireTimdog	@beastfiretimdog	@BeastFireTimdog
April	april	April
4	4	4
,	,	,
2017	2017	2017
@BraddJaffy	@braddjaffi	@BraddJaffy
Kind	kind	Kind
of	of	of
makes	make	make
you	you	you
wonder	wonder	wonder
whether	whether	whether
Trump	trump	Trump
was	was	wa
in	in	in
cahoots	cahoot	cahoot
w	w	w
Russia	russia	Russia
back	back	back
in	in	in
2013	2013	2013
.	.	.
Scott	scott	Scott
@moodonthepitch	@moodonthepitch	@moodonthepitch
April	april	April
4	4	4
,	,	,
2017	2017	2017
@realDonaldTrump	@realdonaldtrump	@realDonaldTrump
This	this	This
didn	didn	didn
t	t	t
age	age	age
well	well	well
Andrea	andrea	Andrea
@catlady_andrea	@catlady_andrea	@catlady_andrea
April	april	April
4	4	4
,	,	,
2017	2017	2017
@realDonaldTrump	@realdonaldtrump	@realDonaldTrump
#ThisDidntAgeWell	#thisdidntagewel	#ThisDidntAgeWell
Bob	bob	Bob
Kennedy	kennedi	Kennedy
@rfkjunior	@rfkjunior	@rfkjunior
April	april	April
4	4	4
,	,	,
2017	2017	2017
@BraddJaffy	@braddjaffi	@BraddJaffy
That	that	That
was	was	wa
before	befor	before
he	he	he
told	told	told
us	us	u
that	that	that
he	he	he
knew	knew	knew
more	more	more
than	than	than
the	the	the
Generals	general	Generals
.	.	.
He	he	He
was	was	wa
correct	correct	correct
being	be	being
wrong	wrong	wrong
because	becaus	because
he	he	he
hadn	hadn	hadn
t	t	t
known	known	known
he	he	he
knew	knew	knew
more	more	more
the	the	the
time	time	time
.	.	.
Ted	ted	Ted
Hogbin	hogbin	Hogbin
@tedomega	@tedomega	@tedomega
April	april	April
4	4	4
,	,	,
2017	2017	2017
@BraddJaffy	@braddjaffi	@BraddJaffy
@ktumulty	@ktumulti	@ktumulty
How	how	How
do	do	do
u	u	u
spell	spell	spell
FLIP	flip	FLIP
FLOP	flop	FLOP
JAMES	jame	JAMES
BAXTER	baxter	BAXTER
@JAMESBAXT	@jamesbaxt	@JAMESBAXT
April	april	April
4	4	4
,	,	,
2017No	2017no	2017No
,	,	,
Trump	trump	Trump
s	s	s
tweets	tweet	tweet
do	do	do
not	not	not
age	age	age
well	well	well
in	in	in
a	a	a
lot	lot	lot
of	of	of
cases	case	case
.	.	.
A	a	A
foolish	foolish	foolish
leader	leader	leader
called	call	called
a	a	a
previous	previous	previous
leader	leader	leader
foolish	foolish	foolish
for	for	for
wanting	want	wanting
to	to	to
go	go	go
into	into	into
Syria	syria	Syria
,	,	,
and	and	and
then	then	then
blames	blame	blame
his	his	his
lack	lack	lack
of	of	of
action	action	action
there	there	there
for	for	for
today	today	today
s	s	s
attack	attack	attack
.	.	.
Sad	sad	Sad
!	!	!
Featured	featur	Featured
image	imag	image
by	by	by
Olivier	olivi	Olivier
Douliery	doulieri	Douliery
-Pool	-pool	-Pool
via	via	via
Getty	getti	Getty
Images	imag	Images
