Listening	listen	Listening
amendment	amend	amendment
is	is	is
ignored	ignor	ignored
and	and	and
marriage	marriag	marriage
equality	equal	equality
doesn	doesn	doesn
t	t	t
exist	exist	exist
?	?	?
One	one	One
where	where	where
Osama	osama	Osama
bin	bin	bin
Laden	laden	Laden
is	is	is
still	still	still
alive	aliv	alive
?	?	?
One	one	One
where	where	where
credit	credit	credit
card	card	card
companies	compani	company
can	can	can
still	still	still
screw	screw	screw
customers	custom	customer
over	over	over
left	left	left
and	and	and
right	right	right
?	?	?
Honestly	honest	Honestly
,	,	,
what	what	what
does	doe	doe
Rubio	rubio	Rubio
want	want	want
to	to	to
do	do	do
to	to	to
turn	turn	turn
America	america	America
around	around	around
,	,	,
because	becaus	because
it	it	it
sure	sure	sure
as	as	a
hell	hell	hell
looks	look	look
as	as	a
though	though	though
we	we	we
are	are	are
headed	head	headed
in	in	in
the	the	the
right	right	right
direction	direct	direction
,	,	,
and	and	and
if	if	if
anything	anyth	anything
could	could	could
stand	stand	stand
a	a	a
candidate	candid	candidate
to	to	to
continue	continu	continue
Obama	obama	Obama
s	s	s
progress	progress	progress
and	and	and
advance	advanc	advance
it	it	it
further	further	further
.	.	.
Rubio	rubio	Rubio
apparently	appar	apparently
wants	want	want
an	an	an
America	america	America
where	where	where
Wall	wall	Wall
Street	street	Street
runs	run	run
the	the	the
show	show	show
,	,	,
people	peopl	people
die	die	die
or	or	or
go	go	go
bankrupt	bankrupt	bankrupt
from	from	from
lack	lack	lack
of	of	of
health	health	health
coverage	coverag	coverage
,	,	,
and	and	and
Americans	american	Americans
aren	aren	aren
t	t	t
treated	treat	treated
equally	equal	equally
under	under	under
the	the	the
law	law	law
.	.	.
So	so	So
,	,	,
if	if	if
that	that	that
s	s	s
the	the	the
America	america	America
Rubio	rubio	Rubio
wants	want	want
thanks	thank	thanks
,	,	,
but	but	but
no	no	no
thanks	thank	thanks
.	.	.
.	.	.
@marcorubio	@marcorubio	@marcorubio
This	this	This
is	is	is
the	the	the
year	year	year
where	where	where
we	we	we
re	re	re
going	go	going
to	to	to
have	have	have
a	a	a
chance	chanc	chance
to	to	to
turn	turn	turn
America	america	America
around	around	around
.	.	.
#FoxNews2016	#foxnews2016	#FoxNews2016
https://t.co/yvze0WpCKg	https://t.co/yvze0wpckg	https://t.co/yvze0WpCKg
Fox	fox	Fox
News	news	News
@FoxNews	@foxnew	@FoxNews
January	januari	January
1	1	1
,	,	,
2016	2016	2016
Video	video	Video
Featured	featur	Featured
image	imag	image
Twitter	twitter	Twitter
