This	this	This
Chlorpyrifos	chlorpyrifo	Chlorpyrifos
,	,	,
produced	produc	produced
by	by	by
a	a	a
variety	varieti	variety
of	of	of
manufacturers	manufactur	manufacturer
,	,	,
including	includ	including
a	a	a
subsidiary	subsidiari	subsidiary
of	of	of
Dow	dow	Dow
Chemical	chemic	Chemical
,	,	,
is	is	is
listed	list	listed
as	as	a
a	a	a
neurotoxin	neurotoxin	neurotoxin
by	by	by
the	the	the
U	u	U
.	.	.
S	s	S
.	.	.
Centers	center	Centers
for	for	for
Disease	diseas	Disease
Control	control	Control
and	and	and
Prevention	prevent	Prevention
s	s	s
Agency	agenc	Agency
for	for	for
Toxic	toxic	Toxic
Substances	substanc	Substances
and	and	and
Disease	diseas	Disease
Registry	registri	Registry
.	.	.
Current	current	Current
regulatory	regulatori	regulatory
safety	safeti	safety
standard	standard	standard
for	for	for
chlorpyrifos	chlorpyrifo	chlorpyrifos
rests	rest	rest
on	on	on
five	five	five
decades	decad	decade
of	of	of
experience	experi	experience
in	in	in
use	use	use
,	,	,
health	health	health
surveillance	surveil	surveillance
of	of	of
manufacturing	manufactur	manufacturing
workers	worker	worker
and	and	and
applicators	applic	applicator
,	,	,
and	and	and
more	more	more
than	than	than
4	4	4
,	,	,
000	000	000
studies	studi	study
and	and	and
reports	report	report
examining	examin	examining
the	the	the
product	product	product
in	in	in
terms	term	term
of	of	of
health	health	health
,	,	,
safety	safeti	safety
and	and	and
the	the	the
environment	environ	environment
,	,	,
a	a	a
Dow	dow	Dow
spokesman	spokesman	spokesman
said	said	said
on	on	on
Tuesday	tuesday	Tuesday
.	.	.
Authorized	author	Authorized
uses	use	us
of	of	of
chlorpyrifos	chlorpyrifo	chlorpyrifos
products	product	product
,	,	,
when	when	when
used	use	used
as	as	a
directed	direct	directed
,	,	,
offer	offer	offer
wide	wide	wide
margins	margin	margin
of	of	of
protection	protect	protection
for	for	for
human	human	human
health	health	health
and	and	and
safety	safeti	safety
.	.	.
The	the	The
EPA	epa	EPA
considered	consid	considered
whether	whether	whether
to	to	to
ban	ban	ban
it	it	it
for	for	for
roughly	rough	roughly
a	a	a
decade	decad	decade
before	befor	before
Trump	trump	Trump
appointed	appoint	appointed
EPA	epa	EPA
Administrator	administr	Administrator
Scott	scott	Scott
Pruitt	pruitt	Pruitt
,	,	,
a	a	a
Republican	republican	Republican
from	from	from
Oklahoma	oklahoma	Oklahoma
,	,	,
to	to	to
lead	lead	lead
the	the	the
agency	agenc	agency
.	.	.
In	in	In
denying	deni	denying
the	the	the
petition	petit	petition
to	to	to
ban	ban	ban
chlorpyrifos	chlorpyrifo	chlorpyrifos
,	,	,
Pruitt	pruitt	Pruitt
said	said	said
the	the	the
EPA	epa	EPA
had	had	had
previously	previous	previously
relied	reli	relied
on	on	on
novel	novel	novel
and	and	and
uncertain	uncertain	uncertain
scientific	scientif	scientific
study	studi	study
methods	method	method
to	to	to
conclude	conclud	conclude
the	the	the
substance	substanc	substance
was	was	wa
dangerous	danger	dangerous
.	.	.
The	the	The
agency	agenc	agency
said	said	said
it	it	it
was	was	wa
still	still	still
reviewing	review	reviewing
the	the	the
chemical	chemic	chemical
s	s	s
registration	registr	registration
.	.	.
EPA	epa	EPA
will	will	will
continue	continu	continue
to	to	to
evaluate	evalu	evaluate
the	the	the
potential	potenti	potential
risks	risk	risk
posed	pose	posed
by	by	by
chlorpyrifos	chlorpyrifo	chlorpyrifos
as	as	a
part	part	part
of	of	of
the	the	the
ongoing	ongo	ongoing
registration	registr	registration
review	review	review
,	,	,
said	said	said
EPA	epa	EPA
spokeswoman	spokeswoman	spokeswoman
Amy	ami	Amy
Graham	graham	Graham
.	.	.
Trump	trump	Trump
and	and	and
Pruitt	pruitt	Pruitt
have	have	have
vowed	vow	vowed
to	to	to
roll	roll	roll
back	back	back
environmental	environment	environmental
regulations	regul	regulation
they	they	they
say	say	say
are	are	are
harming	harm	harming
business	busi	business
growth	growth	growth
in	in	in
the	the	the
United	unit	United
States	state	States
.	.	.
Philip	philip	Philip
Landrigan	landrigan	Landrigan
,	,	,
a	a	a
pediatrician	pediatrician	pediatrician
who	who	who
is	is	is
dean	dean	dean
for	for	for
global	global	global
health	health	health
at	at	at
the	the	the
Icahn	icahn	Icahn
School	school	School
of	of	of
Medicine	medicin	Medicine
at	at	at
Mount	mount	Mount
Sinai	sinai	Sinai
in	in	in
New	new	New
York	york	York
,	,	,
said	said	said
three	three	three
long	long	long
-term	-term	-term
,	,	,
independently	independ	independently
funded	fund	funded
studies	studi	study
showed	show	showed
the	the	the
substance	substanc	substance
was	was	wa
toxic	toxic	toxic
.	.	.
Chlorpyrifos	chlorpyrifo	Chlorpyrifos
has	has	ha
been	been	been
shown	shown	shown
beyond	beyond	beyond
any	ani	any
shadow	shadow	shadow
of	of	of
a	a	a
doubt	doubt	doubt
to	to	to
damage	damag	damage
the	the	the
brains	brain	brain
of	of	of
children	children	child
,	,	,
especially	especi	especially
those	those	those
of	of	of
fetuses	fetus	fetus
in	in	in
the	the	the
womb	womb	womb
,	,	,
he	he	he
said	said	said
.	.	.
Udall	udal	Udall
s	s	s
bill	bill	bill
also	also	also
calls	call	call
for	for	for
the	the	the
EPA	epa	EPA
to	to	to
conduct	conduct	conduct
a	a	a
broad	broad	broad
review	review	review
of	of	of
the	the	the
use	use	use
of	of	of
other	other	other
pesticides	pesticid	pesticide
similar	similar	similar
to	to	to
chlorpyrifos	chlorpyrifo	chlorpyrifos
to	to	to
determine	determin	determine
which	which	which
groups	group	group
are	are	are
most	most	most
vulnerable	vulner	vulnerable
to	to	to
their	their	their
harmful	harm	harmful
effects	effect	effect
.	.	.
If	if	If
the	the	the
review	review	review
shows	show	show
any	ani	any
people	peopl	people
are	are	are
being	be	being
exposed	expos	exposed
to	to	to
harmful	harm	harmful
levels	level	level
of	of	of
the	the	the
chemicals	chemic	chemical
,	,	,
called	call	called
organophosphates	organophosph	organophosphate
,	,	,
the	the	the
EPA	epa	EPA
administrator	administr	administrator
must	must	must
take	take	take
appropriate	appropri	appropriate
regulatory	regulatori	regulatory
action	action	action
within	within	within
three	three	three
months	month	month
by	by	by
either	either	either
suspending	suspend	suspending
or	or	or
revoking	revok	revoking
the	the	the
their	their	their
registration	registr	registration
or	or	or
lowering	lower	lowering
the	the	the
amount	amount	amount
that	that	that
can	can	can
legally	legal	legally
be	be	be
used	use	used
.	.	.
Congress	congress	Congress
must	must	must
act	act	act
because	becaus	because
Administrator	administr	Administrator
Pruitt	pruitt	Pruitt
has	has	ha
shown	shown	shown
that	that	that
he	he	he
won	won	won
t	t	t
,	,	,
Udall	udal	Udall
said	said	said
in	in	in
a	a	a
statement	statement	statement
on	on	on
Monday	monday	Monday
.	.	.
