MISSOULA	missoula	MISSOULA
not	not	not
deny	deni	deny
Jacobs	jacob	Jacobs
allegation	alleg	allegation
but	but	but
countered	counter	countered
in	in	in
its	it	it
own	own	own
statement	statement	statement
that	that	that
Jacobs	jacob	Jacobs
instigated	instig	instigated
an	an	an
altercation	alterc	altercation
by	by	by
barging	barg	barging
into	into	into
the	the	the
candidate	candid	candidate
s	s	s
office	offic	office
,	,	,
shoved	shove	shoved
a	a	a
recording	record	recording
device	devic	device
in	in	in
his	his	his
face	face	face
and	and	and
began	began	began
asking	ask	asking
badgering	badger	badgering
questions	question	question
.	.	.
After	after	After
asking	ask	asking
Jacobs	jacob	Jacobs
to	to	to
lower	lower	lower
the	the	the
recorder	record	recorder
,	,	,
Jacobs	jacob	Jacobs
declined	declin	declined
,	,	,
campaign	campaign	campaign
spokesman	spokesman	spokesman
Shane	shane	Shane
Scanlon	scanlon	Scanlon
wrote	wrote	wrote
.	.	.
Greg	greg	Greg
then	then	then
attempted	attempt	attempted
to	to	to
grab	grab	grab
the	the	the
phone	phone	phone
that	that	that
was	was	wa
pushed	push	pushed
in	in	in
his	his	his
face	face	face
.	.	.
Jacobs	jacob	Jacobs
grabbed	grab	grabbed
Greg	greg	Greg
s	s	s
wrist	wrist	wrist
and	and	and
spun	spun	spun
away	away	away
from	from	from
Greg	greg	Greg
,	,	,
pushing	push	pushing
them	them	them
both	both	both
to	to	to
the	the	the
ground	ground	ground
.	.	.
It	it	It
s	s	s
unfortunate	unfortun	unfortunate
that	that	that
this	this	this
aggressive	aggress	aggressive
behavior	behavior	behavior
from	from	from
a	a	a
liberal	liber	liberal
journalist	journalist	journalist
created	creat	created
this	this	this
scene	scene	scene
at	at	at
our	our	our
campaign	campaign	campaign
volunteer	volunt	volunteer
BBQ	bbq	BBQ
,	,	,
the	the	the
statement	statement	statement
said	said	said
.	.	.
Acuna	acuna	Acuna
disputed	disput	disputed
that	that	that
Jacobs	jacob	Jacobs
was	was	wa
the	the	the
aggressor	aggressor	aggressor
.	.	.
At	at	At
no	no	no
point	point	point
did	did	did
any	ani	any
of	of	of
us	us	u
who	who	who
witnessed	wit	witnessed
this	this	this
assault	assault	assault
see	see	see
Jacobs	jacob	Jacobs
show	show	show
any	ani	any
form	form	form
of	of	of
physical	physic	physical
aggression	aggress	aggression
toward	toward	toward
Gianforte	gianfort	Gianforte
,	,	,
Acuna	acuna	Acuna
wrote	wrote	wrote
in	in	in
her	her	her
account	account	account
on	on	on
the	the	the
Fox	fox	Fox
News	news	News
website	websit	website
.	.	.
Interviewed	interview	Interviewed
later	later	later
on	on	on
MSNBC	msnbc	MSNBC
,	,	,
Jacobs	jacob	Jacobs
said	said	said
he	he	he
retreated	retreat	retreated
to	to	to
a	a	a
parking	park	parking
lot	lot	lot
after	after	after
the	the	the
confrontation	confront	confrontation
to	to	to
call	call	call
his	his	his
editor	editor	editor
and	and	and
the	the	the
police	polic	police
.	.	.
He	he	He
said	said	said
he	he	he
was	was	wa
speaking	speak	speaking
to	to	to
MSNBC	msnbc	MSNBC
from	from	from
a	a	a
hospital	hospit	hospital
where	where	where
he	he	he
was	was	wa
getting	get	getting
his	his	his
elbow	elbow	elbow
X	x	X
-rayed	-ray	-rayed
.	.	.
The	the	The
citation	citat	citation
was	was	wa
issued	issu	issued
after	after	after
authorities	author	authority
conducted	conduct	conducted
several	sever	several
interviews	interview	interview
and	and	and
investigated	investig	investigated
the	the	the
incident	incid	incident
,	,	,
Sheriff	sheriff	Sheriff
Brian	brian	Brian
Gootkin	gootkin	Gootkin
said	said	said
in	in	in
a	a	a
statement	statement	statement
.	.	.
Gianforte	gianfort	Gianforte
has	has	ha
until	until	until
June	june	June
7	7	7
to	to	to
appear	appear	appear
in	in	in
a	a	a
county	counti	county
court	court	court
.	.	.
He	he	He
faces	face	face
a	a	a
500	500	500
fine	fine	fine
and	and	and
six	six	six
months	month	month
in	in	in
jail	jail	jail
if	if	if
convicted	convict	convicted
,	,	,
according	accord	according
to	to	to
Gootkin	gootkin	Gootkin
.	.	.
The	the	The
nature	natur	nature
of	of	of
the	the	the
injuries	injuri	injury
did	did	did
not	not	not
meet	meet	meet
the	the	the
statutory	statutori	statutory
elements	element	element
of	of	of
felony	feloni	felony
assault	assault	assault
,	,	,
Gootkin	gootkin	Gootkin
said	said	said
.	.	.
In	in	In
Jacobs	jacob	Jacobs
audio	audio	audio
tape	tape	tape
of	of	of
the	the	the
incident	incid	incident
,	,	,
Gianforte	gianfort	Gianforte
is	is	is
heard	heard	heard
shouting	shout	shouting
I	i	I
m	m	m
sick	sick	sick
and	and	and
tired	tire	tired
of	of	of
you	you	you
guys	guy	guy
.	.	.
The	the	The
last	last	last
guy	guy	guy
who	who	who
came	came	came
here	here	here
,	,	,
you	you	you
did	did	did
the	the	the
same	same	same
thing	thing	thing
.	.	.
After	after	After
loud	loud	loud
scuffling	scuffl	scuffling
noises	nois	noise
are	are	are
heard	heard	heard
,	,	,
Gianforte	gianfort	Gianforte
repeatedly	repeat	repeatedly
yells	yell	yell
Get	get	Get
the	the	the
hell	hell	hell
out	out	out
of	of	of
here	here	here
.	.	.
Jacobs	jacob	Jacobs
is	is	is
heard	heard	heard
saying	say	saying
You	you	You
just	just	just
body	bodi	body
-slammed	-slam	-slammed
me	me	me
and	and	and
broke	broke	broke
my	my	my
glasses	glass	glass
.	.	.
According	accord	According
to	to	to
the	the	the
tape	tape	tape
,	,	,
the	the	the
confrontation	confront	confrontation
began	began	began
as	as	a
Jacobs	jacob	Jacobs
tried	tri	tried
to	to	to
ask	ask	ask
Gianforte	gianfort	Gianforte
if	if	if
he	he	he
supported	support	supported
a	a	a
Republican	republican	Republican
healthcare	healthcar	healthcare
overhaul	overhaul	overhaul
bill	bill	bill
after	after	after
the	the	the
Congressional	congression	Congressional
Budget	budget	Budget
Office	offic	Office
found	found	found
the	the	the
measure	measur	measure
would	would	would
cost	cost	cost
23	23	23
million	million	million
Americans	american	Americans
their	their	their
medical	medic	medical
insurance	insur	insurance
coverage	coverag	coverage
by	by	by
2026	2026	2026
.	.	.
Another	anoth	Another
reporter	report	reporter
,	,	,
Alexis	alexi	Alexis
Levinson	levinson	Levinson
of	of	of
BuzzFeed	buzzfe	BuzzFeed
News	news	News
,	,	,
who	who	who
was	was	wa
just	just	just
outside	outsid	outside
the	the	the
office	offic	office
,	,	,
said	said	said
on	on	on
Twitter	twitter	Twitter
she	she	she
saw	saw	saw
Jacobs	jacob	Jacobs
feet	feet	foot
fly	fli	fly
in	in	in
the	the	the
air	air	air
as	as	a
he	he	he
hit	hit	hit
the	the	the
floor	floor	floor
amid	amid	amid
yelling	yell	yelling
and	and	and
commotion	commot	commotion
.	.	.
Gianforte	gianfort	Gianforte
later	later	later
huddled	huddl	huddled
behind	behind	behind
closed	close	closed
doors	door	door
with	with	with
an	an	an
aide	aid	aide
before	befor	before
leaving	leav	leaving
the	the	the
event	event	event
by	by	by
car	car	car
,	,	,
she	she	she
said	said	said
.	.	.
Tech	tech	Tech
executive	execut	executive
Gianforte	gianfort	Gianforte
is	is	is
running	run	running
against	against	against
Democrat	democrat	Democrat
Rob	rob	Rob
Quist	quist	Quist
,	,	,
a	a	a
banjo	banjo	banjo
-playing	-play	-playing
political	polit	political
novice	novic	novice
who	who	who
hopes	hope	hope
to	to	to
pull	pull	pull
off	off	off
a	a	a
surprise	surpris	surprise
victory	victori	victory
in	in	in
the	the	the
Republican	republican	Republican
-leaning	-lean	-leaning
state	state	state
.	.	.
A	a	A
victory	victori	victory
for	for	for
Quist	quist	Quist
could	could	could
signal	signal	signal
trouble	troubl	trouble
ahead	ahead	ahead
for	for	for
President	presid	President
Donald	donald	Donald
Trump	trump	Trump
and	and	and
his	his	his
fellow	fellow	fellow
Republicans	republican	Republicans
as	as	a
they	they	they
defend	defend	defend
their	their	their
24	24	24
-seat	-seat	-seat
House	hous	House
majority	major	majority
in	in	in
the	the	the
2018	2018	2018
mid	mid	mid
-term	-term	-term
elections	elect	election
.	.	.
Quist	quist	Quist
and	and	and
Gianforte	gianfort	Gianforte
are	are	are
vying	vy	vying
for	for	for
the	the	the
seat	seat	seat
vacated	vacat	vacated
when	when	when
Trump	trump	Trump
,	,	,
who	who	who
carried	carri	carried
Montana	montana	Montana
by	by	by
more	more	more
than	than	than
20	20	20
percentage	percentag	percentage
points	point	point
,	,	,
named	name	named
Ryan	ryan	Ryan
Zinke	zink	Zinke
as	as	a
U	u	U
.	.	.
S	s	S
.	.	.
interior	interior	interior
secretary	secretari	secretary
.	.	.
Republicans	republican	Republicans
have	have	have
held	held	held
the	the	the
seat	seat	seat
for	for	for
two	two	two
decades	decad	decade
and	and	and
Gianforte	gianfort	Gianforte
was	was	wa
still	still	still
the	the	the
favorite	favorit	favorite
.	.	.
However	howev	However
,	,	,
both	both	both
sides	side	side
say	say	say
the	the	the
race	race	race
was	was	wa
tightening	tighten	tightening
as	as	a
Quist	quist	Quist
focused	focus	focused
on	on	on
criticism	critic	criticism
of	of	of
Republican	republican	Republican
efforts	effort	effort
to	to	to
repeal	repeal	repeal
and	and	and
replace	replac	replace
former	former	former
Democratic	democrat	Democratic
President	presid	President
Barack	barack	Barack
Obama	obama	Obama
s	s	s
signature	signatur	signature
healthcare	healthcar	healthcare
law	law	law
,	,	,
the	the	the
Affordable	afford	Affordable
Care	care	Care
Act	act	Act
,	,	,
known	known	known
as	as	a
Obamacare	obamacar	Obamacare
.	.	.
