GLEN	glen	GLEN
rather	rather	rather
be	be	be
with	with	with
you	you	you
,	,	,
that	that	that
I	i	I
can	can	can
tell	tell	tell
you	you	you
,	,	,
Trump	trump	Trump
said	said	said
.	.	.
He	he	He
told	told	told
the	the	the
boys	boy	boy
that	that	that
the	the	the
media	media	medium
were	were	were
dishonest	dishonest	dishonest
and	and	and
would	would	would
not	not	not
show	show	show
the	the	the
size	size	size
of	of	of
their	their	their
jamboree	jambore	jamboree
on	on	on
television	televis	television
.	.	.
Fake	fake	Fake
media	media	medium
,	,	,
fake	fake	fake
media	media	medium
,	,	,
Trump	trump	Trump
said	said	said
,	,	,
eliciting	elicit	eliciting
a	a	a
chorus	chorus	chorus
of	of	of
boos	boo	boo
and	and	and
cheers	cheer	cheer
.	.	.
Trump	trump	Trump
recounted	recount	recounted
his	his	his
election	elect	election
night	night	night
victories	victori	victory
,	,	,
state	state	state
by	by	by
state	state	state
,	,	,
the	the	the
boys	boy	boy
from	from	from
Wisconsin	wisconsin	Wisconsin
cheering	cheer	cheering
when	when	when
they	they	they
heard	heard	heard
their	their	their
state	state	state
mentioned	mention	mentioned
,	,	,
the	the	the
boys	boy	boy
from	from	from
Michigan	michigan	Michigan
doing	do	doing
the	the	the
same	same	same
.	.	.
But	but	But
the	the	the
most	most	most
sustained	sustain	sustained
round	round	round
of	of	of
cheers	cheer	cheer
and	and	and
jeers	jeer	jeer
came	came	came
when	when	when
Trump	trump	Trump
mentioned	mention	mentioned
his	his	his
predecessor	predecessor	predecessor
President	presid	President
Barack	barack	Barack
Obama	obama	Obama
,	,	,
who	who	who
had	had	had
declined	declin	declined
invitations	invit	invitation
to	to	to
speak	speak	speak
to	to	to
the	the	the
scout	scout	scout
gathering	gather	gathering
while	while	while
he	he	he
was	was	wa
in	in	in
office	offic	office
.	.	.
By	by	By
the	the	the
way	way	way
,	,	,
just	just	just
a	a	a
question	question	question
did	did	did
President	presid	President
Obama	obama	Obama
ever	ever	ever
come	come	come
to	to	to
a	a	a
jamboree	jambore	jamboree
?	?	?
Trump	trump	Trump
said	said	said
.	.	.
Trump	trump	Trump
said	said	said
he	he	he
has	has	ha
10	10	10
former	former	former
Boy	boy	Boy
Scouts	scout	Scouts
serving	serv	serving
in	in	in
his	his	his
cabinet	cabinet	cabinet
and	and	and
White	white	White
House	hous	House
,	,	,
and	and	and
brought	brought	brought
a	a	a
few	few	few
on	on	on
stage	stage	stage
as	as	a
examples	exampl	example
of	of	of
Boy	boy	Boy
Scout	scout	Scout
leadership	leadership	leadership
in	in	in
action	action	action
,	,	,
including	includ	including
Tom	tom	Tom
Price	price	Price
,	,	,
his	his	his
health	health	health
secretary	secretari	secretary
.	.	.
Hopefully	hope	Hopefully
he	he	he
s	s	s
going	go	going
to	to	to
get	get	get
the	the	the
votes	vote	vote
tomorrow	tomorrow	tomorrow
to	to	to
start	start	start
our	our	our
path	path	path
toward	toward	toward
killing	kill	killing
this	this	this
horrible	horribl	horrible
thing	thing	thing
known	known	known
as	as	a
Obamacare	obamacar	Obamacare
,	,	,
Trump	trump	Trump
said	said	said
,	,	,
referring	refer	referring
to	to	to
Obama	obama	Obama
s	s	s
signature	signatur	signature
health	health	health
care	care	care
legislation	legisl	legislation
,	,	,
as	as	a
the	the	the
boys	boy	boy
booed	boo	booed
.	.	.
He	he	He
better	better	better
get	get	get
them	them	them
,	,	,
otherwise	otherwis	otherwise
I	i	I
ll	ll	ll
say	say	say
,	,	,
Tom	tom	Tom
,	,	,
you	you	you
re	re	re
fired	fire	fired
!	!	!
he	he	he
said	said	said
,	,	,
borrowing	borrow	borrowing
the	the	the
catch	catch	catch
phrase	phrase	phrase
from	from	from
his	his	his
reality	realiti	reality
television	televis	television
show	show	show
,	,	,
The	the	The
Apprentice	apprentic	Apprentice
.	.	.
