SEATTLE	seattl	SEATTLE
Clinton	clinton	Clinton
s	s	s
2016	2016	2016
presidential	presidenti	presidential
campaign	campaign	campaign
.	.	.
Clinton	clinton	Clinton
s	s	s
campaign	campaign	campaign
has	has	ha
been	been	been
embarrassed	embarrass	embarrassed
by	by	by
this	this	this
and	and	and
similar	similar	similar
recent	recent	recent
hacking	hack	hacking
attacks	attack	attack
on	on	on
other	other	other
Democratic	democrat	Democratic
Party	parti	Party
officials	offici	official
,	,	,
some	some	some
of	of	of
which	which	which
appear	appear	appear
to	to	to
show	show	show
Clinton	clinton	Clinton
and	and	and
her	her	her
aides	aid	aide
saying	say	saying
things	thing	thing
in	in	in
private	privat	private
that	that	that
contradict	contradict	contradict
their	their	their
public	public	public
positions	posit	position
.	.	.
Her	her	Her
spokesmen	spokesmen	spokesman
have	have	have
not	not	not
disputed	disput	disputed
the	the	the
authenticity	authent	authenticity
of	of	of
the	the	the
hacked	hack	hacked
emails	email	email
.	.	.
The	the	The
emails	email	email
released	releas	released
by	by	by
Wikileaks	wikileak	Wikileaks
do	do	do
not	not	not
appear	appear	appear
to	to	to
confirm	confirm	confirm
whether	whether	whether
Qatar	qatar	Qatar
gave	gave	gave
the	the	the
promised	promis	promised
1	1	1
million	million	million
,	,	,
although	although	although
the	the	the
foundation	foundat	foundation
s	s	s
website	websit	website
lists	list	list
the	the	the
State	state	State
of	of	of
Qatar	qatar	Qatar
as	as	a
having	have	having
given	given	given
at	at	at
least	least	least
that	that	that
amount	amount	amount
.	.	.
There	there	There
is	is	is
no	no	no
date	date	date
listed	list	listed
for	for	for
the	the	the
donation	donat	donation
.	.	.
A	a	A
spokesman	spokesman	spokesman
for	for	for
the	the	the
foundation	foundat	foundation
declined	declin	declined
to	to	to
confirm	confirm	confirm
the	the	the
donation	donat	donation
.	.	.
Reuters	reuter	Reuters
could	could	could
not	not	not
rule	rule	rule
out	out	out
the	the	the
possibility	possibl	possibility
the	the	the
1	1	1
million	million	million
was	was	wa
intended	intend	intended
as	as	a
a	a	a
birthday	birthday	birthday
present	present	present
for	for	for
Clinton	clinton	Clinton
personally	person	personally
,	,	,
not	not	not
for	for	for
the	the	the
foundation	foundat	foundation
.	.	.
His	his	His
spokesman	spokesman	spokesman
did	did	did
not	not	not
respond	respond	respond
to	to	to
questions	question	question
.	.	.
Hillary	hillari	Hillary
Clinton	clinton	Clinton
promised	promis	promised
the	the	the
U	u	U
.	.	.
S	s	S
.	.	.
government	govern	government
that	that	that
while	while	while
she	she	she
served	serv	served
as	as	a
secretary	secretari	secretary
of	of	of
state	state	state
the	the	the
foundation	foundat	foundation
would	would	would
not	not	not
accept	accept	accept
new	new	new
funding	fund	funding
from	from	from
foreign	foreign	foreign
governments	govern	government
without	without	without
seeking	seek	seeking
clearance	clearanc	clearance
from	from	from
the	the	the
State	state	State
Department	depart	Department
s	s	s
ethics	ethic	ethic
office	offic	office
.	.	.
The	the	The
agreement	agreement	agreement
was	was	wa
designed	design	designed
to	to	to
dispel	dispel	dispel
concerns	concern	concern
that	that	that
U	u	U
.	.	.
S	s	S
.	.	.
foreign	foreign	foreign
policy	polici	policy
could	could	could
be	be	be
swayed	sway	swayed
by	by	by
donations	donat	donation
to	to	to
the	the	the
foundation	foundat	foundation
,	,	,
which	which	which
is	is	is
known	known	known
for	for	for
its	it	it
work	work	work
on	on	on
reducing	reduc	reducing
the	the	the
cost	cost	cost
of	of	of
HIV	hiv	HIV
medicine	medicin	medicine
in	in	in
sub	sub	sub
-Saharan	-saharan	-Saharan
Africa	africa	Africa
.	.	.
Clinton	clinton	Clinton
s	s	s
Republican	republican	Republican
rival	rival	rival
in	in	in
the	the	the
presidential	presidenti	presidential
election	elect	election
,	,	,
Donald	donald	Donald
Trump	trump	Trump
,	,	,
has	has	ha
seized	seiz	seized
on	on	on
the	the	the
foundation	foundat	foundation
for	for	for
political	polit	political
attacks	attack	attack
,	,	,
calling	call	calling
it	it	it
a	a	a
front	front	front
for	for	for
corruption	corrupt	corruption
.	.	.
Clinton	clinton	Clinton
s	s	s
campaign	campaign	campaign
dismisses	dismiss	dismisses
this	this	this
as	as	a
a	a	a
political	polit	political
smear	smear	smear
.	.	.
The	the	The
State	state	State
Department	depart	Department
has	has	ha
said	said	said
it	it	it
cannot	cannot	cannot
cite	cite	cite
any	ani	any
instances	instanc	instance
of	of	of
its	it	it
ethics	ethic	ethic
officials	offici	official
reviewing	review	reviewing
or	or	or
approving	approv	approving
new	new	new
donations	donat	donation
from	from	from
foreign	foreign	foreign
governments	govern	government
to	to	to
the	the	the
foundation	foundat	foundation
while	while	while
Clinton	clinton	Clinton
served	serv	served
as	as	a
the	the	the
country	countri	country
s	s	s
top	top	top
diplomat	diplomat	diplomat
from	from	from
2009	2009	2009
until	until	until
2013	2013	2013
.	.	.
You	you	You
would	would	would
need	need	need
to	to	to
ask	ask	ask
the	the	the
Foundation	foundat	Foundation
whether	whether	whether
there	there	there
were	were	were
additional	addit	additional
matters	matter	matter
that	that	that
it	it	it
should	should	should
have	have	have
submitted	submit	submitted
for	for	for
State	state	State
Department	depart	Department
review	review	review
,	,	,
the	the	the
department	depart	department
said	said	said
in	in	in
a	a	a
statement	statement	statement
.	.	.
The	the	The
ethics	ethic	ethic
agreement	agreement	agreement
allowed	allow	allowed
foreign	foreign	foreign
governments	govern	government
that	that	that
already	alreadi	already
supported	support	supported
foundation	foundat	foundation
projects	project	project
to	to	to
continue	continu	continue
while	while	while
Clinton	clinton	Clinton
was	was	wa
at	at	at
the	the	the
State	state	State
Department	depart	Department
.	.	.
However	howev	However
,	,	,
if	if	if
one	one	one
of	of	of
those	those	those
governments	govern	government
wanted	want	wanted
to	to	to
increase	increas	increase
materially	materi	materially
its	it	it
commitment	commit	commitment
,	,	,
then	then	then
the	the	the
foundation	foundat	foundation
was	was	wa
required	requir	required
to	to	to
ask	ask	ask
the	the	the
department	depart	department
first	first	first
.	.	.
Craig	craig	Craig
Minassian	minassian	Minassian
,	,	,
a	a	a
foundation	foundat	foundation
spokesman	spokesman	spokesman
,	,	,
declined	declin	declined
to	to	to
confirm	confirm	confirm
if	if	if
Qatar	qatar	Qatar
gave	gave	gave
the	the	the
1	1	1
million	million	million
described	describ	described
in	in	in
the	the	the
2012	2012	2012
email	email	email
.	.	.
Even	even	Even
if	if	if
it	it	it
had	had	had
,	,	,
he	he	he
said	said	said
he	he	he
questioned	question	questioned
whether	whether	whether
the	the	the
money	money	money
would	would	would
be	be	be
considered	consid	considered
a	a	a
material	materi	material
increase	increas	increase
.	.	.
He	he	He
said	said	said
Qatar	qatar	Qatar
has	has	ha
been	been	been
donating	donat	donating
since	sinc	since
2002	2002	2002
,	,	,
and	and	and
that	that	that
some	some	some
of	of	of
those	those	those
donations	donat	donation
have	have	have
been	been	been
greater	greater	greater
than	than	than
1	1	1
million	million	million
.	.	.
Qatar	qatar	Qatar
s	s	s
embassy	embassi	embassy
in	in	in
Washington	washington	Washington
did	did	did
not	not	not
respond	respond	respond
to	to	to
questions	question	question
.	.	.
A	a	A
spokesman	spokesman	spokesman
for	for	for
Clinton	clinton	Clinton
,	,	,
who	who	who
was	was	wa
campaigning	campaign	campaigning
in	in	in
Seattle	seattl	Seattle
on	on	on
Friday	friday	Friday
,	,	,
also	also	also
did	did	did
not	not	not
resond	resond	resond
to	to	to
questions	question	question
.	.	.
Last	last	Last
year	year	year
,	,	,
Reuters	reuter	Reuters
found	found	found
that	that	that
at	at	at
least	least	least
seven	seven	seven
other	other	other
foreign	foreign	foreign
governments	govern	government
made	made	made
new	new	new
donations	donat	donation
to	to	to
the	the	the
foundation	foundat	foundation
without	without	without
the	the	the
State	state	State
Department	depart	Department
being	be	being
informed	inform	informed
,	,	,
partly	part	partly
,	,	,
foundation	foundat	foundation
officials	offici	official
said	said	said
,	,	,
because	becaus	because
of	of	of
oversights	oversight	oversight
.	.	.
President	presid	President
Barack	barack	Barack
Obama	obama	Obama
is	is	is
campaigning	campaign	campaigning
for	for	for
Clinton	clinton	Clinton
to	to	to
be	be	be
elected	elect	elected
his	his	his
successor	successor	successor
,	,	,
and	and	and
the	the	the
White	white	White
House	hous	House
has	has	ha
repeatedly	repeat	repeatedly
declined	declin	declined
to	to	to
discuss	discuss	discus
the	the	the
breaches	breach	breach
of	of	of
the	the	the
agreement	agreement	agreement
Clinton	clinton	Clinton
signed	sign	signed
with	with	with
Obama	obama	Obama
s	s	s
administration	administr	administration
.	.	.
