WINNIPEG	winnipeg	WINNIPEG
Boniface	bonifac	Boniface
General	general	General
Hospital	hospit	Hospital
for	for	for
treatment	treatment	treatment
,	,	,
according	accord	according
to	to	to
the	the	the
Carter	carter	Carter
Center	center	Center
,	,	,
which	which	which
is	is	is
based	base	based
in	in	in
Atlanta	atlanta	Atlanta
.	.	.
President	presid	President
Carter	carter	Carter
told	told	told
us	us	u
he	he	he
is	is	is
OK	ok	OK
and	and	and
is	is	is
being	be	being
taken	taken	taken
offsite	offsit	offsite
for	for	for
observation	observ	observation
,	,	,
Habitat	habitat	Habitat
said	said	said
in	in	in
a	a	a
statement	statement	statement
,	,	,
noting	note	noting
he	he	he
had	had	had
been	been	been
working	work	working
in	in	in
the	the	the
hot	hot	hot
sun	sun	sun
.	.	.
He	he	He
encourages	encourag	encourages
everyone	everyon	everyone
to	to	to
stay	stay	stay
hydrated	hydrat	hydrated
and	and	and
keep	keep	keep
building	build	building
.	.	.
Carter	carter	Carter
,	,	,
a	a	a
Democrat	democrat	Democrat
who	who	who
served	serv	served
in	in	in
the	the	the
White	white	White
House	hous	House
from	from	from
January	januari	January
1977	1977	1977
to	to	to
January	januari	January
1981	1981	1981
,	,	,
received	receiv	received
the	the	the
Nobel	nobel	Nobel
Peace	peac	Peace
Prize	prize	Prize
in	in	in
2002	2002	2002
for	for	for
his	his	his
humanitarian	humanitarian	humanitarian
work	work	work
.	.	.
Carter	carter	Carter
,	,	,
whose	whose	whose
family	famili	family
had	had	had
a	a	a
history	histori	history
of	of	of
cancer	cancer	cancer
,	,	,
disclosed	disclos	disclosed
in	in	in
August	august	August
2015	2015	2015
that	that	that
he	he	he
had	had	had
been	been	been
diagnosed	diagnos	diagnosed
with	with	with
melanoma	melanoma	melanoma
,	,	,
a	a	a
form	form	form
of	of	of
skin	skin	skin
cancer	cancer	cancer
,	,	,
that	that	that
had	had	had
spread	spread	spread
to	to	to
his	his	his
brain	brain	brain
and	and	and
elsewhere	elsewher	elsewhere
and	and	and
had	had	had
been	been	been
spotted	spot	spotted
during	dure	during
liver	liver	liver
surgery	surgeri	surgery
.	.	.
But	but	But
by	by	by
December	decemb	December
of	of	of
that	that	that
year	year	year
Carter	carter	Carter
told	told	told
his	his	his
church	church	church
that	that	that
his	his	his
latest	latest	latest
brain	brain	brain
scan	scan	scan
showed	show	showed
no	no	no
sign	sign	sign
of	of	of
the	the	the
disease	diseas	disease
.	.	.
The	the	The
peanut	peanut	peanut
farmer	farmer	farmer
from	from	from
Georgia	georgia	Georgia
has	has	ha
lived	live	lived
longer	longer	longer
after	after	after
his	his	his
term	term	term
in	in	in
office	offic	office
than	than	than
any	ani	any
other	other	other
president	presid	president
in	in	in
U	u	U
.	.	.
S	s	S
.	.	.
history	histori	history
.	.	.
Through	through	Through
his	his	his
work	work	work
on	on	on
global	global	global
issues	issu	issue
,	,	,
he	he	he
became	becam	became
widely	wide	widely
regarded	regard	regarded
as	as	a
a	a	a
better	better	better
former	former	former
president	presid	president
than	than	than
he	he	he
was	was	wa
a	a	a
president	presid	president
,	,	,
having	have	having
left	left	left
office	offic	office
profoundly	profound	profoundly
unpopular	unpopular	unpopular
.	.	.
In	in	In
Canada	canada	Canada
,	,	,
Carter	carter	Carter
had	had	had
been	been	been
volunteering	volunt	volunteering
with	with	with
a	a	a
project	project	project
to	to	to
build	build	build
150	150	150
homes	home	home
with	with	with
Habitat	habitat	Habitat
for	for	for
Humanity	human	Humanity
in	in	in
honor	honor	honor
of	of	of
the	the	the
country	countri	country
s	s	s
150th	150th	150th
birthday	birthday	birthday
.	.	.
The	the	The
organization	organ	organization
noted	note	noted
that	that	that
Carter	carter	Carter
had	had	had
requested	request	requested
that	that	that
others	other	others
involved	involv	involved
with	with	with
the	the	the
effort	effort	effort
continue	continu	continue
their	their	their
work	work	work
for	for	for
the	the	the
day	day	day
.	.	.
Carter	carter	Carter
and	and	and
his	his	his
wife	wife	wife
,	,	,
Rosalynn	rosalynn	Rosalynn
Carter	carter	Carter
,	,	,
have	have	have
traveled	travel	traveled
around	around	around
the	the	the
world	world	world
working	work	working
with	with	with
Habitat	habitat	Habitat
since	sinc	since
1984	1984	1984
,	,	,
according	accord	according
to	to	to
the	the	the
organization	organ	organization
.	.	.
She	she	She
was	was	wa
with	with	with
him	him	him
at	at	at
the	the	the
hospital	hospit	hospital
,	,	,
the	the	the
Carter	carter	Carter
Foundation	foundat	Foundation
said	said	said
.	.	.
