STRASBOURG	strasbourg	STRASBOURG
the	the	the
first	first	first
step	step	step
in	in	in
an	an	an
oversight	oversight	oversight
procedure	procedur	procedure
that	that	that
could	could	could
trigger	trigger	trigger
sanctions	sanction	sanction
,	,	,
including	includ	including
the	the	the
suspension	suspens	suspension
of	of	of
Malta	malta	Malta
s	s	s
voting	vote	voting
rights	right	right
in	in	in
the	the	the
EU	eu	EU
,	,	,
if	if	if
systemic	system	systemic
threats	threat	threat
to	to	to
the	the	the
rule	rule	rule
of	of	of
law	law	law
were	were	were
confirmed	confirm	confirmed
and	and	and
not	not	not
addressed	address	addressed
.	.	.
No	no	No
EU	eu	EU
member	member	member
has	has	ha
been	been	been
subject	subject	subject
to	to	to
these	these	these
penalties	penalti	penalty
,	,	,
but	but	but
Poland	poland	Poland
is	is	is
currently	current	currently
under	under	under
supervision	supervis	supervision
over	over	over
the	the	the
independence	independ	independence
of	of	of
its	it	it
judiciary	judiciari	judiciary
,	,	,
and	and	and
lawmakers	lawmak	lawmaker
have	have	have
also	also	also
called	call	called
for	for	for
the	the	the
activation	activ	activation
of	of	of
the	the	the
procedure	procedur	procedure
for	for	for
Hungary	hungari	Hungary
.	.	.
The	the	The
Commission	commiss	Commission
,	,	,
which	which	which
monitors	monitor	monitor
member	member	member
states	state	state
application	applic	application
of	of	of
EU	eu	EU
rules	rule	rule
,	,	,
has	has	ha
so	so	so
far	far	far
avoided	avoid	avoided
commenting	comment	commenting
on	on	on
the	the	the
state	state	state
of	of	of
the	the	the
rule	rule	rule
of	of	of
law	law	law
in	in	in
Malta	malta	Malta
,	,	,
the	the	the
EU	eu	EU
s	s	s
smallest	smallest	smallest
member	member	member
state	state	state
with	with	with
a	a	a
population	popul	population
of	of	of
just	just	just
420	420	420
,	,	,
000	000	000
people	peopl	people
.	.	.
The	the	The
EU	eu	EU
executive	execut	executive
s	s	s
vice	vice	vice
president	presid	president
Frans	fran	Frans
Timmermans	timmerman	Timmermans
told	told	told
deputies	deputi	deputy
on	on	on
Tuesday	tuesday	Tuesday
there	there	there
were	were	were
no	no	no
general	general	general
concerns	concern	concern
at	at	at
this	this	this
stage	stage	stage
on	on	on
the	the	the
application	applic	application
of	of	of
anti	anti	anti
-money	-money	-money
laundering	launder	laundering
rules	rule	rule
in	in	in
Malta	malta	Malta
.	.	.
But	but	But
in	in	in
their	their	their
text	text	text
adopted	adopt	adopted
on	on	on
Wednesday	wednesday	Wednesday
the	the	the
lawmakers	lawmak	lawmaker
cited	cite	cited
several	sever	several
high	high	high
-profile	-profil	-profile
cases	case	case
of	of	of
alleged	alleg	alleged
corruption	corrupt	corruption
and	and	and
risks	risk	risk
of	of	of
money	money	money
laundering	launder	laundering
involving	involv	involving
government	govern	government
members	member	member
,	,	,
as	as	a
well	well	well
as	as	a
the	the	the
island	island	island
s	s	s
flourishing	flourish	flourishing
online	onlin	online
gaming	game	gaming
industry	industri	industry
and	and	and
a	a	a
Maltese	maltes	Maltese
scheme	scheme	scheme
to	to	to
sell	sell	sell
citizenship	citizenship	citizenship
to	to	to
wealthy	wealthi	wealthy
individuals	individu	individual
.	.	.
The	the	The
Maltese	maltes	Maltese
government	govern	government
said	said	said
in	in	in
a	a	a
statement	statement	statement
the	the	the
EU	eu	EU
text	text	text
contained	contain	contained
factual	factual	factual
inaccuracies	inaccuraci	inaccuracy
and	and	and
partisan	partisan	partisan
political	polit	political
bias	bias	bias
.	.	.
It	it	It
is	is	is
clear	clear	clear
enough	enough	enough
for	for	for
the	the	the
Maltese	maltes	Maltese
Government	govern	Government
that	that	that
most	most	most
of	of	of
this	this	this
misinformation	misinform	misinformation
was	was	wa
led	led	led
by	by	by
highly	high	highly
politicised	politicis	politicised
local	local	local
actors	actor	actor
,	,	,
and	and	and
can	can	can
be	be	be
read	read	read
in	in	in
a	a	a
situation	situat	situation
where	where	where
some	some	some
groups	group	group
in	in	in
the	the	the
European	european	European
Parliament	parliament	Parliament
are	are	are
trying	tri	trying
to	to	to
gain	gain	gain
leverage	leverag	leverage
in	in	in
negotiations	negoti	negotiation
on	on	on
situations	situat	situation
in	in	in
their	their	their
Member	member	Member
States	state	States
,	,	,
the	the	the
Maltese	maltes	Maltese
government	govern	government
said	said	said
.	.	.
In	in	In
the	the	the
resolution	resolut	resolution
,	,	,
backed	back	backed
by	by	by
466	466	466
lawmakers	lawmak	lawmaker
and	and	and
opposed	oppos	opposed
by	by	by
49	49	49
while	while	while
167	167	167
abstained	abstain	abstained
,	,	,
the	the	the
deputies	deputi	deputy
also	also	also
accused	accus	accused
Maltese	maltes	Maltese
police	polic	police
of	of	of
failing	fail	failing
to	to	to
investigate	investig	investigate
several	sever	several
serious	serious	serious
allegations	alleg	allegation
of	of	of
corruption	corrupt	corruption
and	and	and
breach	breach	breach
of	of	of
anti	anti	anti
-money	-money	-money
laundering	launder	laundering
and	and	and
banking	bank	banking
supervision	supervis	supervision
obligations	oblig	obligation
.	.	.
The	the	The
text	text	text
also	also	also
regretted	regret	regretted
that	that	that
there	there	there
has	has	ha
been	been	been
no	no	no
police	polic	police
investigation	investig	investigation
to	to	to
date	date	date
in	in	in
Malta	malta	Malta
of	of	of
the	the	the
revelations	revel	revelation
regarding	regard	regarding
the	the	the
Panama	panama	Panama
Papers	paper	Papers
,	,	,
despite	despit	despite
the	the	the
appearance	appear	appearance
of	of	of
714	714	714
companies	compani	company
linked	link	linked
to	to	to
Malta	malta	Malta
and	and	and
high	high	high
-ranking	-rank	-ranking
officials	offici	official
in	in	in
the	the	the
leaked	leak	leaked
documents	document	document
about	about	about
tax	tax	tax
schemes	scheme	scheme
in	in	in
offshore	offshor	offshore
jurisdictions	jurisdict	jurisdiction
.	.	.
Sources	sourc	Sources
familiar	familiar	familiar
with	with	with
the	the	the
work	work	work
of	of	of
Maltese	maltes	Maltese
authorities	author	authority
and	and	and
a	a	a
Reuters	reuter	Reuters
review	review	review
of	of	of
Maltese	maltes	Maltese
and	and	and
EU	eu	EU
data	data	data
show	show	show
possible	possibl	possible
shortcomings	shortcom	shortcoming
in	in	in
Malta	malta	Malta
s	s	s
efforts	effort	effort
to	to	to
prevent	prevent	prevent
money	money	money
laundering	launder	laundering
.	.	.
Muscat	muscat	Muscat
told	told	told
Reuters	reuter	Reuters
last	last	last
month	month	month
Malta	malta	Malta
s	s	s
financial	financi	financial
services	servic	service
sector	sector	sector
was	was	wa
as	as	a
transparent	transpar	transparent
,	,	,
solid	solid	solid
and	and	and
compliant	compliant	compliant
as	as	a
any	ani	any
other	other	other
European	european	European
jurisdiction	jurisdict	jurisdiction
.	.	.
