KUALA	kuala	KUALA
the	the	the
passport	passport	passport
used	use	used
by	by	by
Kim	kim	Kim
Jong	jong	Jong
Nam	nam	Nam
.	.	.
The	the	The
post	post	post
mortem	mortem	mortem
report	report	report
,	,	,
made	made	made
available	avail	available
to	to	to
the	the	the
media	media	medium
,	,	,
said	said	said
that	that	that
VX	vx	VX
was	was	wa
detected	detect	detected
on	on	on
swabs	swab	swab
of	of	of
Kim	kim	Kim
Jong	jong	Jong
Nam	nam	Nam
s	s	s
eyes	eye	eye
and	and	and
face	face	face
,	,	,
in	in	in
the	the	the
blood	blood	blood
,	,	,
plasma	plasma	plasma
and	and	and
urine	urin	urine
.	.	.
The	the	The
report	report	report
described	describ	described
the	the	the
victim	victim	victim
s	s	s
body	bodi	body
as	as	a
covered	cover	covered
with	with	with
tattoos	tattoo	tattoo
.	.	.
These	these	These
include	includ	include
a	a	a
large	larg	large
black	black	black
tattoo	tattoo	tattoo
on	on	on
the	the	the
chest	chest	chest
of	of	of
a	a	a
man	man	man
with	with	with
two	two	two
fish	fish	fish
-like	-like	-like
fingers	finger	finger
,	,	,
and	and	and
one	one	one
of	of	of
abstract	abstract	abstract
-like	-like	-like
motifs	motif	motif
on	on	on
his	his	his
upper	upper	upper
right	right	right
arm	arm	arm
that	that	that
extends	extend	extends
to	to	to
his	his	his
upper	upper	upper
back	back	back
.	.	.
Police	polic	Police
have	have	have
also	also	also
named	name	named
four	four	four
North	north	North
Koreans	korean	Koreans
as	as	a
suspects	suspect	suspect
in	in	in
the	the	the
case	case	case
and	and	and
an	an	an
Interpol	interpol	Interpol
red	red	red
notice	notic	notice
,	,	,
an	an	an
international	intern	international
alert	alert	alert
just	just	just
short	short	short
of	of	of
an	an	an
arrest	arrest	arrest
warrant	warrant	warrant
,	,	,
has	has	ha
been	been	been
issued	issu	issued
for	for	for
the	the	the
four	four	four
,	,	,
who	who	who
remain	remain	remain
at	at	at
large	larg	large
.	.	.
The	the	The
trial	trial	trial
continues	continu	continues
on	on	on
Wednesday	wednesday	Wednesday
.	.	.
