CHARLESTON	charleston	CHARLESTON
Muslim	muslim	Muslim
alliance	allianc	alliance
was	was	wa
vital	vital	vital
.	.	.
Graham	graham	Graham
,	,	,
who	who	who
has	has	ha
been	been	been
a	a	a
sharp	sharp	sharp
Trump	trump	Trump
critic	critic	critic
,	,	,
said	said	said
Bush	bush	Bush
s	s	s
bid	bid	bid
to	to	to
woo	woo	woo
Latino	latino	Latino
voters	voter	voter
was	was	wa
also	also	also
critical	critic	critical
in	in	in
widening	widen	widening
the	the	the
reach	reach	reach
of	of	of
the	the	the
Republican	republican	Republican
Party	parti	Party
,	,	,
which	which	which
has	has	ha
not	not	not
won	won	won
the	the	the
presidency	presid	presidency
since	sinc	since
Bush	bush	Bush
s	s	s
brother	brother	brother
,	,	,
George	georg	George
W	w	W
.	.	.
Bush	bush	Bush
,	,	,
was	was	wa
reelected	reelect	reelected
in	in	in
2004	2004	2004
.	.	.
Bush	bush	Bush
,	,	,
said	said	said
Graham	graham	Graham
,	,	,
wants	want	want
to	to	to
expand	expand	expand
a	a	a
party	parti	party
that	that	that
desperately	desper	desperately
needs	need	need
to	to	to
grow	grow	grow
.	.	.
Trump	trump	Trump
dismissed	dismiss	dismissed
Graham	graham	Graham
s	s	s
move	move	move
on	on	on
Twitter	twitter	Twitter
.	.	.
Sen	sen	Sen
.	.	.
Lindsey	lindsey	Lindsey
Graham	graham	Graham
embarrassed	embarrass	embarrassed
himself	himself	himself
with	with	with
his	his	his
failed	fail	failed
run	run	run
for	for	for
President	presid	President
and	and	and
now	now	now
further	further	further
embarrasses	embarrass	embarrasses
himself	himself	himself
with	with	with
endorsement	endors	endorsement
of	of	of
Bush	bush	Bush
,	,	,
he	he	he
tweeted	tweet	tweeted
.	.	.
Editing	edit	Editing
by	by	by
Bernadette	bernadett	Bernadette
Baum	baum	Baum
SAP	sap	SAP
is	is	is
the	the	the
sponsor	sponsor	sponsor
of	of	of
this	this	this
coverage	coverag	coverage
which	which	which
is	is	is
independently	independ	independently
produced	produc	produced
by	by	by
the	the	the
staff	staff	staff
of	of	of
Reuters	reuter	Reuters
News	news	News
Agency	agenc	Agency
.	.	.
