TAMPA	tampa	TAMPA
murder	murder	murder
of	of	of
a	a	a
fried	fri	fried
-chicken	-chicken	-chicken
restaurant	restaur	restaurant
manager	manag	manager
.	.	.
It	it	It
found	found	found
Florida	florida	Florida
gave	gave	gave
judges	judg	judge
powers	power	power
that	that	that
juries	juri	jury
should	should	should
wield	wield	wield
in	in	in
determining	determin	determining
death	death	death
eligibility	elig	eligibility
.	.	.
In	in	In
response	respons	response
,	,	,
the	the	the
Florida	florida	Florida
legislature	legislatur	legislature
this	this	this
spring	spring	spring
rewrote	rewrot	rewrote
its	it	it
death	death	death
sentencing	sentenc	sentencing
laws	law	law
,	,	,
requiring	requir	requiring
at	at	at
least	least	least
10	10	10
of	of	of
12	12	12
jurors	juror	juror
to	to	to
support	support	support
capital	capit	capital
punishment	punish	punishment
,	,	,
instead	instead	instead
of	of	of
a	a	a
simple	simpl	simple
majority	major	majority
.	.	.
That	that	That
law	law	law
is	is	is
unconstitutional	unconstitut	unconstitutional
because	becaus	because
it	it	it
requires	requir	requires
that	that	that
only	onli	only
ten	ten	ten
jurors	juror	juror
recommend	recommend	recommend
death	death	death
as	as	a
opposed	oppos	opposed
to	to	to
the	the	the
constitutionally	constitut	constitutionally
required	requir	required
unanimous	unanim	unanimous
,	,	,
twelve	twelv	twelve
-member	-member	-member
jury	juri	jury
,	,	,
the	the	the
state	state	state
s	s	s
high	high	high
court	court	court
found	found	found
,	,	,
adding	ad	adding
that	that	that
the	the	the
law	law	law
could	could	could
not	not	not
be	be	be
applied	appli	applied
to	to	to
pending	pend	pending
prosecutions	prosecut	prosecution
.	.	.
It	it	It
s	s	s
big	big	big
,	,	,
said	said	said
Marty	marti	Marty
McClain	mcclain	McClain
,	,	,
a	a	a
prominent	promin	prominent
Florida	florida	Florida
death	death	death
penalty	penalti	penalty
attorney	attorney	attorney
involved	involv	involved
in	in	in
one	one	one
of	of	of
the	the	the
cases	case	case
.	.	.
There	there	There
is	is	is
no	no	no
constitutional	constitut	constitutional
death	death	death
penalty	penalti	penalty
statute	statut	statute
in	in	in
place	place	place
until	until	until
it	it	it
s	s	s
fixed	fix	fixed
.	.	.
Florida	florida	Florida
Attorney	attorney	Attorney
General	general	General
Pam	pam	Pam
Bondi	bondi	Bondi
s	s	s
office	offic	office
said	said	said
while	while	while
it	it	it
is	is	is
reviewing	review	reviewing
the	the	the
ruling	rule	ruling
pending	pend	pending
a	a	a
possible	possibl	possible
rehearing	rehear	rehearing
,	,	,
juries	juri	jury
in	in	in
current	current	current
active	activ	active
capital	capit	capital
trials	trial	trial
must	must	must
make	make	make
unanimous	unanim	unanimous
decisions	decis	decision
in	in	in
capital	capit	capital
cases	case	case
as	as	a
to	to	to
the	the	the
appropriateness	appropri	appropriateness
of	of	of
the	the	the
death	death	death
penalty	penalti	penalty
,	,	,
a	a	a
spokesman	spokesman	spokesman
said	said	said
in	in	in
an	an	an
email	email	email
.	.	.
Florida	florida	Florida
s	s	s
incoming	incom	incoming
House	hous	House
speaker	speaker	speaker
,	,	,
Republican	republican	Republican
Richard	richard	Richard
Corcoran	corcoran	Corcoran
,	,	,
said	said	said
his	his	his
chamber	chamber	chamber
would	would	would
consider	consid	consider
options	option	option
and	and	and
called	call	called
the	the	the
ruling	rule	ruling
an	an	an
effort	effort	effort
to	to	to
subvert	subvert	subvert
the	the	the
will	will	will
of	of	of
the	the	the
people	peopl	people
as	as	a
expressed	express	expressed
by	by	by
their	their	their
elected	elect	elected
representatives	repres	representative
.	.	.
Among	among	Among
U	u	U
.	.	.
S	s	S
.	.	.
states	state	state
,	,	,
only	onli	only
Alabama	alabama	Alabama
and	and	and
Delaware	delawar	Delaware
also	also	also
allowed	allow	allowed
for	for	for
non	non	non
-unanimous	-unanim	-unanimous
jury	juri	jury
decisions	decis	decision
at	at	at
the	the	the
time	time	time
of	of	of
the	the	the
high	high	high
court	court	court
s	s	s
ruling	rule	ruling
.	.	.
Delaware	delawar	Delaware
s	s	s
top	top	top
court	court	court
in	in	in
August	august	August
struck	struck	struck
down	down	down
its	it	it
death	death	death
penalty	penalti	penalty
statute	statut	statute
.	.	.
The	the	The
U	u	U
.	.	.
S	s	S
.	.	.
Supreme	suprem	Supreme
Court	court	Court
has	has	ha
directed	direct	directed
a	a	a
review	review	review
in	in	in
Alabama	alabama	Alabama
.	.	.
This	this	This
is	is	is
significant	signific	significant
going	go	going
forward	forward	forward
,	,	,
said	said	said
Robert	robert	Robert
Dunham	dunham	Dunham
,	,	,
executive	execut	executive
director	director	director
of	of	of
the	the	the
Death	death	Death
Penalty	penalti	Penalty
Information	inform	Information
Center	center	Center
,	,	,
noting	note	noting
that	that	that
non	non	non
-unanimous	-unanim	-unanimous
juries	juri	jury
in	in	in
Florida	florida	Florida
and	and	and
Alabama	alabama	Alabama
imposed	impos	imposed
a	a	a
quarter	quarter	quarter
of	of	of
U	u	U
.	.	.
S	s	S
.	.	.
death	death	death
sentences	sentenc	sentence
in	in	in
recent	recent	recent
years	year	year
.	.	.
Florida	florida	Florida
s	s	s
Supreme	suprem	Supreme
Court	court	Court
vacated	vacat	vacated
Hurst	hurst	Hurst
s	s	s
death	death	death
sentence	sentenc	sentence
and	and	and
ordered	order	ordered
a	a	a
new	new	new
penalty	penalti	penalty
phase	phase	phase
hearing	hear	hearing
.	.	.
It	it	It
did	did	did
not	not	not
address	address	address
the	the	the
retroactivity	retroact	retroactivity
of	of	of
its	it	it
findings	find	finding
for	for	for
other	other	other
cases	case	case
.	.	.
There	there	There
will	will	will
have	have	have
to	to	to
be	be	be
searching	search	searching
scrutiny	scrutini	scrutiny
in	in	in
nearly	near	nearly
400	400	400
cases	case	case
,	,	,
Dunham	dunham	Dunham
said	said	said
.	.	.
