FRANKFURT	frankfurt	FRANKFURT
intelligence	intellig	intelligence
agencies	agenc	agency
conclusion	conclus	conclusion
that	that	that
it	it	it
meddled	meddl	meddled
in	in	in
the	the	the
election	elect	election
and	and	and
Trump	trump	Trump
has	has	ha
said	said	said
there	there	there
was	was	wa
no	no	no
collusion	collus	collusion
with	with	with
Moscow	moscow	Moscow
.	.	.

Jay	jay	Jay
Sekulow	sekulow	Sekulow
,	,	,
one	one	one
of	of	of
Trump	trump	Trump
s	s	s
personal	person	personal
lawyers	lawyer	lawyer
,	,	,
said	said	said
Deutsche	deutsch	Deutsche
Bank	bank	Bank
has	has	ha
not	not	not
received	receiv	received
any	ani	any
subpoena	subpoena	subpoena
for	for	for
financial	financi	financial
records	record	record
relating	relat	relating
to	to	to
the	the	the
president	presid	president
as	as	a
part	part	part
of	of	of
Mueller	mueller	Mueller
s	s	s
probe	probe	probe
.	.	.

We	we	We
have	have	have
confirmed	confirm	confirmed
that	that	that
the	the	the
news	news	news
reports	report	report
that	that	that
the	the	the
Special	special	Special
Counsel	counsel	Counsel
had	had	had
subpoenaed	subpoena	subpoenaed
financial	financi	financial
records	record	record
relating	relat	relating
to	to	to
the	the	the
president	presid	president
are	are	are
false	fals	false
,	,	,
Sekulow	sekulow	Sekulow
told	told	told
Reuters	reuter	Reuters
in	in	in
a	a	a
statement	statement	statement
.	.	.

No	no	No
subpoena	subpoena	subpoena
has	has	ha
been	been	been
issued	issu	issued
or	or	or
received	receiv	received
.	.	.

We	we	We
have	have	have
confirmed	confirm	confirmed
this	this	this
with	with	with
the	the	the
bank	bank	bank
and	and	and
other	other	other
sources	sourc	source
.	.	.
He	he	He
later	later	later
said	said	said
the	the	the
bank	bank	bank
in	in	in
question	question	question
was	was	wa
Deutsche	deutsch	Deutsche
Bank	bank	Bank
.	.	.

A	a	A
spokesman	spokesman	spokesman
for	for	for
Mueller	mueller	Mueller
declined	declin	declined
to	to	to
comment	comment	comment
.	.	.

A	a	A
Deutsche	deutsch	Deutsche
Bank	bank	Bank
spokesman	spokesman	spokesman
in	in	in
New	new	New
York	york	York
had	had	had
no	no	no
immediate	immedi	immediate
comment	comment	comment
beyond	beyond	beyond
the	the	the
statement	statement	statement
the	the	the
bank	bank	bank
issued	issu	issued
earlier	earlier	earlier
on	on	on
Tuesday	tuesday	Tuesday
which	which	which
said	said	said
the	the	the
bank	bank	bank
takes	take	take
its	it	it
legal	legal	legal
obligations	oblig	obligation
seriously	serious	seriously
and	and	and
remains	remain	remains
committed	commit	committed
to	to	to
cooperating	cooper	cooperating
with	with	with
authorized	author	authorized
investigations	investig	investigation
into	into	into
this	this	this
matter	matter	matter
.	.	.
A	a	A
U	u	U
.	.	.
S	s	S
.	.	.
official	offici	official
with	with	with
knowledge	knowledg	knowledge
of	of	of
Mueller	mueller	Mueller
s	s	s
probe	probe	probe
said	said	said
one	one	one
reason	reason	reason
for	for	for
the	the	the
subpoenas	subpoena	subpoena
was	was	wa
to	to	to
find	find	find
out	out	out
whether	whether	whether
Deutsche	deutsch	Deutsche
Bank	bank	Bank
may	may	may
have	have	have
sold	sold	sold
some	some	some
of	of	of
Trump	trump	Trump
s	s	s
mortgage	mortgag	mortgage
or	or	or
other	other	other
loans	loan	loan
to	to	to
Russian	russian	Russian
state	state	state
development	develop	development
bank	bank	bank
VEB	veb	VEB
or	or	or
other	other	other
Russian	russian	Russian
banks	bank	bank
that	that	that
now	now	now
are	are	are
under	under	under
U	u	U
.	.	.
S	s	S
.	.	.
and	and	and
European	european	European
Union	union	Union
sanctions	sanction	sanction
.	.	.

VEB	veb	VEB
,	,	,
as	as	a
well	well	well
as	as	a
the	the	the
Russian	russian	Russian
Agricultural	agricultur	Agricultural
Bank	bank	Bank
and	and	and
Gazprombank	gazprombank	Gazprombank
GZPRI	gzpri	GZPRI
.	.	.
MM	mm	MM
did	did	did
not	not	not
immediately	immedi	immediately
reply	repli	reply
to	to	to
emailed	email	emailed
requests	request	request
for	for	for
comment	comment	comment
.	.	.

No	no	No
one	one	one
from	from	from
the	the	the
VTB	vtb	VTB
Group	group	Group
VTBR	vtbr	VTBR
.	.	.
MM	mm	MM
representatives	repres	representative
has	has	ha
received	receiv	received
a	a	a
subpoena	subpoena	subpoena
because	becaus	because
there	there	there
are	are	are
absolutely	absolut	absolutely
no	no	no
grounds	ground	ground
for	for	for
it	it	it
,	,	,
a	a	a
bank	bank	bank
representative	repres	representative
said	said	said
in	in	in
response	respons	response
to	to	to
a	a	a
request	request	request
from	from	from
Reuters	reuter	Reuters
.	.	.

Deutsche	deutsch	Deutsche
Bank	bank	Bank
did	did	did
not	not	not
contact	contact	contact
us	us	u
regarding	regard	regarding
people	peopl	people
connected	connect	connected
with	with	with
the	the	the
Trump	trump	Trump
administration	administr	administration
.	.	.
We	we	We
would	would	would
not	not	not
comment	comment	comment
on	on	on
the	the	the
existence	exist	existence
of	of	of
any	ani	any
such	such	such
request	request	request
,	,	,
had	had	had
one	one	one
been	been	been
received	receiv	received
,	,	,
responded	respond	responded
a	a	a
representative	repres	representative
of	of	of
Sberbank	sberbank	Sberbank
SBER	sber	SBER
.	.	.
MM	mm	MM
.	.	.

Holding	hold	Holding
Trump	trump	Trump
debt	debt	debt
,	,	,
particularly	particular	particularly
if	if	if
some	some	some
of	of	of
it	it	it
was	was	wa
or	or	or
is	is	is
coming	come	coming
due	due	due
,	,	,
could	could	could
potentially	potenti	potentially
give	give	give
Russian	russian	Russian
banks	bank	bank
some	some	some
leverage	leverag	leverage
over	over	over
Trump	trump	Trump
,	,	,
especially	especi	especially
if	if	if
they	they	they
are	are	are
state	state	state
-owned	-own	-owned
,	,	,
said	said	said
a	a	a
second	second	second
U	u	U
.	.	.
S	s	S
.	.	.
official	offici	official
familiar	familiar	familiar
with	with	with
Russian	russian	Russian
intelligence	intellig	intelligence
methods	method	method
.	.	.

One	one	One
obvious	obvious	obvious
question	question	question
is	is	is
why	whi	why
Trump	trump	Trump
and	and	and
those	those	those
around	around	around
him	him	him
expressed	express	expressed
interest	interest	interest
in	in	in
improving	improv	improving
relations	relat	relation
with	with	with
Russia	russia	Russia
as	as	a
a	a	a
top	top	top
foreign	foreign	foreign
policy	polici	policy
priority	prioriti	priority
,	,	,
and	and	and
whether	whether	whether
or	or	or
not	not	not
any	ani	any
personal	person	personal
considerations	consider	consideration
played	play	played
any	ani	any
part	part	part
in	in	in
that	that	that
,	,	,
the	the	the
second	second	second
official	offici	official
said	said	said
,	,	,
speaking	speak	speaking
on	on	on
the	the	the
condition	condit	condition
of	of	of
anonymity	anonym	anonymity
.	.	.

A	a	A
source	sourc	source
close	close	close
to	to	to
Deutsche	deutsch	Deutsche
Bank	bank	Bank
said	said	said
the	the	the
bank	bank	bank
had	had	had
run	run	run
checks	check	check
on	on	on
Trump	trump	Trump
s	s	s
financial	financi	financial
dealings	deal	dealing
with	with	with
Russia	russia	Russia
.	.	.

During	dure	During
his	his	his
election	elect	election
campaign	campaign	campaign
,	,	,
Trump	trump	Trump
said	said	said
he	he	he
would	would	would
seek	seek	seek
to	to	to
improve	improv	improve
ties	tie	tie
with	with	with
Russian	russian	Russian
President	presid	President
Vladimir	vladimir	Vladimir
Putin	putin	Putin
,	,	,
which	which	which
were	were	were
strained	strain	strained
during	dure	during
President	presid	President
Barack	barack	Barack
Obama	obama	Obama
s	s	s
administration	administr	administration
.	.	.

The	the	The
subpoena	subpoena	subpoena
was	was	wa
earlier	earlier	earlier
reported	report	reported
by	by	by
German	german	German
daily	daili	daily
Handelsblatt	handelsblatt	Handelsblatt
.	.	.

During	dure	During
a	a	a
photo	photo	photo
opportunity	opportun	opportunity
with	with	with
senators	senat	senator
at	at	at
the	the	the
White	white	White
House	hous	House
on	on	on
Tuesday	tuesday	Tuesday
,	,	,
Trump	trump	Trump
declined	declin	declined
to	to	to
answer	answer	answer
shouted	shout	shouted
questions	question	question
from	from	from
reporters	report	reporter
about	about	about
whether	whether	whether
Mueller	mueller	Mueller
had	had	had
crossed	cross	crossed
a	a	a
line	line	line
by	by	by
asking	ask	asking
Deutsche	deutsch	Deutsche
Bank	bank	Bank
for	for	for
information	inform	information
.	.	.

In	in	In
a	a	a
July	juli	July
9	9	9
interview	interview	interview
with	with	with
the	the	the
New	new	New
York	york	York
Times	time	Times
,	,	,
Trump	trump	Trump
said	said	said
Mueller	mueller	Mueller
should	should	should
not	not	not
extend	extend	extend
his	his	his
investigation	investig	investigation
into	into	into
Trump	trump	Trump
s	s	s
finances	financ	finance
if	if	if
they	they	they
were	were	were
not	not	not
directly	direct	directly
related	relat	related
to	to	to
the	the	the
Russia	russia	Russia
accusations	accus	accusation
.	.	.

Asked	ask	Asked
if	if	if
delving	delv	delving
into	into	into
his	his	his
and	and	and
his	his	his
family	famili	family
s	s	s
finances	financ	finance
unrelated	unrel	unrelated
to	to	to
the	the	the
Russia	russia	Russia
probe	probe	probe
would	would	would
cross	cross	cross
a	a	a
red	red	red
line	line	line
,	,	,
Trump	trump	Trump
replied	repli	replied
,	,	,
I	i	I
would	would	would
say	say	say
yeah	yeah	yeah
.	.	.

I	i	I
would	would	would
say	say	say
yes	yes	yes
.	.	.
Deutsche	deutsch	Deutsche
Bank	bank	Bank
earlier	earlier	earlier
this	this	this
year	year	year
rebuffed	rebuf	rebuffed
efforts	effort	effort
by	by	by
Democratic	democrat	Democratic
U	u	U
.	.	.
S	s	S
.	.	.
lawmakers	lawmak	lawmaker
to	to	to
get	get	get
more	more	more
information	inform	information
on	on	on
its	it	it
dealings	deal	dealing
with	with	with
Trump	trump	Trump
as	as	a
well	well	well
as	as	a
any	ani	any
information	inform	information
it	it	it
may	may	may
have	have	have
about	about	about
whether	whether	whether
the	the	the
Republican	republican	Republican
,	,	,
his	his	his
family	famili	family
or	or	or
advisers	advis	adviser
had	had	had
financial	financi	financial
backing	back	backing
from	from	from
Russia	russia	Russia
.	.	.

Trump	trump	Trump
had	had	had
liabilities	liabil	liability
of	of	of
at	at	at
least	least	least
130	130	130
million	million	million
to	to	to
Deutsche	deutsch	Deutsche
Bank	bank	Bank
Trust	trust	Trust
Company	compani	Company
Americas	america	Americas
,	,	,
a	a	a
unit	unit	unit
of	of	of
the	the	the
German	german	German
bank	bank	bank
,	,	,
according	accord	according
to	to	to
a	a	a
federal	feder	federal
financial	financi	financial
disclosure	disclosur	disclosure
form	form	form
released	releas	released
in	in	in
June	june	June
by	by	by
the	the	the
U	u	U
.	.	.
S	s	S
.	.	.
Office	offic	Office
of	of	of
Government	govern	Government
Ethics	ethic	Ethics
.	.	.

The	the	The
Deutsche	deutsch	Deutsche
debts	debt	debt
include	includ	include
a	a	a
loan	loan	loan
exceeding	exceed	exceeding
50	50	50
million	million	million
for	for	for
the	the	the
Old	old	Old
Post	post	Post
Office	offic	Office
,	,	,
a	a	a
historic	histor	historic
property	properti	property
he	he	he
redeveloped	redevelop	redeveloped
in	in	in
downtown	downtown	downtown
Washington	washington	Washington
,	,	,
mortgages	mortgag	mortgage
worth	worth	worth
more	more	more
than	than	than
55	55	55
million	million	million
on	on	on
a	a	a
golf	golf	golf
course	cours	course
in	in	in
Florida	florida	Florida
,	,	,
and	and	and
a	a	a
25	25	25
million	million	million
-plus	-plus	-plus
loan	loan	loan
on	on	on
a	a	a
Trump	trump	Trump
hotel	hotel	hotel
and	and	and
condominium	condominium	condominium
in	in	in
Chicago	chicago	Chicago
,	,	,
the	the	the
disclosure	disclosur	disclosure
shows	show	show
.	.	.

All	all	All
of	of	of
those	those	those
loans	loan	loan
were	were	were
taken	taken	taken
out	out	out
in	in	in
2012	2012	2012
and	and	and
will	will	will
mature	matur	mature
in	in	in
2023	2023	2023
and	and	and
2024	2024	2024
,	,	,
according	accord	according
to	to	to
the	the	the
disclosure	disclosur	disclosure
.	.	.

Trump	trump	Trump
and	and	and
Deutsche	deutsch	Deutsche
Bank	bank	Bank
have	have	have
not	not	not
always	alway	always
been	been	been
on	on	on
good	good	good
terms	term	term
.	.	.

Trump	trump	Trump
sued	su	sued
the	the	the
bank	bank	bank
and	and	and
other	other	other
lenders	lender	lender
in	in	in
2008	2008	2008
,	,	,
demanding	demand	demanding
3	3	3
billion	billion	billion
in	in	in
damages	damag	damage
,	,	,
claiming	claim	claiming
they	they	they
broke	broke	broke
agreements	agreement	agreement
in	in	in
the	the	the
construction	construct	construction
and	and	and
financing	financ	financing
of	of	of
a	a	a
Chicago	chicago	Chicago
hotel	hotel	hotel
.	.	.

Deutsche	deutsch	Deutsche
Bank	bank	Bank
countersued	countersu	countersued
and	and	and
the	the	the
two	two	two
sides	side	side
eventually	eventu	eventually
settled	settl	settled
.	.	.

Internal	intern	Internal
Deutsche	deutsch	Deutsche
Bank	bank	Bank
documents	document	document
seen	seen	seen
by	by	by
Reuters	reuter	Reuters
feature	featur	feature
the	the	the
names	name	name
of	of	of
Trump	trump	Trump
s	s	s
former	former	former
campaign	campaign	campaign
manager	manag	manager
Paul	paul	Paul
Manafort	manafort	Manafort
and	and	and
his	his	his
wife	wife	wife
,	,	,
Kathleen	kathleen	Kathleen
,	,	,
in	in	in
a	a	a
series	seri	series
of	of	of
client	client	client
profiles	profil	profile
.	.	.

But	but	But
it	it	it
was	was	wa
not	not	not
immediately	immedi	immediately
clear	clear	clear
what	what	what
their	their	their
relationship	relationship	relationship
with	with	with
the	the	the
bank	bank	bank
is	is	is
or	or	or
had	had	had
been	been	been
.	.	.

According	accord	According
to	to	to
a	a	a
person	person	person
familiar	familiar	familiar
with	with	with
the	the	the
matter	matter	matter
who	who	who
spoke	spoke	spoke
on	on	on
the	the	the
condition	condit	condition
of	of	of
anonymity	anonym	anonymity
,	,	,
Manafort	manafort	Manafort
and	and	and
his	his	his
wife	wife	wife
do	do	do
not	not	not
have	have	have
Deutsche	deutsch	Deutsche
Bank	bank	Bank
accounts	account	account
.	.	.

The	the	The
bank	bank	bank
declined	declin	declined
to	to	to
comment	comment	comment
on	on	on
whether	whether	whether
Manafort	manafort	Manafort
is	is	is
or	or	or
has	has	ha
ever	ever	ever
been	been	been
a	a	a
client	client	client
.	.	.

A	a	A
spokesman	spokesman	spokesman
for	for	for
Manafort	manafort	Manafort
declined	declin	declined
to	to	to
comment	comment	comment
.	.	.

In	in	In
October	octob	October
,	,	,
Manafort	manafort	Manafort
pleaded	plead	pleaded
not	not	not
guilty	guilti	guilty
to	to	to
charges	charg	charge
including	includ	including
conspiracy	conspiraci	conspiracy
to	to	to
launder	launder	launder
money	money	money
and	and	and
conspiracy	conspiraci	conspiracy
against	against	against
the	the	the
United	unit	United
States	state	States
.	.	.

The	the	The
charges	charg	charge
were	were	were
brought	brought	brought
as	as	a
part	part	part
of	of	of
Mueller	mueller	Mueller
s	s	s
investigation	investig	investigation
.	.	.

