AMSTERDAM	amsterdam	AMSTERDAM
denied	deni	denied
using	use	using
chemical	chemic	chemical
weapons	weapon	weapon
during	dure	during
the	the	the
country	countri	country
s	s	s
more	more	more
than	than	than
six	six	six
-year	-year	-year
civil	civil	civil
war	war	war
.	.	.
The	the	The
OPCW	opcw	OPCW
Fact	fact	Fact
Finding	find	Finding
Mission	mission	Mission
is	is	is
only	onli	only
responsible	respons	responsible
for	for	for
determining	determin	determining
if	if	if
chemical	chemic	chemical
weapons	weapon	weapon
were	were	were
used	use	used
in	in	in
attacks	attack	attack
in	in	in
Syria	syria	Syria
.	.	.
A	a	A
joint	joint	joint
United	unit	United
Nations	nation	Nations
and	and	and
OPCW	opcw	OPCW
investigation	investig	investigation
,	,	,
established	establish	established
by	by	by
the	the	the
U	u	U
.	.	.
N	n	N
.	.	.
Security	secur	Security
Council	council	Council
in	in	in
2015	2015	2015
,	,	,
determines	determin	determines
who	who	who
is	is	is
to	to	to
blame	blame	blame
.	.	.
This	this	This
team	team	team
-	-	-
known	known	known
as	as	a
the	the	the
Joint	joint	Joint
Investigative	investig	Investigative
Mechanism	mechan	Mechanism
JIM	jim	JIM
-	-	-
has	has	ha
already	alreadi	already
found	found	found
Syrian	syrian	Syrian
government	govern	government
forces	forc	force
were	were	were
responsible	respons	responsible
for	for	for
three	three	three
chlorine	chlorin	chlorine
gas	gas	gas
attacks	attack	attack
in	in	in
2014	2014	2014
and	and	and
2015	2015	2015
and	and	and
that	that	that
Islamic	islam	Islamic
State	state	State
militants	milit	militant
used	use	used
mustard	mustard	mustard
gas	gas	gas
.	.	.
It	it	It
is	is	is
due	due	due
to	to	to
report	report	report
to	to	to
the	the	the
Security	secur	Security
Council	council	Council
this	this	this
month	month	month
on	on	on
who	who	who
is	is	is
to	to	to
blame	blame	blame
for	for	for
the	the	the
April	april	April
4	4	4
Khan	khan	Khan
Sheikhoun	sheikhoun	Sheikhoun
attack	attack	attack
.	.	.
The	the	The
15	15	15
-member	-member	-member
Security	secur	Security
Council	council	Council
is	is	is
due	due	due
to	to	to
renew	renew	renew
the	the	the
mandate	mandat	mandate
for	for	for
the	the	the
JIM	jim	JIM
by	by	by
mid	mid	mid
-November	-novemb	-November
.	.	.
However	howev	However
,	,	,
Russia	russia	Russia
has	has	ha
publicly	public	publicly
questioned	question	questioned
the	the	the
work	work	work
of	of	of
the	the	the
inquiry	inquiri	inquiry
and	and	and
some	some	some
diplomats	diplomat	diplomat
said	said	said
it	it	it
was	was	wa
uncertain	uncertain	uncertain
if	if	if
Moscow	moscow	Moscow
would	would	would
support	support	support
extending	extend	extending
the	the	the
mandate	mandat	mandate
.	.	.
The	the	The
Russians	russian	Russians
don	don	don
t	t	t
like	like	like
what	what	what
the	the	the
JIM	jim	JIM
has	has	ha
come	come	come
up	up	up
with	with	with
so	so	so
far	far	far
,	,	,
so	so	so
they	they	they
are	are	are
muttering	mutter	muttering
about	about	about
not	not	not
allowing	allow	allowing
a	a	a
rollover	rollov	rollover
,	,	,
said	said	said
a	a	a
council	council	council
diplomat	diplomat	diplomat
,	,	,
speaking	speak	speaking
on	on	on
condition	condit	condition
of	of	of
anonymity	anonym	anonymity
.	.	.
Russian	russian	Russian
U	u	U
.	.	.
N	n	N
.	.	.
Ambassador	ambassador	Ambassador
Vassily	vassili	Vassily
Nebenzia	nebenzia	Nebenzia
declined	declin	declined
to	to	to
comment	comment	comment
on	on	on
the	the	the
future	futur	future
of	of	of
the	the	the
inquiry	inquiri	inquiry
on	on	on
Wednesday	wednesday	Wednesday
.	.	.
Renewing	renew	Renewing
the	the	the
U	u	U
.	.	.
N	n	N
.	.	.
Joint	joint	Joint
Investigative	investig	Investigative
Mechanism	mechan	Mechanism
now	now	now
should	should	should
be	be	be
the	the	the
Security	secur	Security
Council	council	Council
s	s	s
top	top	top
priority	prioriti	priority
,	,	,
U	u	U
.	.	.
S	s	S
.	.	.
Ambassador	ambassador	Ambassador
to	to	to
the	the	the
United	unit	United
Nations	nation	Nations
Nikki	nikki	Nikki
Haley	haley	Haley
said	said	said
in	in	in
a	a	a
statement	statement	statement
on	on	on
Wednesday	wednesday	Wednesday
.	.	.
We	we	We
owe	owe	owe
it	it	it
to	to	to
the	the	the
innocent	innoc	innocent
people	peopl	people
-	-	-
including	includ	including
children	children	child
-	-	-
who	who	who
have	have	have
suffered	suffer	suffered
and	and	and
died	die	died
at	at	at
the	the	the
hands	hand	hand
of	of	of
the	the	the
Syrian	syrian	Syrian
regime	regim	regime
to	to	to
continue	continu	continue
to	to	to
push	push	push
for	for	for
full	full	full
accountability	account	accountability
for	for	for
these	these	these
horrific	horrif	horrific
crimes	crime	crime
,	,	,
she	she	she
said	said	said
.	.	.
U	u	U
.	.	.
N	n	N
.	.	.
war	war	war
crimes	crime	crime
investigators	investig	investigator
said	said	said
in	in	in
a	a	a
report	report	report
last	last	last
month	month	month
that	that	that
Syrian	syrian	Syrian
forces	forc	force
had	had	had
used	use	used
chemical	chemic	chemical
weapons	weapon	weapon
more	more	more
than	than	than
two	two	two
dozen	dozen	dozen
times	time	time
,	,	,
including	includ	including
in	in	in
a	a	a
sarin	sarin	sarin
attack	attack	attack
on	on	on
the	the	the
town	town	town
of	of	of
Khan	khan	Khan
Sheikhoun	sheikhoun	Sheikhoun
in	in	in
April	april	April
that	that	that
killed	kill	killed
more	more	more
than	than	than
80	80	80
people	peopl	people
.	.	.
