NEW	new	NEW
also	also	also
hacked	hack	hacked
.	.	.

The	the	The
White	white	White
House	hous	House
has	has	ha
declined	declin	declined
to	to	to
speculate	specul	speculate
on	on	on
who	who	who
was	was	wa
behind	behind	behind
the	the	the
hack	hack	hack
of	of	of
Democratic	democrat	Democratic
Party	parti	Party
computers	comput	computer
,	,	,
referring	refer	referring
to	to	to
an	an	an
ongoing	ongo	ongoing
investigation	investig	investigation
by	by	by
the	the	the
Federal	feder	Federal
Bureau	bureau	Bureau
of	of	of
Investigation	investig	Investigation
.	.	.

Cybersecurity	cybersecur	Cybersecurity
experts	expert	expert
and	and	and
U	u	U
.	.	.
S	s	S
.	.	.
officials	offici	official
,	,	,
however	howev	however
,	,	,
have	have	have
said	said	said
they	they	they
believed	believ	believed
Russia	russia	Russia
engineered	engin	engineered
the	the	the
release	releas	release
of	of	of
the	the	the
DNC	dnc	DNC
emails	email	email
to	to	to
influence	influenc	influence
the	the	the
presidential	presidenti	presidential
election	elect	election
.	.	.

Clinton	clinton	Clinton
herself	herself	herself
has	has	ha
blamed	blame	blamed
Russia	russia	Russia
for	for	for
the	the	the
hack	hack	hack
.	.	.

Russia	russia	Russia
s	s	s
foreign	foreign	foreign
ministry	ministri	ministry
has	has	ha
called	call	called
such	such	such
accusations	accus	accusation
insulting	insult	insulting
.	.	.

